Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-18,14.0,15.0,,ATL,SFO,W 41-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,J.D. McKissic,True,41,13
2016.0,2016-12-24,15.0,16.0,,SEA,ARI,L 31-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,J.D. McKissic,False,31,34
2016.0,2017-01-01,16.0,17.0,23.139,SEA,SFO,W 25-23,False,1,2,2.00,0,2,2,16,8.00,0,100.0%,8.00,1,22,22.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,11%,0,0%,3,9%,True,J.D. McKissic,True,25,23
2017.0,2017-09-10,1.0,1.0,,SEA,GNB,L 9-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,J.D. McKissic,False,9,17
2017.0,2017-09-17,2.0,2.0,,SEA,SFO,W 12-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,J.D. McKissic,True,12,9
2017.0,2017-09-24,3.0,3.0,,SEA,TEN,L 27-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,J.D. McKissic,False,27,33
2017.0,2017-10-01,4.0,4.0,24.047,SEA,IND,W 46-18,False,4,38,9.50,1,1,1,27,27.00,1,100.0%,27.00,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,9,30%,False,J.D. McKissic,True,46,18
2017.0,2017-10-08,5.0,5.0,24.054,SEA,LAR,W 16-10,False,2,0,0.00,0,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,26%,0,0%,4,17%,True,J.D. McKissic,True,16,10
2017.0,2017-10-22,6.0,7.0,24.068,SEA,NYG,W 24-7,False,3,10,3.33,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,30%,0,0%,5,19%,True,J.D. McKissic,True,24,7
2017.0,2017-10-29,7.0,8.0,24.075,SEA,HOU,W 41-38,False,4,6,1.50,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,23%,0,0%,8,21%,False,J.D. McKissic,True,41,38
2017.0,2017-11-05,8.0,9.0,24.082,SEA,WAS,L 14-17,False,3,12,4.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,36%,0,0%,12,43%,False,J.D. McKissic,False,14,17
2017.0,2017-11-09,9.0,10.0,24.086,SEA,ARI,W 22-16,False,5,26,5.20,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,32%,0,0%,9,30%,True,J.D. McKissic,True,22,16
2017.0,2017-11-20,10.0,11.0,24.097,SEA,ATL,L 31-34,False,7,30,4.29,0,6,5,23,4.60,0,83.3%,3.83,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,68%,0,0%,9,29%,False,J.D. McKissic,False,31,34
2017.0,2017-11-26,11.0,12.0,24.103,SEA,SFO,W 24-13,True,4,22,5.50,0,7,4,24,6.00,0,57.1%,3.43,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,46%,0,0%,11,35%,True,J.D. McKissic,True,24,13
