Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,22.303,NWE,,PIT,W 33-3,False,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-09-15,2,2,,NWE,@,MIA,W 43-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jakobi Meyers
2019,2019-09-22,3,3,22.317,NWE,,NYJ,W 30-14,False,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,63%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-09-29,4,4,22.324,NWE,@,BUF,W 16-10,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,4,6%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-10-06,5,5,22.331,NWE,@,WAS,W 33-7,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,45%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-10-10,6,6,22.335,NWE,,NYG,W 35-14,False,4,4,54,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,69%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-10-21,7,7,22.346,NWE,@,NYJ,W 33-0,False,5,5,47,9.40,0,100.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,51%,0,0%,1,4%,True,Jakobi Meyers
2019,2019-10-27,8,8,22.352,NWE,,CLE,W 27-13,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,1,3%,False,Jakobi Meyers
2019,2019-11-03,9,9,22.359,NWE,@,BAL,L 20-37,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-11-17,10,11,23.008,NWE,@,PHI,W 17-10,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,26%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-11-24,11,12,23.015,NWE,,DAL,W 13-9,True,9,4,74,18.50,0,44.4%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-12-01,12,13,23.022,NWE,@,HOU,L 22-28,False,7,3,46,15.33,0,42.9%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,70%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-12-08,13,14,23.029,NWE,,KAN,L 16-23,False,3,1,35,35.00,0,33.3%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-12-15,14,15,23.036,NWE,@,CIN,W 34-13,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,7,11%,0,0%,0,0%,True,Jakobi Meyers
2019,2019-12-21,15,16,23.042,NWE,,BUF,W 24-17,False,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,0,0%,False,Jakobi Meyers
2019,2019-12-29,16,17,23.050,NWE,,MIA,L 24-27,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,7,11%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-09-13,1,1,23.309,NWE,,MIA,W 21-11,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,7,11%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-09-20,2,2,23.316,NWE,@,SEA,L 30-35,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-09-27,3,3,23.323,NWE,,LVR,W 36-20,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,7,10%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-10-05,4,4,,NWE,@,KAN,L 10-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jakobi Meyers
2020,2020-10-18,5,6,,NWE,,DEN,L 12-18,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Jakobi Meyers
2020,2020-10-25,6,7,23.351,NWE,,SFO,L 6-33,False,6,4,60,15.00,0,66.7%,10.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,79%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-11-01,7,8,23.358,NWE,@,BUF,L 21-24,True,10,6,58,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-11-09,8,9,24.000,NWE,@,NYJ,W 30-27,True,14,12,169,14.08,0,85.7%,12.07,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,80,99%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-11-15,9,10,24.006,NWE,,BAL,W 23-17,True,7,5,59,11.80,0,71.4%,8.43,0,0,,0,1,1,100.00,24,1,0,158.3,0,0,24.00,44.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,98%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-11-22,10,11,24.013,NWE,@,HOU,L 20-27,True,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-11-29,11,12,24.020,NWE,,ARI,W 20-17,False,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,94%,0,0%,0,0%,False,Jakobi Meyers
2020,2020-12-06,12,13,24.027,NWE,@,LAC,W 45-0,True,6,2,15,7.50,0,33.3%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,84%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-12-10,13,14,24.031,NWE,@,LAR,L 3-24,True,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-12-20,14,15,24.041,NWE,@,MIA,L 12-22,True,10,7,111,15.86,0,70.0%,11.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,96%,0,0%,0,0%,True,Jakobi Meyers
2020,2020-12-28,15,16,24.049,NWE,,BUF,L 9-38,True,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,False,Jakobi Meyers
2020,2021-01-03,16,17,24.055,NWE,,NYJ,W 28-14,True,7,6,68,11.33,0,85.7%,9.71,1,7,7.00,0,1,1,100.00,19,1,0,158.3,0,0,19.00,39.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,False,Jakobi Meyers
2021,2021-09-12,1,1,24.307,NWE,,MIA,L 16-17,True,9,6,44,7.33,0,66.7%,4.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,99%,0,0%,0,0%,False,Jakobi Meyers
2021,2021-09-19,2,2,24.314,NWE,@,NYJ,W 25-6,True,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,88%,0,0%,1,4%,True,Jakobi Meyers
2021,2021-09-26,3,3,24.321,NWE,,NOR,L 13-28,True,14,9,94,10.44,0,64.3%,6.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,96%,0,0%,0,0%,False,Jakobi Meyers
