Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,,PHI,@,WAS,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jalen Hurts
2020,2020-09-20,2,2,22.044,PHI,,LAR,L 19-37,False,,,,,,,,,,,,,,,,,,,,,0.0%,,0,0,0,,,0,0,0,3,4%,0,0%,0,0%,False,Jalen Hurts
2020,2020-09-27,3,3,22.051,PHI,,CIN,T 23-23,False,0,0,,0,0,0,,0,0,,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-4,0,3,3%,0,0%,0,0%,False,Jalen Hurts
2020,2020-10-04,4,4,22.058,PHI,@,SFO,W 25-20,False,0,0,,0,0,0,,0,0,,,3,18,6.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-8,0,4,6%,0,0%,0,0%,True,Jalen Hurts
2020,2020-10-11,5,5,22.065,PHI,@,PIT,L 29-38,False,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,True,Jalen Hurts
2020,2020-10-18,6,6,22.072,PHI,,BAL,L 28-30,False,0,0,,0,0,0,,0,0,,,2,23,11.50,0,1,1,3,3.00,0,100.0%,3.00,0,0,0,0,0,0,0,0,7,10%,0,0%,0,0%,False,Jalen Hurts
2020,2020-10-22,7,7,22.076,PHI,,NYG,W 22-21,False,0,0,,0,0,0,,0,0,,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,5,6%,0,0%,0,0%,False,Jalen Hurts
2020,2020-11-01,8,8,22.086,PHI,,DAL,W 23-9,False,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,False,Jalen Hurts
2020,2020-11-15,9,10,22.100,PHI,@,NYG,L 17-27,False,0,0,,0,0,0,,0,0,,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,3,4%,0,0%,0,0%,True,Jalen Hurts
2020,2020-11-22,10,11,22.107,PHI,@,CLE,L 17-22,False,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,True,Jalen Hurts
2020,2020-11-30,11,12,22.115,PHI,,SEA,L 17-23,False,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,Jalen Hurts
2020,2020-12-06,12,13,22.121,PHI,@,GNB,L 16-30,False,5,12,41.67,109,1,1,67.7,3,5,9.08,7.00,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,26,42%,0,0%,0,0%,True,Jalen Hurts
2020,2020-12-13,13,14,22.128,PHI,,NOR,W 24-21,True,17,30,56.67,167,1,0,83.6,0,0,5.57,6.23,18,106,5.89,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%,False,Jalen Hurts
2020,2020-12-20,14,15,22.135,PHI,@,ARI,L 26-33,True,24,44,54.55,338,3,0,102.3,6,33,7.68,9.05,11,63,5.73,1,0,0,0,,0,0.0%,,1,6,3,0,0,1,0,0,83,99%,0,0%,0,0%,True,Jalen Hurts
2020,2020-12-27,15,16,22.142,PHI,@,DAL,L 17-37,True,21,39,53.85,342,1,2,70.7,3,16,8.77,6.97,9,69,7.67,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,True,Jalen Hurts
2020,2021-01-03,16,17,22.149,PHI,,WAS,L 14-20,True,7,20,35.00,72,0,1,25.4,1,5,3.60,1.35,8,34,4.25,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,50,74%,0,0%,0,0%,False,Jalen Hurts
2021,2021-09-12,1,1,23.036,PHI,@,ATL,W 32-6,True,27,35,77.14,264,3,0,126.4,1,3,7.54,9.26,7,62,8.86,0,0,0,0,,0,0.0%,,0,0,1,0,0,2,0,0,71,100%,0,0%,0,0%,True,Jalen Hurts
