Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,22.332,OAK,NOR,W 35-34,False,3,84,28.00,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,1,6,6.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,8,26%,True,Jalen Richard,True,35,34
2016.0,2016-09-18,2.0,2.0,22.339,OAK,ATL,L 28-35,False,6,17,2.83,0,1,1,10,10.00,0,100.0%,10.00,1,24,24.00,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-2,0,16,21%,0,0%,9,30%,False,Jalen Richard,False,28,35
2016.0,2016-09-25,3.0,3.0,22.346,OAK,TEN,W 17-10,False,6,28,4.67,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,3,38,12.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,20%,0,0%,8,32%,True,Jalen Richard,True,17,10
2016.0,2016-10-02,4.0,4.0,22.353,OAK,BAL,W 28-27,False,2,15,7.50,0,3,1,5,5.00,0,33.3%,1.67,3,66,22.00,0,3,72,24.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,25%,0,0%,11,33%,True,Jalen Richard,True,28,27
2016.0,2016-10-09,5.0,5.0,22.36,OAK,SDG,W 34-31,False,8,31,3.88,0,7,6,66,11.00,0,85.7%,9.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,1,0,0,23,32%,0,0%,7,23%,False,Jalen Richard,True,34,31
2016.0,2016-10-16,6.0,6.0,23.001,OAK,KAN,L 10-26,False,4,7,1.75,0,3,2,5,2.50,0,66.7%,1.67,4,108,27.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,6,26%,False,Jalen Richard,False,10,26
2016.0,2016-10-23,7.0,7.0,23.008,OAK,JAX,W 33-16,False,1,1,1.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,5,41,8.20,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,10,28%,True,Jalen Richard,True,33,16
2016.0,2016-10-30,8.0,8.0,23.015,OAK,TAM,W 30-24,False,5,34,6.80,0,2,2,3,1.50,0,100.0%,1.50,1,25,25.00,0,4,33,8.25,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,18%,0,0%,12,35%,True,Jalen Richard,True,30,24
2016.0,2016-11-06,9.0,9.0,23.022,OAK,DEN,W 30-20,False,8,62,7.75,0,3,2,10,5.00,0,66.7%,3.33,1,26,26.00,0,4,26,6.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,24%,0,0%,8,25%,False,Jalen Richard,True,30,20
2016.0,2016-11-21,10.0,11.0,23.037,OAK,HOU,W 27-20,False,3,2,0.67,0,3,3,50,16.67,1,100.0%,16.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,12,23%,0,0%,6,23%,False,Jalen Richard,True,27,20
2016.0,2016-11-27,11.0,12.0,23.043,OAK,CAR,W 35-32,False,7,23,3.29,0,0,0,0,,0,0.0%,,2,46,23.00,0,5,34,6.80,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,12,38%,False,Jalen Richard,True,35,32
2016.0,2016-12-04,12.0,13.0,23.05,OAK,BUF,W 38-24,False,9,53,5.89,0,0,0,0,,0,0.0%,,1,22,22.00,0,2,17,8.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,10,30%,False,Jalen Richard,True,38,24
2016.0,2016-12-08,13.0,14.0,23.054,OAK,KAN,L 13-21,False,6,29,4.83,0,4,0,0,,0,0.0%,0.00,2,41,20.50,0,1,2,2.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,23%,0,0%,5,17%,True,Jalen Richard,False,13,21
2016.0,2016-12-18,14.0,15.0,23.064,OAK,SDG,W 19-16,False,6,36,6.00,0,5,4,13,3.25,0,80.0%,2.60,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,9,35%,True,Jalen Richard,True,19,16
2016.0,2016-12-24,15.0,16.0,23.07,OAK,IND,W 33-25,False,6,66,11.00,0,3,3,13,4.33,1,100.0%,4.33,2,44,22.00,0,1,8,8.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,20%,0,0%,4,15%,False,Jalen Richard,True,33,25
2016.0,2017-01-01,16.0,17.0,23.078,OAK,DEN,L 6-24,False,3,3,1.00,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,2,18,9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,20%,0,0%,11,42%,True,Jalen Richard,False,6,24
2017.0,2017-09-10,1.0,1.0,23.33,OAK,TEN,W 26-16,False,5,22,4.40,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,2,5,2.50,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,14,21%,0,0%,9,30%,True,Jalen Richard,True,26,16
2017.0,2017-09-17,2.0,2.0,23.337,OAK,NYJ,W 45-20,False,6,58,9.67,1,2,2,51,25.50,0,100.0%,25.50,0,0,,0,1,13,13.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,30%,0,0%,6,20%,False,Jalen Richard,True,45,20
2017.0,2017-09-24,3.0,3.0,23.344,OAK,WAS,L 10-27,False,2,4,2.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,2,4,2.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,12%,0,0%,8,28%,True,Jalen Richard,False,10,27
2017.0,2017-10-01,4.0,4.0,23.351,OAK,DEN,L 10-16,False,2,7,3.50,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,2,8,4.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,11%,0,0%,9,32%,True,Jalen Richard,False,10,16
