Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,21.255,KAN,NWE,True,5,28,5.60,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,17,Jamaal Charles
2008,2008-09-14,2,2,21.262,KAN,OAK,False,3,7,2.33,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,8,23,Jamaal Charles
2008,2008-09-21,3,3,21.269,KAN,ATL,False,7,38,5.43,0,5,3,24,8.00,0,60.0%,4.80,1,21,21.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,38,Jamaal Charles
2008,2008-09-28,4,4,21.276,KAN,DEN,False,2,7,3.50,0,2,2,1,0.50,0,100.0%,0.50,2,58,29.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,33,19,Jamaal Charles
2008,2008-10-05,5,5,21.283,KAN,CAR,False,4,18,4.50,0,6,4,22,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,0,34,Jamaal Charles
2008,2008-10-19,6,7,21.297,KAN,TEN,False,3,17,5.67,0,7,4,26,6.50,0,57.1%,3.71,2,55,27.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,34,Jamaal Charles
2008,2008-10-26,7,8,21.304,KAN,NYJ,False,5,45,9.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,24,28,Jamaal Charles
2008,2008-11-02,8,9,21.311,KAN,TAM,False,18,106,5.89,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,27,30,Jamaal Charles
2008,2008-11-09,9,10,21.318,KAN,SDG,True,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,19,20,Jamaal Charles
2008,2008-11-16,10,11,21.325,KAN,NOR,False,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,30,Jamaal Charles
2008,2008-11-23,11,12,21.332,KAN,BUF,False,2,22,11.00,0,4,3,45,15.00,1,75.0%,11.25,1,5,5.00,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,31,54,Jamaal Charles
2008,2008-11-30,12,13,21.339,KAN,OAK,False,2,5,2.50,0,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,13,Jamaal Charles
2008,2008-12-07,13,14,21.346,KAN,DEN,False,1,13,13.00,0,3,3,12,4.00,0,100.0%,4.00,1,40,40.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,False,17,24,Jamaal Charles
2008,2008-12-14,14,15,21.353,KAN,SDG,False,4,7,1.75,0,0,0,0,,0,0.0%,,2,29,14.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,22,Jamaal Charles
2008,2008-12-21,15,16,21.360,KAN,MIA,False,3,15,5.00,0,3,3,102,34.00,0,100.0%,34.00,3,65,21.67,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,31,38,Jamaal Charles
2008,2008-12-28,16,17,22.001,KAN,CIN,False,3,9,3.00,0,1,0,0,,0,0.0%,0.00,3,48,16.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,16,Jamaal Charles
2009,2009-09-13,1,1,22.260,KAN,BAL,False,4,8,2.00,0,4,4,29,7.25,0,100.0%,7.25,4,93,23.25,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,38,Jamaal Charles
2009,2009-09-20,2,2,,KAN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,13,Jamaal Charles
2009,2009-09-27,3,3,22.274,KAN,PHI,False,6,36,6.00,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,34,Jamaal Charles
2009,2009-10-04,4,4,22.281,KAN,NYG,True,2,24,12.00,0,0,0,0,,0,0.0%,,5,138,27.60,0,,0,0,0.0,2,0,2,0,0,1,1,0,0,0,0,,,,,,,False,False,16,27,Jamaal Charles
2009,2009-10-11,5,5,22.288,KAN,DAL,False,3,9,3.00,0,7,5,54,10.80,0,71.4%,7.71,5,100,20.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,26,Jamaal Charles
2009,2009-10-18,6,6,22.295,KAN,WAS,False,4,6,1.50,0,1,1,2,2.00,0,100.0%,2.00,3,79,26.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,14,6,Jamaal Charles
2009,2009-10-25,7,7,22.302,KAN,SDG,False,4,33,8.25,0,3,1,1,1.00,0,33.3%,0.33,6,147,24.50,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,False,7,37,Jamaal Charles
2009,2009-11-08,8,9,22.316,KAN,JAX,True,6,36,6.00,0,4,3,19,6.33,0,75.0%,4.75,1,3,3.00,0,1,0,2,0.0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,True,False,21,24,Jamaal Charles
2009,2009-11-15,9,10,22.323,KAN,OAK,True,18,103,5.72,1,5,4,14,3.50,0,80.0%,2.80,3,78,26.00,0,,1,6,0.0,1,0,1,0,0,0,,0,1,0,0,,,,,,,True,True,16,10,Jamaal Charles
2009,2009-11-22,10,11,22.330,KAN,PIT,True,17,58,3.41,0,5,2,8,4.00,1,40.0%,1.60,4,158,39.50,1,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,24,Jamaal Charles
2009,2009-11-29,11,12,22.337,KAN,SDG,True,14,93,6.64,1,3,3,54,18.00,0,100.0%,18.00,2,61,30.50,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,14,43,Jamaal Charles
2009,2009-12-06,12,13,22.344,KAN,DEN,True,18,56,3.11,1,3,1,3,3.00,0,33.3%,1.00,2,44,22.00,0,,1,6,0.0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,False,False,13,44,Jamaal Charles
2009,2009-12-13,13,14,22.351,KAN,BUF,True,20,143,7.15,1,8,7,38,5.43,0,87.5%,4.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,16,Jamaal Charles
2009,2009-12-20,14,15,22.358,KAN,CLE,True,25,154,6.16,1,4,2,16,8.00,0,50.0%,4.00,1,24,24.00,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,34,41,Jamaal Charles
2009,2009-12-27,15,16,23.000,KAN,CIN,True,24,102,4.25,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,17,Jamaal Charles
2009,2010-01-03,16,17,23.007,KAN,DEN,True,25,259,10.36,2,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,44,24,Jamaal Charles
2010,2010-09-13,1,1,23.260,KAN,SDG,False,11,92,8.36,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,14,Jamaal Charles
2010,2010-09-19,2,2,23.266,KAN,CLE,False,11,49,4.45,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,14,Jamaal Charles
2010,2010-09-26,3,3,23.273,KAN,SFO,True,12,97,8.08,0,3,3,57,19.00,0,100.0%,19.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,10,Jamaal Charles
2010,2010-10-10,4,5,23.287,KAN,IND,False,16,87,5.44,0,6,3,14,4.67,0,50.0%,2.33,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,9,19,Jamaal Charles
2010,2010-10-17,5,6,23.294,KAN,HOU,True,16,93,5.81,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,31,35,Jamaal Charles
2010,2010-10-24,6,7,23.301,KAN,JAX,False,15,71,4.73,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,42,20,Jamaal Charles
2010,2010-10-31,7,8,23.308,KAN,BUF,True,22,177,8.05,0,5,4,61,15.25,0,80.0%,12.20,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,13,10,Jamaal Charles
2010,2010-11-07,8,9,23.315,KAN,OAK,False,10,53,5.30,0,8,5,47,9.40,0,62.5%,5.88,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Jamaal Charles
2010,2010-11-14,9,10,23.322,KAN,DEN,True,14,41,2.93,0,9,5,80,16.00,1,55.6%,8.89,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,False,29,49,Jamaal Charles
2010,2010-11-21,10,11,23.329,KAN,ARI,False,12,88,7.33,0,5,4,38,9.50,0,80.0%,7.60,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,13,Jamaal Charles
2010,2010-11-28,11,12,23.336,KAN,SEA,False,22,173,7.86,1,3,2,3,1.50,0,66.7%,1.00,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,True,42,24,Jamaal Charles
2010,2010-12-05,12,13,23.343,KAN,DEN,True,21,116,5.52,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,True,10,6,Jamaal Charles
2010,2010-12-12,13,14,23.350,KAN,SDG,False,10,40,4.00,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,0,31,Jamaal Charles
2010,2010-12-19,14,15,23.357,KAN,STL,True,11,126,11.45,1,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,13,Jamaal Charles
2010,2010-12-26,15,16,23.364,KAN,TEN,False,13,77,5.92,0,5,4,40,10.00,2,80.0%,8.00,0,0,,0,,2,12,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,True,34,14,Jamaal Charles
2010,2011-01-02,16,17,24.006,KAN,OAK,False,14,87,6.21,1,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Jamaal Charles
2011,2011-09-11,1,1,24.258,KAN,BUF,True,10,56,5.60,0,6,5,9,1.80,1,83.3%,1.50,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,7,41,Jamaal Charles
2011,2011-09-18,2,2,24.265,KAN,DET,False,2,27,13.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,3,48,Jamaal Charles
2011,2011-09-25,3,3,,KAN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,20,Jamaal Charles
2011,2011-10-02,4,4,,KAN,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,22,17,Jamaal Charles
2011,2011-10-09,5,5,,KAN,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,28,24,Jamaal Charles
2011,2011-10-23,6,7,,KAN,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,28,0,Jamaal Charles
2011,2011-10-31,7,8,,KAN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,23,20,Jamaal Charles
2011,2011-11-06,8,9,,KAN,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,3,31,Jamaal Charles
2011,2011-11-13,9,10,,KAN,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,10,17,Jamaal Charles
2011,2011-11-21,10,11,,KAN,NWE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,3,34,Jamaal Charles
2011,2011-11-27,11,12,,KAN,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,9,13,Jamaal Charles
2011,2011-12-04,12,13,,KAN,CHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,10,3,Jamaal Charles
2011,2011-12-11,13,14,,KAN,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,37,Jamaal Charles
