Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,21.250,TAM,,TEN,L 14-42,True,16,33,48.48,210,2,2,64.0,4,29,6.36,4.85,6,18,3.00,0,,0,0,2,0,0,2,-7,0,70,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-09-20,2,2,21.257,TAM,@,NOR,W 26-19,True,14,21,66.67,207,1,0,114.6,3,13,9.86,10.81,6,23,3.83,1,,1,6,1,1,0,0,0,0,66,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-09-27,3,3,21.264,TAM,@,HOU,L 9-19,True,17,36,47.22,261,1,1,69.3,0,0,7.25,6.56,0,0,,0,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-10-04,4,4,21.271,TAM,,CAR,L 23-37,True,26,43,60.47,287,2,4,57.0,2,17,6.67,3.42,4,12,3.00,0,,0,0,0,0,0,0,0,0,79,99%,0,0%,0,0%,False,Jameis Winston
2015,2015-10-11,5,5,21.278,TAM,,JAX,W 38-31,True,13,19,68.42,209,1,0,122.5,2,23,11.00,12.05,4,9,2.25,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-10-25,6,7,21.292,TAM,@,WAS,L 30-31,True,21,29,72.41,297,2,0,128.1,1,8,10.24,11.62,1,5,5.00,0,,0,0,1,0,0,1,0,0,63,98%,0,0%,0,0%,True,Jameis Winston
2015,2015-11-01,7,8,21.299,TAM,@,ATL,W 23-20,True,16,29,55.17,177,1,0,85.0,2,4,6.10,6.79,3,24,8.00,1,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-11-08,8,9,21.306,TAM,,NYG,L 18-32,True,19,36,52.78,247,0,0,74.7,0,0,6.86,6.86,3,24,8.00,1,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-11-15,9,10,21.313,TAM,,DAL,W 10-6,True,22,39,56.41,264,0,2,55.9,2,18,6.77,4.46,3,3,1.00,1,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-11-22,10,11,21.320,TAM,@,PHI,W 45-17,True,19,29,65.52,246,5,0,131.6,1,8,8.48,11.93,4,0,0.00,0,,0,0,1,0,0,0,0,0,78,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-11-29,11,12,21.327,TAM,@,IND,L 12-25,True,20,36,55.56,245,1,1,74.4,5,33,6.81,6.11,3,27,9.00,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-12-06,12,13,21.334,TAM,,ATL,W 23-19,True,18,27,66.67,227,1,1,89.6,1,5,8.41,7.48,5,15,3.00,1,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-12-13,13,14,21.341,TAM,,NOR,L 17-24,True,18,32,56.25,182,1,0,83.1,1,6,5.69,6.31,3,24,8.00,0,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,False,Jameis Winston
2015,2015-12-17,14,15,21.345,TAM,@,STL,L 23-31,True,29,50,58.00,363,2,1,85.7,0,0,7.26,7.16,2,5,2.50,0,,0,0,1,1,0,0,-1,0,81,100%,0,0%,0,0%,True,Jameis Winston
2015,2015-12-27,15,16,21.355,TAM,,CHI,L 21-26,True,15,29,51.72,295,2,1,96.2,1,10,10.17,10.00,4,10,2.50,0,,0,0,0,0,0,1,0,0,56,100%,0,0%,0,0%,False,Jameis Winston
2015,2016-01-03,16,17,21.362,TAM,@,CAR,L 10-38,True,29,47,61.70,325,0,2,64.6,2,16,6.91,5.00,3,14,4.67,1,,1,6,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-09-11,1,1,22.249,TAM,@,ATL,W 31-24,True,23,32,71.88,281,4,1,125.1,0,0,8.78,9.88,4,3,0.75,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-09-18,2,2,22.256,TAM,@,ARI,L 7-40,True,27,52,51.92,243,1,4,39.2,3,22,4.67,1.60,3,9,3.00,0,,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-09-25,3,3,22.263,TAM,,LAR,L 32-37,True,36,58,62.07,405,3,1,93.0,2,16,6.98,7.24,4,13,3.25,0,,0,0,1,1,0,1,0,0,90,100%,0,0%,0,0%,False,Jameis Winston
2016,2016-10-02,4,4,22.270,TAM,,DEN,L 7-27,True,17,35,48.57,179,0,2,40.1,5,36,5.11,2.54,5,19,3.80,1,,1,6,1,0,0,1,-16,0,71,100%,0,0%,0,0%,False,Jameis Winston
2016,2016-10-10,5,5,22.278,TAM,@,CAR,W 17-14,True,18,30,60.00,219,1,0,93.6,2,17,7.30,7.97,4,6,1.50,0,,0,0,1,0,0,1,0,0,73,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-10-23,6,7,22.291,TAM,@,SFO,W 34-17,True,21,30,70.00,269,3,1,117.2,2,5,8.97,9.47,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-10-30,7,8,22.298,TAM,,OAK,L 24-30,True,16,32,50.00,180,2,0,88.0,2,12,5.63,6.88,3,16,5.33,0,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,False,Jameis Winston
2016,2016-11-03,8,9,22.302,TAM,,ATL,L 28-43,True,23,37,62.16,261,3,0,110.3,2,10,7.05,8.68,3,11,3.67,0,,0,0,1,1,0,0,0,0,68,85%,0,0%,0,0%,False,Jameis Winston
2016,2016-11-13,9,10,22.312,TAM,,CHI,W 36-10,True,23,33,69.70,312,2,1,107.1,4,32,9.45,9.30,0,0,,0,,0,0,0,0,0,0,0,0,72,96%,0,0%,0,0%,False,Jameis Winston
2016,2016-11-20,10,11,22.319,TAM,@,KAN,W 19-17,True,24,39,61.54,331,1,0,97.3,1,5,8.49,9.00,5,22,4.40,0,,0,0,2,1,0,0,-5,0,77,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-11-27,11,12,22.326,TAM,,SEA,W 14-5,True,21,28,75.00,220,2,1,106.3,0,0,7.86,7.68,5,12,2.40,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Jameis Winston
2016,2016-12-04,12,13,22.333,TAM,@,SDG,W 28-21,True,20,30,66.67,280,1,1,93.7,1,12,9.33,8.50,4,1,0.25,0,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Jameis Winston
2016,2016-12-11,13,14,22.340,TAM,,NOR,W 16-11,True,16,26,61.54,184,0,0,82.9,2,18,7.08,7.08,5,16,3.20,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Jameis Winston
2016,2016-12-18,14,15,22.347,TAM,@,DAL,L 20-26,True,17,35,48.57,247,2,3,55.3,4,23,7.06,4.34,1,6,6.00,0,,0,0,2,1,0,0,0,0,60,98%,0,0%,0,0%,True,Jameis Winston
2016,2016-12-24,15,16,22.353,TAM,@,NOR,L 24-31,True,23,35,65.71,277,2,2,85.1,2,17,7.91,6.49,3,14,4.67,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Jameis Winston
2016,2017-01-01,16,17,22.361,TAM,,CAR,W 17-16,True,20,35,57.14,202,1,1,71.4,3,14,5.77,5.06,3,18,6.00,0,,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-09-17,1,2,23.254,TAM,,CHI,W 29-7,True,18,30,60.00,204,1,0,91.5,2,10,6.80,7.47,1,3,3.00,0,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Jameis Winston
2017,2017-09-24,2,3,23.261,TAM,@,MIN,L 17-34,True,28,40,70.00,328,2,3,80.0,2,12,8.20,5.83,1,4,4.00,0,,0,0,2,0,0,2,0,0,53,100%,0,0%,0,0%,True,Jameis Winston
2017,2017-10-01,3,4,23.268,TAM,,NYG,W 25-23,True,22,38,57.89,332,3,0,113.0,1,9,8.74,10.32,4,12,3.00,0,,0,0,1,0,0,1,0,0,64,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-10-05,4,5,23.272,TAM,,NWE,L 14-19,True,26,46,56.52,334,1,0,86.7,2,15,7.26,7.70,3,11,3.67,0,,0,0,2,0,0,1,0,0,72,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-10-15,5,6,23.282,TAM,@,ARI,L 33-38,True,5,10,50.00,61,0,0,69.2,0,0,6.10,6.10,0,0,,0,,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,True,Jameis Winston
2017,2017-10-22,6,7,23.289,TAM,@,BUF,L 27-30,True,32,44,72.73,384,3,1,112.3,1,6,8.73,9.07,1,0,0.00,0,,0,0,2,1,0,1,-1,0,72,100%,0,0%,0,0%,True,Jameis Winston
2017,2017-10-29,7,8,23.296,TAM,,CAR,L 3-17,True,21,38,55.26,210,0,2,49.2,3,16,5.53,3.16,3,13,4.33,0,,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-11-05,8,9,23.303,TAM,@,NOR,L 10-30,True,7,13,53.85,67,0,0,68.4,2,12,5.15,5.15,2,8,4.00,0,,0,0,0,0,0,0,0,0,29,49%,0,0%,0,0%,True,Jameis Winston
2017,2017-11-12,9,10,,TAM,,NYJ,W 15-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jameis Winston
2017,2017-11-19,10,11,,TAM,@,MIA,W 30-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jameis Winston
2017,2017-11-26,11,12,,TAM,@,ATL,L 20-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jameis Winston
2017,2017-12-03,12,13,23.331,TAM,@,GNB,L 20-26,True,21,32,65.63,270,2,0,112.8,7,40,8.44,9.69,5,18,3.60,0,,0,0,2,1,0,2,-7,0,76,100%,0,0%,0,0%,True,Jameis Winston
2017,2017-12-10,13,14,23.338,TAM,,DET,L 21-24,True,26,38,68.42,285,2,2,86.0,3,18,7.50,6.18,2,10,5.00,0,,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-12-18,14,15,23.346,TAM,,ATL,L 21-24,True,27,35,77.14,299,3,0,130.5,2,10,8.54,10.26,3,18,6.00,0,,0,0,1,0,0,0,0,0,59,100%,0,0%,0,0%,False,Jameis Winston
2017,2017-12-24,15,16,23.352,TAM,@,CAR,L 19-22,True,21,27,77.78,367,1,0,131.1,6,41,13.59,14.33,3,6,2.00,0,,0,0,3,3,0,0,-1,0,64,100%,0,0%,0,0%,True,Jameis Winston
2017,2017-12-31,16,17,23.359,TAM,,NOR,W 31-24,True,28,51,54.90,363,1,3,59.5,2,18,7.12,4.86,5,32,6.40,1,,1,6,0,0,0,0,0,0,83,100%,0,0%,0,0%,False,Jameis Winston
2018,2018-09-09,1,1,,TAM,@,NOR,W 48-40,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Jameis Winston
2018,2018-09-16,2,2,,TAM,,PHI,W 27-21,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Jameis Winston
2018,2018-09-24,3,3,,TAM,,PIT,L 27-30,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Jameis Winston
2018,2018-09-30,4,4,24.267,TAM,@,CHI,L 10-48,False,16,20,80.00,145,1,2,74.0,2,11,7.25,3.75,1,7,7.00,0,,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,True,Jameis Winston
2018,2018-10-14,5,6,24.281,TAM,@,ATL,L 29-34,True,30,41,73.17,395,4,2,115.4,2,6,9.63,9.39,5,29,5.80,0,,0,0,2,0,0,1,0,0,66,100%,0,0%,0,0%,True,Jameis Winston
2018,2018-10-21,6,7,24.288,TAM,,CLE,W 26-23,True,32,52,61.54,365,0,2,66.6,4,23,7.02,5.29,10,55,5.50,1,,1,6,2,1,0,1,-1,0,95,100%,0,0%,0,0%,False,Jameis Winston
2018,2018-10-28,7,8,24.295,TAM,@,CIN,L 34-37,True,18,35,51.43,276,1,4,47.7,5,20,7.89,3.31,3,18,6.00,0,,0,0,0,0,0,0,0,0,63,72%,0,0%,0,0%,True,Jameis Winston
2018,2018-11-04,8,9,,TAM,@,CAR,L 28-42,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Jameis Winston
2018,2018-11-11,9,10,,TAM,,WAS,L 3-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Jameis Winston
2018,2018-11-18,10,11,24.316,TAM,@,NYG,L 35-38,False,12,16,75.00,199,2,1,129.9,0,0,12.44,12.13,5,16,3.20,0,,0,0,1,0,0,0,0,0,30,42%,0,0%,0,0%,True,Jameis Winston
2018,2018-11-25,11,12,24.323,TAM,,SFO,W 27-9,True,29,38,76.32,312,2,0,117.4,1,8,8.21,9.26,7,24,3.43,0,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,False,Jameis Winston
2018,2018-12-02,12,13,24.330,TAM,,CAR,W 24-17,True,20,30,66.67,249,2,0,114.4,4,29,8.30,9.63,5,48,9.60,0,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,False,Jameis Winston
2018,2018-12-09,13,14,24.337,TAM,,NOR,L 14-28,True,18,38,47.37,213,2,1,71.5,4,39,5.61,5.47,5,47,9.40,0,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,False,Jameis Winston
2018,2018-12-16,14,15,24.344,TAM,@,BAL,L 12-20,True,13,25,52.00,157,0,1,54.9,1,1,6.28,4.48,2,0,0.00,0,,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,True,Jameis Winston
2018,2018-12-23,15,16,24.351,TAM,@,DAL,L 20-27,True,34,48,70.83,336,1,0,97.2,3,16,7.00,7.42,4,14,3.50,0,,0,0,2,2,0,0,-17,0,80,100%,0,0%,0,0%,True,Jameis Winston
2018,2018-12-30,16,17,24.358,TAM,,ATL,L 32-34,True,22,35,62.86,345,4,1,121.7,1,4,9.86,10.86,2,23,11.50,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-09-08,1,1,25.245,TAM,,SFO,L 17-31,True,20,36,55.56,194,1,3,45.4,3,20,5.39,2.19,5,13,2.60,0,,0,0,2,0,0,1,-3,0,69,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-09-12,2,2,25.249,TAM,@,CAR,W 20-14,True,16,25,64.00,208,1,0,103.4,3,19,8.32,9.12,4,9,2.25,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-09-22,3,3,25.259,TAM,,NYG,L 31-32,True,23,37,62.16,380,3,1,112.4,4,25,10.27,10.68,4,3,0.75,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-09-29,4,4,25.266,TAM,@,LAR,W 55-40,True,28,41,68.29,385,4,1,120.5,2,9,9.39,10.24,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-10-06,5,5,25.273,TAM,@,NOR,L 24-31,True,15,27,55.56,204,2,0,104.6,6,46,7.56,9.04,3,13,4.33,0,,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-10-13,6,6,25.280,TAM,,CAR,L 26-37,True,30,54,55.56,400,1,5,46.8,7,35,7.41,3.61,1,1,1.00,0,1,0,2,2,1,0,0,0,0,80,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-10-27,7,8,25.294,TAM,@,TEN,L 23-27,True,21,43,48.84,301,2,2,68.1,3,18,7.00,5.84,8,53,6.63,0,,0,0,3,2,0,1,-6,0,81,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-11-03,8,9,25.301,TAM,@,SEA,L 34-40,True,29,44,65.91,335,2,0,103.9,2,16,7.61,8.52,2,8,4.00,0,,0,0,1,1,0,0,0,0,76,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-11-10,9,10,25.308,TAM,,ARI,W 30-27,True,30,48,62.50,358,1,2,74.8,4,19,7.46,6.00,3,40,13.33,0,,0,0,1,0,0,0,0,0,83,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-11-17,10,11,25.315,TAM,,NOR,L 17-34,True,30,51,58.82,313,2,4,57.1,2,15,6.14,3.39,2,23,11.50,0,,0,0,1,0,0,1,-5,0,67,100%,0,0%,0,0%,False,Jameis Winston
2019,2019-11-24,11,12,25.322,TAM,@,ATL,W 35-22,True,18,28,64.29,313,3,2,108.2,0,0,11.18,10.11,8,38,4.75,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Jameis Winston
2019,2019-12-01,12,13,25.329,TAM,@,JAX,W 28-11,True,21,33,63.64,268,0,0,89.0,4,27,8.12,8.12,6,20,3.33,0,,0,0,1,1,0,0,0,0,75,99%,0,0%,0,0%,True,Jameis Winston
2019,2019-12-08,13,14,25.336,TAM,,IND,W 38-35,True,33,45,73.33,456,4,3,107.3,1,7,10.13,8.91,6,5,0.83,1,,1,6,0,0,0,0,0,0,72,92%,0,0%,0,0%,False,Jameis Winston
2019,2019-12-15,14,15,25.343,TAM,@,DET,W 38-17,True,28,42,66.67,458,4,1,124.9,2,12,10.90,11.74,2,4,2.00,0,,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,True,Jameis Winston
