Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,22.160,PIT,@,CLE,T 21-21,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,13%,0,0%,5,14%,True,James Washington
2018,2018-09-16,2,2,22.167,PIT,,KAN,L 37-42,True,5,1,14,14.00,1,20.0%,2.80,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,80%,0,0%,0,0%,False,James Washington
2018,2018-09-24,3,3,22.175,PIT,@,TAM,W 30-27,True,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,0,0%,True,James Washington
2018,2018-09-30,4,4,22.181,PIT,,BAL,L 14-26,True,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,76%,0,0%,5,17%,False,James Washington
2018,2018-10-07,5,5,22.188,PIT,,ATL,W 41-17,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,57%,0,0%,0,0%,False,James Washington
2018,2018-10-14,6,6,22.195,PIT,@,CIN,W 28-21,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,22%,0,0%,0,0%,True,James Washington
2018,2018-10-28,7,8,,PIT,,CLE,W 33-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,James Washington
2018,2018-11-04,8,9,22.216,PIT,@,BAL,W 23-16,False,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,70,86%,0,0%,0,0%,True,James Washington
2018,2018-11-08,9,10,22.220,PIT,,CAR,W 52-21,True,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,79%,0,0%,1,3%,False,James Washington
2018,2018-11-18,10,11,22.230,PIT,@,JAX,W 20-16,True,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,54%,0,0%,0,0%,True,James Washington
2018,2018-11-25,11,12,22.237,PIT,@,DEN,L 17-24,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,23%,0,0%,0,0%,True,James Washington
2018,2018-12-02,12,13,,PIT,,LAC,L 30-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,James Washington
2018,2018-12-09,13,14,22.251,PIT,@,OAK,L 21-24,False,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,37%,0,0%,0,0%,True,James Washington
2018,2018-12-16,14,15,22.258,PIT,,NWE,W 17-10,False,4,3,65,21.67,0,75.0%,16.25,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,69%,0,0%,0,0%,False,James Washington
2018,2018-12-23,15,16,22.265,PIT,@,NOR,L 28-31,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,36%,0,0%,0,0%,True,James Washington
2018,2018-12-30,16,17,22.272,PIT,,CIN,W 16-13,True,3,3,64,21.33,0,100.0%,21.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,72%,0,0%,0,0%,False,James Washington
2019,2019-09-08,1,1,23.159,PIT,@,NWE,L 3-33,True,6,2,51,25.50,0,33.3%,8.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,52%,0,0%,1,4%,True,James Washington
2019,2019-09-15,2,2,23.166,PIT,,SEA,L 26-28,False,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,59%,0,0%,5,17%,False,James Washington
2019,2019-09-22,3,3,23.173,PIT,@,SFO,L 20-24,True,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,92%,0,0%,5,19%,True,James Washington
2019,2019-09-30,4,4,23.181,PIT,,CIN,W 27-3,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,76%,0,0%,2,9%,False,James Washington
2019,2019-10-06,5,5,23.187,PIT,,BAL,L 23-26,True,6,3,52,17.33,0,50.0%,8.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,53%,0,0%,4,13%,False,James Washington
2019,2019-10-13,6,6,,PIT,@,LAC,W 24-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,James Washington
2019,2019-10-28,7,8,23.209,PIT,,MIA,W 27-14,True,6,1,21,21.00,0,16.7%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,47%,0,0%,0,0%,False,James Washington
2019,2019-11-03,8,9,23.215,PIT,,IND,W 26-24,False,4,4,69,17.25,0,100.0%,17.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,42%,0,0%,5,19%,False,James Washington
2019,2019-11-10,9,10,23.222,PIT,,LAR,W 17-12,False,7,6,90,15.00,1,85.7%,12.86,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,37,51%,0,0%,3,8%,False,James Washington
2019,2019-11-14,10,11,23.226,PIT,@,CLE,L 7-21,False,5,3,49,16.33,0,60.0%,9.80,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,85%,0,0%,4,15%,True,James Washington
2019,2019-11-24,11,12,23.236,PIT,@,CIN,W 16-10,False,7,3,98,32.67,1,42.9%,14.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,78%,0,0%,0,0%,True,James Washington
2019,2019-12-01,12,13,23.243,PIT,,CLE,W 20-13,True,4,4,111,27.75,1,100.0%,27.75,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,False,James Washington
2019,2019-12-08,13,14,23.250,PIT,@,ARI,W 23-17,True,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,71%,0,0%,0,0%,True,James Washington
2019,2019-12-15,14,15,23.257,PIT,,BUF,L 10-17,True,11,5,83,16.60,0,45.5%,7.55,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,False,James Washington
2019,2019-12-22,15,16,23.264,PIT,@,NYJ,L 10-16,True,8,5,41,8.20,0,62.5%,5.13,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,True,James Washington
2019,2019-12-29,16,17,23.271,PIT,@,BAL,L 10-28,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,88%,0,0%,0,0%,True,James Washington
