Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-09-10,1.0,1.0,,TEN,PIT,L 10-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jared Cook,False,10,13
2009.0,2009-09-20,2.0,2.0,22.166,TEN,HOU,L 31-34,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Jared Cook,False,31,34
2009.0,2009-09-27,3.0,3.0,22.173,TEN,NYJ,L 17-24,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jared Cook,False,17,24
2009.0,2009-10-04,4.0,4.0,22.18,TEN,JAX,L 17-37,False,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Jared Cook,False,17,37
2009.0,2009-10-11,5.0,5.0,22.187,TEN,IND,L 9-31,False,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jared Cook,False,9,31
2009.0,2009-10-18,6.0,6.0,22.194,TEN,NWE,L 0-59,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Jared Cook,False,0,59
2009.0,2009-11-01,7.0,8.0,22.208,TEN,JAX,W 30-13,False,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jared Cook,True,30,13
2009.0,2009-11-08,8.0,9.0,22.215,TEN,SFO,W 34-27,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jared Cook,True,34,27
2009.0,2009-11-15,9.0,10.0,22.222,TEN,BUF,W 41-17,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Jared Cook,True,41,17
2009.0,2009-11-23,10.0,11.0,22.23,TEN,HOU,W 20-17,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jared Cook,True,20,17
2009.0,2009-11-29,11.0,12.0,22.236,TEN,ARI,W 20-17,False,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jared Cook,True,20,17
2009.0,2009-12-06,12.0,13.0,22.243,TEN,IND,L 17-27,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Jared Cook,False,17,27
2009.0,2009-12-13,13.0,14.0,,TEN,STL,W 47-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jared Cook,True,47,7
2009.0,2009-12-20,14.0,15.0,22.257,TEN,MIA,W 27-24,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,False,Jared Cook,True,27,24
2009.0,2009-12-25,15.0,16.0,22.262,TEN,SDG,L 17-42,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,False,Jared Cook,False,17,42
2009.0,2010-01-03,16.0,17.0,22.271,TEN,SEA,W 17-13,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jared Cook,True,17,13
2010.0,2010-09-12,1.0,1.0,23.158,TEN,OAK,W 38-13,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Jared Cook,True,38,13
2010.0,2010-09-19,2.0,2.0,23.165,TEN,PIT,L 11-19,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,2,0,,,,,,,False,Jared Cook,False,11,19
2010.0,2010-09-26,3.0,3.0,23.172,TEN,NYG,W 29-10,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jared Cook,True,29,10
2010.0,2010-10-03,4.0,4.0,23.179,TEN,DEN,L 20-26,False,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jared Cook,False,20,26
2010.0,2010-10-10,5.0,5.0,23.186,TEN,DAL,W 34-27,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,Jared Cook,True,34,27
2010.0,2010-10-18,6.0,6.0,23.194,TEN,JAX,W 30-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,Jared Cook,True,30,3
