Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.297,MIA,TEN,W 27-20,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,2.0,2.0,100.0,0,9,0.0,0%,0.0,0%,11.0,39%,False,Jason Sanders,True,27,20
2018.0,2018-09-16,2.0,2.0,22.304,MIA,NYJ,W 20-12,False,0,0,0,,0,0.0%,,2.0,3.0,66.7,,,,0,2,0.0,0%,0.0,0%,7.0,28%,True,Jason Sanders,True,20,12
2018.0,2018-09-23,3.0,3.0,22.311,MIA,OAK,W 28-20,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,,,,0,4,0.0,0%,0.0,0%,9.0,33%,False,Jason Sanders,True,28,20
2018.0,2018-09-30,4.0,4.0,22.318,MIA,NWE,L 7-38,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,,,,0,1,0.0,0%,0.0,0%,3.0,12%,True,Jason Sanders,False,7,38
2018.0,2018-10-07,5.0,5.0,22.325,MIA,CIN,L 17-27,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,24%,True,Jason Sanders,False,17,27
2018.0,2018-10-14,6.0,6.0,22.332,MIA,CHI,W 31-28,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,3.0,3.0,100.0,0,11,0.0,0%,0.0,0%,11.0,39%,False,Jason Sanders,True,31,28
2018.0,2018-10-21,7.0,7.0,22.339,MIA,DET,L 21-32,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,,1.0,0.0,0,3,0.0,0%,0.0,0%,8.0,30%,False,Jason Sanders,False,21,32
2018.0,2018-10-25,8.0,8.0,22.343,MIA,HOU,L 23-42,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,3.0,3.0,100.0,0,11,0.0,0%,0.0,0%,12.0,34%,True,Jason Sanders,False,23,42
2018.0,2018-11-04,9.0,9.0,22.353,MIA,NYJ,W 13-6,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,2.0,2.0,100.0,0,7,0.0,0%,0.0,0%,7.0,25%,False,Jason Sanders,True,13,6
2018.0,2018-11-11,10.0,10.0,22.36,MIA,GNB,L 12-31,False,0,0,0,,0,0.0%,,,,,4.0,4.0,100.0,0,12,0.0,0%,0.0,0%,9.0,35%,True,Jason Sanders,False,12,31
2018.0,2018-11-25,11.0,12.0,23.009,MIA,IND,L 24-27,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,1.0,1.0,100.0,0,6,0.0,0%,0.0,0%,9.0,31%,True,Jason Sanders,False,24,27
2018.0,2018-12-02,12.0,13.0,23.016,MIA,BUF,W 21-17,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,,,,0,3,0.0,0%,0.0,0%,7.0,28%,False,Jason Sanders,True,21,17
2018.0,2018-12-09,13.0,14.0,23.023,MIA,NWE,W 34-33,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,,,,0,4,0.0,0%,0.0,0%,9.0,28%,False,Jason Sanders,True,34,33
2018.0,2018-12-16,14.0,15.0,23.03,MIA,MIN,L 17-41,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,22%,True,Jason Sanders,False,17,41
2018.0,2018-12-23,15.0,16.0,23.037,MIA,JAX,L 7-17,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,,1.0,0.0,0,1,0.0,0%,0.0,0%,4.0,17%,False,Jason Sanders,False,7,17
2018.0,2018-12-30,16.0,17.0,23.044,MIA,BUF,L 17-42,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,24%,True,Jason Sanders,False,17,42
2019.0,2019-09-08,1.0,1.0,23.296,MIA,BAL,L 10-59,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,1.0,1.0,100.0,0,4,0.0,0%,0.0,0%,5.0,16%,False,Jason Sanders,False,10,59
2019.0,2019-09-15,2.0,2.0,23.303,MIA,NWE,L 0-43,False,0,0,0,,0,0.0%,,,,,,,,0,0,0.0,0%,0.0,0%,1.0,4%,False,Jason Sanders,False,0,43
2019.0,2019-09-22,3.0,3.0,23.31,MIA,DAL,L 6-31,False,0,0,0,,0,0.0%,,,,,2.0,3.0,66.7,0,6,0.0,0%,0.0,0%,7.0,25%,True,Jason Sanders,False,6,31
2019.0,2019-09-29,4.0,4.0,23.317,MIA,LAC,L 10-30,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,1.0,3.0,33.3,0,4,0.0,0%,0.0,0%,7.0,30%,False,Jason Sanders,False,10,30
2019.0,2019-10-13,5.0,6.0,23.331,MIA,WAS,L 16-17,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,1.0,1.0,100.0,0,4,0.0,0%,0.0,0%,7.0,23%,False,Jason Sanders,False,16,17
2019.0,2019-10-20,6.0,7.0,23.338,MIA,BUF,L 21-31,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,,,,0,3,0.0,0%,0.0,0%,8.0,30%,True,Jason Sanders,False,21,31
2019.0,2019-10-28,7.0,8.0,23.346,MIA,PIT,L 14-27,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,,,,0,2,0.0,0%,0.0,0%,5.0,23%,True,Jason Sanders,False,14,27
2019.0,2019-11-03,8.0,9.0,23.352,MIA,NYJ,W 26-18,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,1.0,2.0,50.0,0,6,0.0,0%,0.0,0%,10.0,33%,False,Jason Sanders,True,26,18
2019.0,2019-11-10,9.0,10.0,23.359,MIA,IND,W 16-12,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,3.0,3.0,100.0,0,10,0.0,0%,0.0,0%,9.0,33%,True,Jason Sanders,True,16,12
2019.0,2019-11-17,10.0,11.0,24.001,MIA,BUF,L 20-37,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,,,,0,2,1.0,1%,0.0,0%,6.0,19%,False,Jason Sanders,False,20,37
2019.0,2019-11-24,11.0,12.0,24.008,MIA,CLE,L 24-41,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,1.0,1.0,100.0,0,6,0.0,0%,0.0,0%,8.0,27%,True,Jason Sanders,False,24,41
2019.0,2019-12-01,12.0,13.0,24.015,MIA,PHI,W 37-31,False,1,1,1,1.0,1,100.0%,1.0,2.0,3.0,66.7,1.0,1.0,100.0,1,11,0.0,0%,0.0,0%,12.0,38%,False,Jason Sanders,True,37,31
2019.0,2019-12-08,13.0,14.0,24.022,MIA,NYJ,L 21-22,False,0,0,0,,0,0.0%,,,,,7.0,8.0,87.5,0,21,0.0,0%,0.0,0%,16.0,53%,True,Jason Sanders,False,21,22
2019.0,2019-12-15,14.0,15.0,24.029,MIA,NYG,L 20-36,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0%,0.0,0%,10.0,33%,True,Jason Sanders,False,20,36
2019.0,2019-12-22,15.0,16.0,24.036,MIA,CIN,W 38-35,False,0,0,0,,0,0.0%,,5.0,5.0,100.0,1.0,2.0,50.0,0,8,0.0,0%,0.0,0%,13.0,34%,False,Jason Sanders,True,38,35
2019.0,2019-12-29,16.0,17.0,24.043,MIA,NWE,W 27-24,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,2.0,2.0,100.0,0,9,0.0,0%,0.0,0%,11.0,37%,True,Jason Sanders,True,27,24
2020.0,2020-09-13,1.0,1.0,24.302,MIA,NWE,L 11-21,False,0,0,0,,0,0.0%,,,,,1.0,1.0,100.0,0,3,0.0,0%,0.0,0%,4.0,21%,True,Jason Sanders,False,11,21
2020.0,2020-09-20,2.0,2.0,24.309,MIA,BUF,L 28-31,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0%,0.0,0%,10.0,33%,False,Jason Sanders,False,28,31
2020.0,2020-09-24,3.0,3.0,24.313,MIA,JAX,W 31-13,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,1.0,1.0,100.0,0,7,0.0,0%,0.0,0%,11.0,48%,True,Jason Sanders,True,31,13
2020.0,2020-10-04,4.0,4.0,24.323,MIA,SEA,L 23-31,False,0,0,0,,0,0.0%,,,,,5.0,5.0,100.0,0,15,0.0,0%,0.0,0%,12.0,46%,False,Jason Sanders,False,23,31
2020.0,2020-10-11,5.0,5.0,24.33,MIA,SFO,W 43-17,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,5.0,5.0,100.0,0,19,0.0,0%,0.0,0%,18.0,56%,True,Jason Sanders,True,43,17
2020.0,2020-10-18,6.0,6.0,24.337,MIA,NYJ,W 24-0,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,1.0,1.0,100.0,0,6,0.0,0%,0.0,0%,9.0,31%,False,Jason Sanders,True,24,0
2020.0,2020-11-01,7.0,8.0,24.351,MIA,LAR,W 28-17,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,,,,0,4,0.0,0%,0.0,0%,9.0,27%,False,Jason Sanders,True,28,17
2020.0,2020-11-08,8.0,9.0,24.358,MIA,ARI,W 34-31,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,2.0,2.0,100.0,0,10,0.0,0%,0.0,0%,12.0,43%,True,Jason Sanders,True,34,31
2020.0,2020-11-15,9.0,10.0,24.365,MIA,LAC,W 29-21,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,3.0,4.0,75.0,0,11,0.0,0%,0.0,0%,14.0,48%,False,Jason Sanders,True,29,21
2020.0,2020-11-22,10.0,11.0,25.006,MIA,DEN,L 13-20,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,2.0,2.0,100.0,0,7,0.0,0%,0.0,0%,7.0,29%,True,Jason Sanders,False,13,20
2020.0,2020-11-29,11.0,12.0,25.013,MIA,NYJ,W 20-3,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0%,0.0,0%,9.0,39%,True,Jason Sanders,True,20,3
2020.0,2020-12-06,12.0,13.0,25.02,MIA,CIN,W 19-7,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,4.0,4.0,100.0,0,13,0.0,0%,0.0,0%,11.0,39%,False,Jason Sanders,True,19,7
2020.0,2020-12-13,13.0,14.0,25.027,MIA,KAN,L 27-33,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,2.0,3.0,66.7,0,9,0.0,0%,0.0,0%,12.0,35%,False,Jason Sanders,False,27,33
2020.0,2020-12-20,14.0,15.0,25.034,MIA,NWE,W 22-12,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,,1.0,0.0,0,2,0.0,0%,0.0,0%,7.0,32%,False,Jason Sanders,True,22,12
2020.0,2020-12-26,15.0,16.0,25.04,MIA,LVR,W 26-25,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,4.0,4.0,100.0,0,14,0.0,0%,0.0,0%,13.0,36%,True,Jason Sanders,True,26,25
2020.0,2021-01-03,16.0,17.0,25.048,MIA,BUF,L 26-56,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0%,0.0,0%,10.0,27%,True,Jason Sanders,False,26,56
2021.0,2021-09-12,1.0,1.0,25.3,MIA,NWE,W 17-16,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,6.0,29%,True,Jason Sanders,True,17,16
2021.0,2021-09-19,2.0,2.0,25.307,MIA,BUF,L 0-35,False,0,0,0,,0,0.0%,,,,,,,,0,0,0.0,0%,0.0,0%,1.0,5%,False,Jason Sanders,False,0,35
2021.0,2021-09-26,3.0,3.0,25.314,MIA,LVR,L 28-31,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0%,0.0,0%,12.0,36%,True,Jason Sanders,False,28,31
2021.0,2021-10-03,4.0,4.0,25.321,MIA,IND,L 17-27,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,25%,False,Jason Sanders,False,17,27
2021.0,2021-10-10,5.0,5.0,25.328,MIA,TAM,L 17-45,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,25%,True,Jason Sanders,False,17,45
2021.0,2021-10-17,6.0,6.0,25.335,MIA,JAX,L 20-23,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0%,0.0,0%,10.0,36%,True,Jason Sanders,False,20,23
2021.0,2021-10-24,7.0,7.0,25.342,MIA,ATL,L 28-30,False,0,0,0,,0,0.0%,,4.0,4.0,100.0,,1.0,0.0,0,4,0.0,0%,0.0,0%,10.0,36%,False,Jason Sanders,False,28,30
2021.0,2021-10-31,8.0,8.0,25.349,MIA,BUF,L 11-26,False,0,0,0,,0,0.0%,,,,,1.0,2.0,50.0,0,3,0.0,0%,0.0,0%,5.0,21%,True,Jason Sanders,False,11,26
2021.0,2021-11-07,9.0,9.0,25.356,MIA,HOU,W 17-9,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0%,0.0,0%,7.0,29%,False,Jason Sanders,True,17,9
2021.0,2021-11-11,10.0,10.0,25.36,MIA,BAL,W 22-10,False,0,0,0,,0,0.0%,,1.0,1.0,100.0,3.0,3.0,100.0,0,10,0.0,0%,0.0,0%,10.0,31%,False,Jason Sanders,True,22,10
2021.0,2021-11-21,11.0,11.0,26.005,MIA,NYJ,W 24-17,False,0,0,0,,0,0.0%,,3.0,3.0,100.0,1.0,2.0,50.0,0,6,0.0,0%,0.0,0%,10.0,36%,True,Jason Sanders,True,24,17
2021.0,2021-11-28,12.0,12.0,26.012,MIA,CAR,W 33-10,False,0,0,0,,0,0.0%,,3.0,4.0,75.0,2.0,2.0,100.0,0,9,0.0,0%,0.0,0%,13.0,46%,False,Jason Sanders,True,33,10
2021.0,2021-12-05,13.0,13.0,26.019,MIA,NYG,W 20-9,False,0,0,0,,0,0.0%,,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0%,0.0,0%,10.0,33%,False,Jason Sanders,True,20,9
