Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2003.0,2003-09-07,1.0,1.0,21.124,DAL,ATL,L 13-27,True,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,False,13,27
2003.0,2003-09-15,2.0,2.0,21.132,DAL,NYG,W 35-32,True,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,True,35,32
2003.0,2003-09-28,3.0,4.0,21.145,DAL,NYJ,W 17-6,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jason Witten,True,17,6
2003.0,2003-10-05,4.0,5.0,21.152,DAL,ARI,W 24-7,True,6,4,41,10.25,0,66.7%,6.83,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,24,7
2003.0,2003-10-12,5.0,6.0,,DAL,PHI,W 23-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jason Witten,True,23,21
2003.0,2003-10-19,6.0,7.0,21.166,DAL,DET,W 38-7,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jason Witten,True,38,7
2003.0,2003-10-26,7.0,8.0,21.173,DAL,TAM,L 0-16,False,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,0,16
2003.0,2003-11-02,8.0,9.0,21.18,DAL,WAS,W 21-14,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Jason Witten,True,21,14
2003.0,2003-11-09,9.0,10.0,21.187,DAL,BUF,W 10-6,False,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,10,6
2003.0,2003-11-16,10.0,11.0,21.194,DAL,NWE,L 0-12,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,0,12
2003.0,2003-11-23,11.0,12.0,21.201,DAL,CAR,W 24-20,False,6,6,49,8.17,0,100.0%,8.17,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,24,20
2003.0,2003-11-27,12.0,13.0,21.205,DAL,MIA,L 21-40,True,11,8,58,7.25,0,72.7%,5.27,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,False,21,40
2003.0,2003-12-07,13.0,14.0,21.215,DAL,PHI,L 10-36,True,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,10,36
2003.0,2003-12-14,14.0,15.0,21.222,DAL,WAS,W 27-0,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jason Witten,True,27,0
2003.0,2003-12-21,15.0,16.0,21.229,DAL,NYG,W 19-3,False,2,1,36,36.00,1,50.0%,18.00,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,19,3
2003.0,2003-12-28,16.0,17.0,21.236,DAL,NOR,L 7-13,True,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,7,13
2004.0,2004-09-12,1.0,1.0,22.129,DAL,MIN,L 17-35,False,8,3,17,5.67,0,37.5%,2.13,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,17,35
2004.0,2004-09-19,2.0,2.0,22.136,DAL,CLE,W 19-12,True,6,6,82,13.67,0,100.0%,13.67,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,19,12
2004.0,2004-09-27,3.0,3.0,22.144,DAL,WAS,W 21-18,True,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,True,21,18
2004.0,2004-10-10,4.0,5.0,22.157,DAL,NYG,L 10-26,True,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,,,,,,,False,Jason Witten,False,10,26
2004.0,2004-10-17,5.0,6.0,22.164,DAL,PIT,L 20-24,True,6,5,39,7.80,0,83.3%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,False,Jason Witten,False,20,24
2004.0,2004-10-24,6.0,7.0,22.171,DAL,GNB,L 20-41,True,10,8,112,14.00,1,80.0%,11.20,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,20,41
2004.0,2004-10-31,7.0,8.0,22.178,DAL,DET,W 31-21,True,9,9,84,9.33,1,100.0%,9.33,0,0,,0,0,0,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,31,21
2004.0,2004-11-07,8.0,9.0,22.185,DAL,CIN,L 3-26,True,6,6,97,16.17,0,100.0%,16.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,3,26
2004.0,2004-11-15,9.0,10.0,22.193,DAL,PHI,L 21-49,True,11,9,133,14.78,2,81.8%,12.09,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,Jason Witten,False,21,49
2004.0,2004-11-21,10.0,11.0,22.199,DAL,BAL,L 10-30,True,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Jason Witten,False,10,30
2004.0,2004-11-25,11.0,12.0,22.203,DAL,CHI,W 21-7,True,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,Jason Witten,True,21,7
2004.0,2004-12-06,12.0,13.0,22.214,DAL,SEA,W 43-39,True,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,Jason Witten,True,43,39
