Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-09-12,1.0,1.0,21.14,DEN,NYG,W 27-13,False,14,45,3.21,0,1,1,-4,-4.0,0,100.0%,-4.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33.0,50%,0.0,0%,0.0,0%,True,Javonte Williams,True,27,13
2021.0,2021-09-19,2.0,2.0,21.147,DEN,JAX,W 23-13,False,13,64,4.92,0,1,1,10,10.0,0,100.0%,10.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28.0,41%,0.0,0%,1.0,4%,True,Javonte Williams,True,23,13
2021.0,2021-09-26,3.0,3.0,21.154,DEN,NYJ,W 26-0,False,12,29,2.42,1,4,3,33,11.0,0,75.0%,8.25,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,27.0,40%,0.0,0%,0.0,0%,False,Javonte Williams,True,26,0
2021.0,2021-10-03,4.0,4.0,21.161,DEN,BAL,L 7-23,False,7,48,6.86,0,3,3,11,3.67,0,100.0%,3.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31.0,51%,0.0,0%,0.0,0%,False,Javonte Williams,False,7,23
2021.0,2021-10-10,5.0,5.0,21.168,DEN,PIT,L 19-27,False,8,61,7.63,0,3,3,25,8.33,0,100.0%,8.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25.0,42%,0.0,0%,0.0,0%,True,Javonte Williams,False,19,27
2021.0,2021-10-17,6.0,6.0,21.175,DEN,LVR,L 24-34,False,11,53,4.82,0,3,3,15,5.0,0,100.0%,5.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,38.0,47%,0.0,0%,0.0,0%,False,Javonte Williams,False,24,34
2021.0,2021-10-21,7.0,7.0,21.179,DEN,CLE,L 14-17,False,4,20,5.0,0,7,6,32,5.33,1,85.7%,4.57,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21.0,42%,0.0,0%,0.0,0%,True,Javonte Williams,False,14,17
2021.0,2021-10-31,8.0,8.0,21.189,DEN,WAS,W 17-10,False,9,35,3.89,0,4,2,13,6.5,0,50.0%,3.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23.0,43%,0.0,0%,0.0,0%,False,Javonte Williams,True,17,10
2021.0,2021-11-07,9.0,9.0,21.196,DEN,DAL,W 30-16,False,17,111,6.53,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37.0,47%,0.0,0%,2.0,9%,True,Javonte Williams,True,30,16
2021.0,2021-11-14,10.0,10.0,21.203,DEN,PHI,L 13-30,False,8,48,6.0,0,3,2,1,0.5,0,66.7%,0.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33.0,57%,0.0,0%,0.0,0%,False,Javonte Williams,False,13,30
2021.0,2021-11-28,11.0,12.0,21.217,DEN,LAC,W 28-13,False,14,54,3.86,1,4,3,57,19.0,0,75.0%,14.25,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36.0,58%,0.0,0%,1.0,5%,False,Javonte Williams,True,28,13
2021.0,2021-12-05,12.0,13.0,21.224,DEN,KAN,L 9-22,True,23,102,4.43,0,9,6,76,12.67,1,66.7%,8.44,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,60.0,78%,0.0,0%,0.0,0%,True,Javonte Williams,False,9,22
2021.0,2021-12-12,13.0,14.0,21.231,DEN,DET,W 38-10,False,15,73,4.87,1,2,1,10,10.0,1,50.0%,5.0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,33.0,49%,0.0,0%,0.0,0%,False,Javonte Williams,True,38,10
2021.0,2021-12-19,14.0,15.0,21.238,DEN,CIN,L 10-15,False,15,72,4.8,0,4,4,9,2.25,0,100.0%,2.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44.0,59%,0.0,0%,0.0,0%,False,Javonte Williams,False,10,15
2021.0,2021-12-26,15.0,16.0,21.245,DEN,LVR,L 13-17,False,7,12,1.71,1,2,2,8,4.0,0,100.0%,4.0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,22.0,52%,0.0,0%,0.0,0%,True,Javonte Williams,False,13,17
2021.0,2022-01-02,16.0,17.0,21.252,DEN,LAC,L 13-34,False,14,30,2.14,0,1,1,2,2.0,0,100.0%,2.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30.0,50%,0.0,0%,0.0,0%,True,Javonte Williams,False,13,34
2021.0,2022-01-08,17.0,18.0,21.258,DEN,KAN,L 24-28,False,12,46,3.83,0,2,2,18,9.0,0,100.0%,9.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30.0,56%,0.0,0%,0.0,0%,False,Javonte Williams,False,24,28
,17 Games,,,,,,7-10-0,False,203,903,4.45,4,53,43,316,7.35,3,81.1%,5.96,7,42,0.0,1,0,1,0,0,2,1,0,1,0,0,,,,,,,False,Javonte Williams,False,10,0
