Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2001,2001-09-09,1,1,25.109,ATL,SFO,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Jay Feely
2001,2001-09-23,2,2,25.123,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,16,Jay Feely
2001,2001-09-30,3,3,25.130,ATL,ARI,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,34,14,Jay Feely
2001,2001-10-07,4,4,25.137,ATL,CHI,False,0,0,,0,0,0,0,,0,0.0%,,,,,1,2,50.0,0,3,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,31,Jay Feely
2001,2001-10-14,5,5,25.144,ATL,SFO,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,31,37,Jay Feely
2001,2001-10-21,6,6,25.151,ATL,NOR,False,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,2,2,100.0,2,2,100.0,0,8,0.0,2,0,2,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,20,13,Jay Feely
2001,2001-11-04,7,8,25.165,ATL,NWE,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,24,Jay Feely
2001,2001-11-11,8,9,25.172,ATL,DAL,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,13,Jay Feely
2001,2001-11-18,9,10,25.179,ATL,GNB,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Jay Feely
2001,2001-11-25,10,11,25.186,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,10,7,Jay Feely
2001,2001-12-02,11,12,25.193,ATL,STL,False,0,0,,0,0,0,0,,0,0.0%,,,,,2,4,50.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,6,35,Jay Feely
2001,2001-12-09,12,13,25.200,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,28,Jay Feely
2001,2001-12-16,13,14,25.207,ATL,IND,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,27,41,Jay Feely
2001,2001-12-23,14,15,25.214,ATL,BUF,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,4,4,100.0,0,15,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,33,30,Jay Feely
2001,2001-12-30,15,16,25.221,ATL,MIA,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,21,Jay Feely
2001,2002-01-06,16,17,25.228,ATL,STL,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,31,Jay Feely
2002,2002-09-08,1,1,26.108,ATL,GNB,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,34,37,Jay Feely
2002,2002-09-15,2,2,26.115,ATL,CHI,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,4,50.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,14,Jay Feely
2002,2002-09-22,3,3,26.122,ATL,CIN,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,3,Jay Feely
2002,2002-10-06,4,5,26.136,ATL,TAM,False,0,0,,0,0,0,0,,0,0.0%,,,,,2,3,66.7,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,6,20,Jay Feely
2002,2002-10-13,5,6,26.143,ATL,NYG,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,17,10,Jay Feely
2002,2002-10-20,6,7,26.150,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,0,Jay Feely
