Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,22.307,NYJ,DAL,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,13,4.33,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,False,True,27,24,Jeremy Kerley
2011,2011-09-18,2,2,22.314,NYJ,JAX,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,32,3,Jeremy Kerley
2011,2011-09-25,3,3,22.321,NYJ,OAK,False,0,0,0,,0,0.0%,,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,80,20.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,34,Jeremy Kerley
2011,2011-10-02,4,4,22.328,NYJ,BAL,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,6.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,34,Jeremy Kerley
2011,2011-10-09,5,5,22.335,NYJ,NWE,False,3,3,35,11.67,1,100.0%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,20,10.00,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,30,Jeremy Kerley
2011,2011-10-17,6,6,22.343,NYJ,MIA,False,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,6,Jeremy Kerley
2011,2011-10-23,7,7,22.349,NYJ,SDG,False,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,21,Jeremy Kerley
2011,2011-11-06,8,9,22.363,NYJ,BUF,False,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,,,1,0,0,1,0,0,,,,,,,True,True,27,11,Jeremy Kerley
2011,2011-11-13,9,10,23.005,NYJ,NWE,True,8,4,79,19.75,0,50.0%,9.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,16,37,Jeremy Kerley
2011,2011-11-17,10,11,,NYJ,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,17,Jeremy Kerley
2011,2011-11-27,11,12,,NYJ,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,28,24,Jeremy Kerley
2011,2011-12-04,12,13,23.026,NYJ,WAS,False,1,1,7,7.00,0,100.0%,7.00,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,True,34,19,Jeremy Kerley
2011,2011-12-11,13,14,23.033,NYJ,KAN,False,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,42,14.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,37,10,Jeremy Kerley
2011,2011-12-18,14,15,23.040,NYJ,PHI,False,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,19,45,Jeremy Kerley
2011,2011-12-24,15,16,23.046,NYJ,NYG,False,8,5,36,7.20,0,62.5%,4.50,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,74,18.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,29,Jeremy Kerley
