Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-13,1,1,21.125,PHI,@,CAR,W 38-10,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-09-20,2,2,21.132,PHI,,NOR,L 22-48,True,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,7,7.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-09-27,3,3,21.139,PHI,,KAN,W 34-14,True,6,4,33,8.25,0,66.7%,5.50,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,-3,-3.00,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-10-11,4,5,21.153,PHI,,TAM,W 33-14,True,8,6,142,23.67,2,75.0%,17.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-10-18,5,6,21.160,PHI,@,OAK,L 9-13,True,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-10-26,6,7,21.168,PHI,@,WAS,W 27-17,True,8,5,53,10.60,0,62.5%,6.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-11-01,7,8,21.174,PHI,,NYG,W 40-17,True,4,4,47,11.75,1,100.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-11-08,8,9,21.181,PHI,,DAL,L 16-20,True,9,3,44,14.67,0,33.3%,4.89,0,0,,0,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-11-15,9,10,21.188,PHI,@,SDG,L 23-31,True,8,6,76,12.67,1,75.0%,9.50,1,-6,-6.00,0,0,0,,0,0,0,,,,,,4,72,18.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-11-22,10,11,21.195,PHI,@,CHI,W 24-20,True,9,6,64,10.67,0,66.7%,7.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-11-29,11,12,21.202,PHI,,WAS,W 27-24,True,7,5,63,12.60,0,71.4%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,-2,-2.00,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2009-12-06,12,13,21.209,PHI,@,ATL,W 34-7,False,6,4,83,20.75,0,66.7%,13.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,34,11.33,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-12-13,13,14,21.216,PHI,@,NYG,W 45-38,True,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,Jeremy Maclin
2009,2009-12-20,14,15,,PHI,,SFO,W 27-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jeremy Maclin
2009,2009-12-27,15,16,21.230,PHI,,DEN,W 30-27,True,10,6,92,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2009,2010-01-03,16,17,21.237,PHI,@,DAL,L 0-24,True,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-09-12,1,1,22.124,PHI,,GNB,L 20-27,True,5,4,38,9.50,1,80.0%,7.60,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-09-19,2,2,22.131,PHI,@,DET,W 35-32,True,6,3,26,8.67,1,50.0%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-09-26,3,3,22.138,PHI,@,JAX,W 28-3,True,7,4,83,20.75,2,57.1%,11.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-10-03,4,4,22.145,PHI,,WAS,L 12-17,True,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-10-10,5,5,22.152,PHI,@,SFO,W 27-24,True,9,6,95,15.83,0,66.7%,10.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-10-17,6,6,22.159,PHI,,ATL,W 31-17,True,7,7,159,22.71,2,100.0%,22.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-10-24,7,7,22.166,PHI,@,TEN,L 19-37,True,14,5,42,8.40,0,35.7%,3.00,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-11-07,8,9,22.180,PHI,,IND,W 26-24,True,8,4,48,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-11-15,9,10,22.188,PHI,@,WAS,W 59-28,True,6,4,79,19.75,1,66.7%,13.17,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-11-21,10,11,22.194,PHI,,NYG,W 27-17,True,14,9,120,13.33,0,64.3%,8.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-11-28,11,12,22.201,PHI,@,CHI,L 26-31,True,6,4,47,11.75,1,66.7%,7.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,1,6,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
2010,2010-12-02,12,13,22.205,PHI,,HOU,W 34-24,True,8,5,68,13.60,0,62.5%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jeremy Maclin
2010,2010-12-12,13,14,22.215,PHI,@,DAL,W 30-27,True,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jeremy Maclin
