Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,22.088,CIN,NWE,False,10,6,25,4.17,1,60.0%,2.50,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,38,Jermaine Gresham
2010,2010-09-19,2,2,22.095,CIN,BAL,False,5,3,15,5.00,0,60.0%,3.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,15,10,Jermaine Gresham
2010,2010-09-26,3,3,22.102,CIN,CAR,True,6,4,59,14.75,0,66.7%,9.83,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,20,7,Jermaine Gresham
2010,2010-10-03,4,4,22.109,CIN,CLE,True,6,5,35,7.00,0,83.3%,5.83,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Jermaine Gresham
2010,2010-10-10,5,5,22.116,CIN,TAM,True,6,4,24,6.00,1,66.7%,4.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,24,Jermaine Gresham
2010,2010-10-24,6,7,22.130,CIN,ATL,True,6,4,26,6.50,0,66.7%,4.33,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,True,False,32,39,Jermaine Gresham
2010,2010-10-31,7,8,22.137,CIN,MIA,True,8,3,17,5.67,0,37.5%,2.13,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,22,Jermaine Gresham
2010,2010-11-08,8,9,22.145,CIN,PIT,False,3,2,11,5.50,0,66.7%,3.67,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,27,Jermaine Gresham
2010,2010-11-14,9,10,22.151,CIN,IND,False,10,9,85,9.44,1,90.0%,8.50,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,False,17,23,Jermaine Gresham
2010,2010-11-21,10,11,22.158,CIN,BUF,True,3,2,33,16.50,0,66.7%,11.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,31,49,Jermaine Gresham
2010,2010-11-25,11,12,22.162,CIN,NYJ,True,7,2,36,18.00,0,28.6%,5.14,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,26,Jermaine Gresham
2010,2010-12-05,12,13,22.172,CIN,NOR,True,4,3,43,14.33,0,75.0%,10.75,1,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,30,34,Jermaine Gresham
2010,2010-12-12,13,14,22.179,CIN,PIT,False,1,0,0,,0,0.0%,0.00,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,False,7,23,Jermaine Gresham
2010,2010-12-19,14,15,22.186,CIN,CLE,True,3,1,6,6.00,0,33.3%,2.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,17,Jermaine Gresham
2010,2010-12-26,15,16,22.193,CIN,SDG,True,5,4,56,14.00,1,80.0%,11.20,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,20,Jermaine Gresham
2010,2011-01-02,16,17,,CIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,13,Jermaine Gresham
2011,2011-09-11,1,1,23.087,CIN,CLE,True,8,6,58,9.67,1,75.0%,7.25,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,17,Jermaine Gresham
2011,2011-09-18,2,2,23.094,CIN,DEN,True,5,2,8,4.00,0,40.0%,1.60,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,22,24,Jermaine Gresham
2011,2011-09-25,3,3,23.101,CIN,SFO,True,8,4,51,12.75,0,50.0%,6.38,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,8,13,Jermaine Gresham
2011,2011-10-02,4,4,23.108,CIN,BUF,True,7,4,70,17.50,1,57.1%,10.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Jermaine Gresham
2011,2011-10-09,5,5,23.115,CIN,JAX,True,7,5,21,4.20,1,71.4%,3.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,30,20,Jermaine Gresham
2011,2011-10-16,6,6,23.122,CIN,IND,True,6,4,23,5.75,0,66.7%,3.83,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,17,Jermaine Gresham
2011,2011-10-30,7,8,,CIN,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,12,Jermaine Gresham
2011,2011-11-06,8,9,,CIN,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,17,Jermaine Gresham
2011,2011-11-13,9,10,23.150,CIN,PIT,False,5,4,23,5.75,1,80.0%,4.60,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,24,Jermaine Gresham
2011,2011-11-20,10,11,23.157,CIN,BAL,True,6,3,48,16.00,0,50.0%,8.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,31,Jermaine Gresham
2011,2011-11-27,11,12,23.164,CIN,CLE,True,9,5,68,13.60,1,55.6%,7.56,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Jermaine Gresham
2011,2011-12-04,12,13,23.171,CIN,PIT,True,7,3,37,12.33,0,42.9%,5.29,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,7,35,Jermaine Gresham
2011,2011-12-11,13,14,23.178,CIN,HOU,True,7,3,45,15.00,0,42.9%,6.43,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,19,20,Jermaine Gresham
2011,2011-12-18,14,15,23.185,CIN,STL,True,5,3,16,5.33,0,60.0%,3.20,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,13,Jermaine Gresham
2011,2011-12-24,15,16,23.191,CIN,ARI,True,7,5,56,11.20,1,71.4%,8.00,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,16,Jermaine Gresham
2011,2012-01-01,16,17,23.199,CIN,BAL,True,5,5,72,14.40,0,100.0%,14.40,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,16,24,Jermaine Gresham
2012,2012-09-10,1,1,24.086,CIN,BAL,True,8,3,30,10.00,0,37.5%,3.75,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,91%,0,0%,3,10%,True,False,13,44,Jermaine Gresham
2012,2012-09-16,2,2,24.092,CIN,CLE,True,5,4,37,9.25,0,80.0%,7.40,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,6,19%,False,True,34,27,Jermaine Gresham
2012,2012-09-23,3,3,24.099,CIN,WAS,True,7,5,64,12.80,1,71.4%,9.14,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,97%,0,0%,7,19%,True,True,38,31,Jermaine Gresham
