Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-09-09,1,1,,NOR,,MIN,W 14-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jimmy Graham
2010,2010-09-20,2,2,23.300,NOR,@,SFO,W 25-22,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jimmy Graham
2010,2010-09-26,3,3,23.306,NOR,,ATL,L 24-27,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Jimmy Graham
2010,2010-10-03,4,4,23.313,NOR,,CAR,W 16-14,False,0,0,0,,0,0.0%,,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Jimmy Graham
2010,2010-10-10,5,5,23.320,NOR,@,ARI,L 20-30,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Jimmy Graham
2010,2010-10-17,6,6,23.327,NOR,@,TAM,W 31-6,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Jimmy Graham
2010,2010-10-24,7,7,23.334,NOR,,CLE,L 17-30,False,4,4,38,9.50,0,100.0%,9.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,20,0,,,,,,,False,Jimmy Graham
2010,2010-10-31,8,8,23.341,NOR,,PIT,W 20-10,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Jimmy Graham
2010,2010-11-07,9,9,23.348,NOR,@,CAR,W 34-3,True,4,3,49,16.33,1,75.0%,12.25,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Jimmy Graham
2010,2010-11-21,10,11,23.362,NOR,,SEA,W 34-19,False,8,5,72,14.40,0,62.5%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jimmy Graham
