Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.048,CIN,,BAL,L 0-20,False,8,9,1.13,0,3,3,15,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,22,36%,0,0%,0,0%,False,Joe Mixon
2017,2017-09-14,2,2,21.052,CIN,,HOU,L 9-13,False,9,36,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,16,25%,0,0%,4,13%,False,Joe Mixon
2017,2017-09-24,3,3,21.062,CIN,@,GNB,L 24-27,False,18,62,3.44,0,3,3,39,13.00,0,100.0%,13.00,0,0,0,0,0,0,0,0,34,56%,0,0%,5,15%,True,Joe Mixon
2017,2017-10-01,4,4,21.069,CIN,@,CLE,W 31-7,False,17,29,1.71,0,4,4,19,4.75,0,100.0%,4.75,0,0,0,0,0,0,0,0,31,48%,0,0%,1,4%,True,Joe Mixon
2017,2017-10-08,5,5,21.076,CIN,,BUF,W 20-16,False,15,51,3.40,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,36,55%,0,0%,5,17%,False,Joe Mixon
2017,2017-10-22,6,7,21.090,CIN,@,PIT,L 14-29,False,7,48,6.86,0,3,3,20,6.67,0,100.0%,6.67,0,0,1,0,0,1,0,0,22,43%,0,0%,0,0%,True,Joe Mixon
2017,2017-10-29,7,8,21.097,CIN,,IND,W 24-23,False,11,18,1.64,0,3,3,91,30.33,0,100.0%,30.33,0,0,1,1,0,0,0,0,35,62%,0,0%,0,0%,False,Joe Mixon
2017,2017-11-05,8,9,21.104,CIN,@,JAX,L 7-23,True,13,31,2.38,1,4,3,15,5.00,0,75.0%,3.75,1,6,0,0,0,0,0,0,28,72%,0,0%,0,0%,True,Joe Mixon
2017,2017-11-12,9,10,21.111,CIN,@,TEN,L 20-24,True,9,37,4.11,1,3,1,3,3.00,0,33.3%,1.00,1,6,0,0,0,0,0,0,31,61%,0,0%,0,0%,True,Joe Mixon
2017,2017-11-19,10,11,21.118,CIN,@,DEN,W 20-17,True,20,49,2.45,0,2,2,0,0.00,0,100.0%,0.00,0,0,0,0,0,0,0,0,35,64%,0,0%,0,0%,True,Joe Mixon
2017,2017-11-26,11,12,21.125,CIN,,CLE,W 30-16,True,23,114,4.96,1,3,3,51,17.00,0,100.0%,17.00,1,6,0,0,0,0,0,0,46,75%,0,0%,0,0%,False,Joe Mixon
2017,2017-12-04,12,13,21.133,CIN,,PIT,L 20-23,True,7,34,4.86,0,1,1,8,8.00,0,100.0%,8.00,0,0,0,0,0,0,0,0,17,27%,0,0%,0,0%,False,Joe Mixon
