Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Away_status,Win,Score,Opp Score,Player
1996,1996-09-01,1,1,23.163,MIA,NWE,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,False,True,24,10,Joe Nedney
1996,1996-09-08,2,2,23.170,MIA,ARI,False,5,5,100.0,1,3,33.3,0,8,0.0,,,,,,True,True,38,10,Joe Nedney
1996,1996-09-15,3,3,23.177,MIA,NYJ,False,3,4,75.0,1,2,50.0,0,6,0.0,,,,,,False,True,36,27,Joe Nedney
1996,1996-09-23,4,4,23.185,MIA,IND,False,,,,2,3,66.7,0,6,0.0,,,,,,True,False,6,10,Joe Nedney
1996,1996-10-06,5,6,23.198,MIA,SEA,False,,,,1,1,100.0,0,3,0.0,,,,,,False,False,15,22,Joe Nedney
1996,1996-10-13,6,7,23.205,MIA,BUF,False,3,3,100.0,,1,0.0,0,3,0.0,,,,,,True,True,21,7,Joe Nedney
1996,1996-10-20,7,8,23.212,MIA,PHI,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,True,False,28,35,Joe Nedney
1996,1996-10-27,8,9,23.219,MIA,DAL,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,False,False,10,29,Joe Nedney
1996,1996-11-03,9,10,23.226,MIA,NWE,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,True,False,23,42,Joe Nedney
1996,1996-11-10,10,11,23.233,MIA,IND,False,5,5,100.0,,1,0.0,0,5,0.0,,,,,,False,True,37,13,Joe Nedney
1996,1996-11-17,11,12,23.240,MIA,HOU,False,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,True,True,23,20,Joe Nedney
1996,1996-11-25,12,13,23.248,MIA,PIT,False,2,2,100.0,1,3,33.3,0,5,0.0,,,,,,False,False,17,24,Joe Nedney
1996,1996-12-01,13,14,23.254,MIA,OAK,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,True,False,7,17,Joe Nedney
1996,1996-12-08,14,15,23.261,MIA,NYG,False,1,1,100.0,,,,0,1,0.0,,,,,,False,False,7,17,Joe Nedney
1996,1996-12-16,15,16,23.269,MIA,BUF,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,False,True,16,14,Joe Nedney
1996,1996-12-22,16,17,23.275,MIA,NYJ,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,True,True,31,28,Joe Nedney
1997,1997-10-05,5,6,,MIA,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,17,14,Joe Nedney
1997,1997-10-19,7,8,24.211,ARI,PHI,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,True,False,10,13,Joe Nedney
1997,1997-10-26,8,9,24.218,ARI,TEN,False,2,2,100.0,,,,0,2,0.0,,,,,,False,False,14,41,Joe Nedney
1997,1997-11-02,9,10,24.225,ARI,PHI,False,4,4,100.0,1,3,33.3,0,7,0.0,,,,,,False,True,31,21,Joe Nedney
1997,1997-11-09,10,11,24.232,ARI,DAL,False,,,,2,4,50.0,0,6,0.0,,,,,,True,False,6,24,Joe Nedney
1997,1997-11-16,11,12,24.239,ARI,NYG,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,True,False,10,19,Joe Nedney
1997,1997-11-23,12,13,24.246,ARI,BAL,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,True,True,16,13,Joe Nedney
1997,1997-11-30,13,14,24.253,ARI,PIT,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,False,False,20,26,Joe Nedney
1997,1997-12-07,14,15,24.260,ARI,WAS,False,4,4,100.0,,,,0,4,0.0,,,,,,False,False,28,38,Joe Nedney
1997,1997-12-14,15,16,24.267,ARI,NOR,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,True,False,10,27,Joe Nedney
1997,1997-12-21,16,17,24.274,ARI,ATL,False,3,3,100.0,,,,0,3,0.0,,,,,,False,True,29,26,Joe Nedney
1998,1998-09-06,1,1,25.168,ARI,DAL,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,True,False,10,38,Joe Nedney
1998,1998-09-13,2,2,25.175,ARI,SEA,False,2,2,100.0,,,,0,2,0.0,,,,,,True,False,14,33,Joe Nedney
1998,1998-09-20,3,3,25.182,ARI,PHI,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,False,True,17,3,Joe Nedney
1998,1998-09-27,4,4,25.189,ARI,STL,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,True,True,20,17,Joe Nedney
1998,1998-10-04,5,5,25.196,ARI,OAK,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,False,False,20,23,Joe Nedney
1998,1998-10-11,6,6,25.203,ARI,CHI,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,False,True,20,7,Joe Nedney
1998,1998-10-18,7,7,25.210,ARI,NYG,False,1,1,100.0,,,,0,1,0.0,,,,,,True,False,7,34,Joe Nedney
1998,1998-11-01,8,9,25.224,ARI,DET,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,True,True,17,15,Joe Nedney
1998,1998-11-08,9,10,25.231,ARI,WAS,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,False,True,29,27,Joe Nedney
1998,1998-11-15,10,11,25.238,ARI,DAL,False,4,4,100.0,,1,0.0,0,4,0.0,,,,,,False,False,28,35,Joe Nedney
1998,1998-11-22,11,12,25.245,ARI,WAS,False,6,6,100.0,1,1,100.0,0,9,0.0,,,,,,True,True,45,42,Joe Nedney
1998,1998-11-29,12,13,25.252,ARI,KAN,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,True,False,24,34,Joe Nedney
1998,1998-12-06,13,14,,ARI,NYG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,19,23,Joe Nedney
1998,1998-12-13,14,15,,ARI,PHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,20,17,Joe Nedney
1998,1998-12-20,15,16,,ARI,NOR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,19,17,Joe Nedney
1998,1998-12-27,16,17,,ARI,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,16,13,Joe Nedney
1999,1999-09-12,1,1,,ARI,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,25,24,Joe Nedney
1999,1999-09-19,2,2,,ARI,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,19,Joe Nedney
1999,1999-10-03,4,4,,ARI,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,35,Joe Nedney
1999,1999-10-10,5,5,,BAL,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,11,14,Joe Nedney
1999,1999-10-21,6,7,,BAL,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,8,35,Joe Nedney
1999,1999-10-31,7,8,,BAL,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,13,Joe Nedney
1999,1999-11-07,8,9,,BAL,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,9,Joe Nedney
1999,1999-12-19,14,15,26.272,OAK,TAM,False,6,6,100.0,1,1,100.0,0,9,0.0,,,,,,False,True,45,0,Joe Nedney
