Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,23.151,CAR,,LAR,L 27-30,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,32%,False,Joey Slye
2019,2019-09-12,2,2,23.155,CAR,,TAM,L 14-20,False,,,,4,4,100.0,0,12,0.0,0,0,0,0,0,0,0%,0,0%,8,27%,False,Joey Slye
2019,2019-09-22,3,3,23.165,CAR,@,ARI,W 38-20,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,13,43%,True,Joey Slye
2019,2019-09-29,4,4,23.172,CAR,@,HOU,W 16-10,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,36%,True,Joey Slye
2019,2019-10-06,5,5,23.179,CAR,,JAX,W 34-27,False,4,5,80.0,,2,0.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,13,38%,False,Joey Slye
2019,2019-10-13,6,6,23.186,CAR,@,TAM,W 37-26,False,4,4,100.0,3,5,60.0,0,13,0.0,0,0,0,0,0,2,3%,0,0%,16,41%,True,Joey Slye
2019,2019-10-27,7,8,23.200,CAR,@,SFO,L 13-51,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,13%,True,Joey Slye
2019,2019-11-03,8,9,23.207,CAR,,TEN,W 30-20,False,3,4,75.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,38%,False,Joey Slye
2019,2019-11-10,9,10,23.214,CAR,@,GNB,L 16-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,6,26%,True,Joey Slye
2019,2019-11-17,10,11,23.221,CAR,,ATL,L 3-29,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,3,13%,False,Joey Slye
2019,2019-11-24,11,12,23.228,CAR,@,NOR,L 31-34,False,1,3,33.3,2,3,66.7,0,7,0.0,0,0,0,0,0,0,0%,0,0%,12,39%,True,Joey Slye
