Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-09-09,1.0,1.0,22.214,STL,DET,L 23-27,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,1,0.0,0.0,1,0,0,5.0,241.0,48.2,0.0,0.0,0%,0.0,0%,10.0,33%,True,Johnny Hekker,False,23,27
2012.0,2012-09-16,2.0,2.0,22.221,STL,WAS,W 31-28,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,163.0,54.33,0.0,0.0,0%,0.0,0%,8.0,25%,False,Johnny Hekker,True,31,28
2012.0,2012-09-23,3.0,3.0,22.228,STL,CHI,L 6-23,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,279.0,46.5,0.0,0.0,0%,0.0,0%,8.0,29%,True,Johnny Hekker,False,6,23
2012.0,2012-09-30,4.0,4.0,22.235,STL,SEA,W 19-13,False,1.0,1.0,100.0,2.0,1.0,0.0,118.7,0.0,0.0,2.0,22.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,156.0,39.0,0.0,0.0,0%,0.0,0%,10.0,38%,False,Johnny Hekker,True,19,13
2012.0,2012-10-04,5.0,5.0,22.239,STL,ARI,W 17-3,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,398.0,56.86,0.0,0.0,0%,0.0,0%,11.0,42%,False,Johnny Hekker,True,17,3
2012.0,2012-10-14,6.0,6.0,22.249,STL,MIA,L 14-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,135.0,45.0,0.0,0.0,0%,0.0,0%,8.0,30%,True,Johnny Hekker,False,14,17
2012.0,2012-10-21,7.0,7.0,22.256,STL,GNB,L 20-30,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,2.0,99.0,49.5,0.0,0.0,0%,0.0,0%,6.0,21%,False,Johnny Hekker,False,20,30
2012.0,2012-10-28,8.0,8.0,22.263,STL,NWE,L 7-45,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,1.0,-9.0,-9.0,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,195.0,48.75,0.0,0.0,0%,0.0,0%,7.0,26%,False,Johnny Hekker,False,7,45
2012.0,2012-11-11,9.0,10.0,22.277,STL,SFO,T 24-24,False,2.0,2.0,100.0,40.0,0.0,0.0,118.7,0.0,0.0,20.0,20.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,147.0,36.75,0.0,0.0,0%,0.0,0%,11.0,33%,True,Johnny Hekker,False,24,24
2012.0,2012-11-18,10.0,11.0,22.284,STL,NYJ,L 13-27,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,251.0,50.2,0.0,0.0,0%,0.0,0%,7.0,27%,False,Johnny Hekker,False,13,27
2012.0,2012-11-25,11.0,12.0,22.291,STL,ARI,W 31-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,260.0,43.33,0.0,0.0,0%,0.0,0%,12.0,39%,True,Johnny Hekker,True,31,17
2012.0,2012-12-02,12.0,13.0,22.298,STL,SFO,W 16-13,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,9.0,388.0,43.11,0.0,0.0,0%,0.0,0%,12.0,40%,False,Johnny Hekker,True,16,13
2012.0,2012-12-09,13.0,14.0,22.305,STL,BUF,W 15-12,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,1,0.0,0.0,1,0,0,8.0,302.0,37.75,0.0,0.0,0%,0.0,0%,9.0,35%,True,Johnny Hekker,True,15,12
2012.0,2012-12-16,14.0,15.0,22.312,STL,MIN,L 22-36,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,164.0,41.0,0.0,0.0,0%,0.0,0%,7.0,23%,False,Johnny Hekker,False,22,36
2012.0,2012-12-23,15.0,16.0,22.319,STL,TAM,W 28-13,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,335.0,47.86,0.0,0.0,0%,0.0,0%,11.0,46%,True,Johnny Hekker,True,28,13
