Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-26,3,3,24.053,PHI,JAX,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,28,3,Joique Bell
2010,2010-10-03,4,4,,PHI,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,12,17,Joique Bell
2010,2010-10-10,5,5,,PHI,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,24,Joique Bell
2010,2010-10-17,6,6,24.074,PHI,ATL,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,31,17,Joique Bell
2010,2010-10-24,7,7,24.081,PHI,TEN,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,19,37,Joique Bell
2010,2010-11-07,8,9,,PHI,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,26,24,Joique Bell
2010,2010-11-14,9,10,24.102,IND,CIN,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,23,17,Joique Bell
2010,2010-11-21,10,11,24.109,IND,NWE,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,28,31,Joique Bell
2010,2010-11-28,11,12,24.116,IND,SDG,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,14,36,Joique Bell
2010,2010-12-05,12,13,24.123,IND,DAL,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,35,38,Joique Bell
