Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-09-07,1.0,1.0,21.17,CAR,SDG,W 26-24,False,10,53,5.30,0,0,0,0,,0,0.0%,,4,84,21.00,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,26,24
2008.0,2008-09-14,2.0,2.0,21.177,CAR,CHI,W 20-17,False,14,77,5.50,2,0,0,0,,0,0.0%,,1,18,18.00,0,2,12,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,20,17
2008.0,2008-09-21,3.0,3.0,21.184,CAR,MIN,L 10-20,False,7,15,2.14,1,0,0,0,,0,0.0%,,5,146,29.20,0,1,6,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,10,20
2008.0,2008-09-28,4.0,4.0,21.191,CAR,ATL,W 24-9,False,15,55,3.67,1,0,0,0,,0,0.0%,,3,62,20.67,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,24,9
2008.0,2008-10-05,5.0,5.0,21.198,CAR,KAN,W 34-0,False,19,72,3.79,0,1,1,8,8.00,0,100.0%,8.00,1,19,19.00,0,0,0,1,1,0,0,0,0,,,,,,,False,Jonathan Stewart,True,34,0
2008.0,2008-10-12,6.0,6.0,21.205,CAR,TAM,L 3-27,False,6,12,2.00,0,5,1,1,1.00,0,20.0%,0.20,1,20,20.00,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,False,3,27
2008.0,2008-10-19,7.0,7.0,21.212,CAR,NOR,W 30-7,False,17,68,4.00,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,30,7
2008.0,2008-10-26,8.0,8.0,21.219,CAR,ARI,W 27-23,False,8,10,1.25,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,27,23
2008.0,2008-11-09,9.0,10.0,21.233,CAR,OAK,W 17-6,False,7,21,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,Jonathan Stewart,True,17,6
2008.0,2008-11-16,10.0,11.0,21.24,CAR,DET,W 31-22,False,15,130,8.67,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,Jonathan Stewart,True,31,22
