Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-10,1,1,24.176,PIT,@,NWE,L 21-28,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,87,43.50,0,0,0%,0,0%,7,27%,True,Jordan Berry
2015,2015-09-20,2,2,24.186,PIT,,SFO,W 43-18,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,142,47.33,0,0,0%,0,0%,8,32%,False,Jordan Berry
2015,2015-09-27,3,3,24.193,PIT,@,STL,W 12-6,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,196,49.00,0,0,0%,0,0%,6,30%,True,Jordan Berry
2015,2015-10-01,4,4,24.197,PIT,,BAL,L 20-23,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,239,39.83,0,0,0%,0,0%,12,38%,False,Jordan Berry
2015,2015-10-12,5,5,24.208,PIT,@,SDG,W 24-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,322,40.25,0,0,0%,0,0%,12,39%,True,Jordan Berry
2015,2015-10-18,6,6,24.214,PIT,,ARI,W 25-13,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,238,47.60,0,0,0%,0,0%,10,34%,False,Jordan Berry
2015,2015-10-25,7,7,24.221,PIT,@,KAN,L 13-23,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,91,45.50,0,0,0%,0,0%,5,21%,True,Jordan Berry
2015,2015-11-01,8,8,24.228,PIT,,CIN,L 10-16,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,213,35.50,0,0,0%,0,0%,9,35%,False,Jordan Berry
2015,2015-11-08,9,9,24.235,PIT,,OAK,W 38-35,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,208,41.60,0,0,0%,0,0%,12,32%,False,Jordan Berry
2015,2015-11-15,10,10,24.242,PIT,,CLE,W 30-9,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,42,42.00,0,0,0%,0,0%,7,30%,False,Jordan Berry
2015,2015-11-29,11,12,24.256,PIT,@,SEA,L 30-39,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,79,39.50,0,0,0%,0,0%,6,19%,True,Jordan Berry
2015,2015-12-06,12,13,24.263,PIT,,IND,W 45-10,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,37,37.00,0,0,0%,0,0%,9,32%,False,Jordan Berry
2015,2015-12-13,13,14,24.270,PIT,@,CIN,W 33-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,98,49.00,0,0,0%,0,0%,8,28%,True,Jordan Berry
2015,2015-12-20,14,15,24.277,PIT,,DEN,W 34-27,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,232,38.67,0,0,0%,0,0%,12,35%,False,Jordan Berry
2015,2015-12-27,15,16,24.284,PIT,@,BAL,L 17-20,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,131,43.67,0,0,0%,0,0%,6,24%,True,Jordan Berry
2015,2016-01-03,16,17,24.291,PIT,@,CLE,W 28-12,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,156,52.00,0,0,0%,0,0%,8,32%,True,Jordan Berry
2016,2016-09-12,1,1,25.178,PIT,@,WAS,W 38-16,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,107,53.50,0,0,0%,0,0%,8,32%,True,Jordan Berry
2016,2016-09-18,2,2,25.184,PIT,,CIN,W 24-16,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,377,47.13,0,0,0%,0,0%,12,35%,False,Jordan Berry
2016,2016-09-25,3,3,25.191,PIT,@,PHI,L 3-34,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,165,55.00,0,0,0%,0,0%,6,23%,True,Jordan Berry
2016,2016-10-02,4,4,25.198,PIT,,KAN,W 43-14,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,211,42.20,0,0,0%,0,0%,10,34%,False,Jordan Berry
2016,2016-10-09,5,5,25.205,PIT,,NYJ,W 31-13,False,1,-3,-3.00,0,0.0,0,0,0,,,1,0,0,0,0,0,3,139,46.33,0,0,0%,0,0%,9,32%,False,Jordan Berry
2016,2016-10-16,6,6,25.212,PIT,@,MIA,L 15-30,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,180,36.00,0,0,0%,0,0%,6,23%,True,Jordan Berry
2016,2016-10-23,7,7,25.219,PIT,,NWE,L 16-27,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,195,48.75,0,0,0%,0,0%,11,37%,False,Jordan Berry
2016,2016-11-06,8,9,25.233,PIT,@,BAL,L 14-21,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,9,431,47.89,1,0,0%,0,0%,12,34%,True,Jordan Berry
2016,2016-11-13,9,10,25.240,PIT,,DAL,L 30-35,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,174,43.50,0,0,0%,0,0%,7,23%,False,Jordan Berry
2016,2016-11-20,10,11,25.247,PIT,@,CLE,W 24-9,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,150,50.00,0,0,0%,0,0%,7,33%,True,Jordan Berry
2016,2016-11-24,11,12,25.251,PIT,@,IND,W 28-7,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,177,44.25,0,0,0%,0,0%,10,45%,True,Jordan Berry
2016,2016-12-04,12,13,25.261,PIT,,NYG,W 24-14,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,148,37.00,0,0,0%,0,0%,8,33%,False,Jordan Berry
2016,2016-12-11,13,14,25.268,PIT,@,BUF,W 27-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,101,50.50,0,0,0%,0,0%,7,27%,True,Jordan Berry
2016,2016-12-18,14,15,25.275,PIT,@,CIN,W 24-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,40,40.00,0,0,0%,0,0%,7,26%,True,Jordan Berry
2016,2016-12-25,15,16,25.282,PIT,,BAL,W 31-27,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,137,45.67,0,0,0%,0,0%,9,29%,False,Jordan Berry
2016,2017-01-01,16,17,25.289,PIT,,CLE,W 27-24,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,368,46.00,0,0,0%,0,0%,12,39%,False,Jordan Berry
2017,2017-09-10,1,1,26.176,PIT,@,CLE,W 21-18,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,275,45.83,0,0,0%,0,0%,9,36%,True,Jordan Berry
2017,2017-09-17,2,2,26.183,PIT,,MIN,W 26-9,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,193,38.60,0,0,0%,0,0%,12,39%,False,Jordan Berry
2017,2017-09-24,3,3,26.190,PIT,@,CHI,L 17-23,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,203,40.60,0,0,0%,0,0%,9,33%,True,Jordan Berry
2017,2017-10-01,4,4,26.197,PIT,@,BAL,W 26-9,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,150,37.50,0,0,0%,0,0%,9,36%,True,Jordan Berry
2017,2017-10-08,5,5,26.204,PIT,,JAX,L 9-30,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,134,44.67,0,0,0%,0,0%,6,23%,False,Jordan Berry
2017,2017-10-15,6,6,26.211,PIT,@,KAN,W 19-13,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,207,41.40,0,0,0%,0,0%,8,32%,True,Jordan Berry
2017,2017-10-22,7,7,26.218,PIT,,CIN,W 29-14,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,90,45.00,0,0,0%,0,0%,10,37%,False,Jordan Berry
2017,2017-10-29,8,8,26.225,PIT,@,DET,W 20-15,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,188,47.00,0,0,0%,0,0%,8,30%,True,Jordan Berry
2017,2017-11-12,9,10,26.239,PIT,@,IND,W 20-17,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,297,49.50,0,0,0%,0,0%,12,40%,True,Jordan Berry
2017,2017-11-16,10,11,26.243,PIT,,TEN,W 40-17,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,152,50.67,0,0,0%,0,0%,11,35%,False,Jordan Berry
2017,2017-11-26,11,12,26.253,PIT,,GNB,W 31-28,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,97,32.33,0,0,0%,0,0%,7,25%,False,Jordan Berry
2017,2017-12-04,12,13,26.261,PIT,@,CIN,W 23-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,178,44.50,0,0,0%,0,0%,9,33%,True,Jordan Berry
