Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-09,1.0,1.0,23.068,WAS,PHI,L 27-33,False,6,5,38,7.60,0,83.3%,6.33,0,0,,0,0,0,0,0,0,0,0,0,25,33%,0,0%,12,39%,False,Jordan Reed,False,27,33
2013.0,2013-09-15,2.0,2.0,23.074,WAS,GNB,L 20-38,False,3,3,18,6.00,1,100.0%,6.00,0,0,,0,1,6,0,0,0,0,0,0,29,48%,0,0%,9,32%,True,Jordan Reed,False,20,38
2013.0,2013-09-22,3.0,3.0,23.081,WAS,DET,L 20-27,False,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,0,0,0,0,0,0,30,39%,0,0%,8,25%,False,Jordan Reed,False,20,27
2013.0,2013-09-29,4.0,4.0,,WAS,OAK,W 24-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jordan Reed,True,24,14
2013.0,2013-10-13,5.0,6.0,23.102,WAS,DAL,L 16-31,False,6,4,58,14.50,0,66.7%,9.67,0,0,,0,0,0,0,0,0,0,0,0,55,71%,0,0%,2,7%,True,Jordan Reed,False,16,31
2013.0,2013-10-20,6.0,7.0,23.109,WAS,CHI,W 45-41,False,9,9,134,14.89,1,100.0%,14.89,0,0,,0,1,6,0,0,0,0,0,0,39,52%,0,0%,0,0%,False,Jordan Reed,True,45,41
2013.0,2013-10-27,7.0,8.0,23.116,WAS,DEN,L 21-45,True,14,8,90,11.25,0,57.1%,6.43,0,0,,0,0,0,0,0,0,0,0,0,50,70%,0,0%,0,0%,True,Jordan Reed,False,21,45
2013.0,2013-11-03,8.0,9.0,23.123,WAS,SDG,W 30-24,True,5,4,37,9.25,0,80.0%,7.40,1,18,18.00,0,0,0,0,0,0,0,0,0,55,73%,0,0%,1,4%,False,Jordan Reed,True,30,24
2013.0,2013-11-07,9.0,10.0,23.127,WAS,MIN,L 27-34,True,9,6,62,10.33,1,66.7%,6.89,0,0,,0,1,6,0,0,0,0,0,0,62,78%,0,0%,0,0%,True,Jordan Reed,False,27,34
2013.0,2013-11-17,10.0,11.0,23.137,WAS,PHI,L 16-24,True,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0,0,0,0,0,0,33,40%,0,0%,0,0%,True,Jordan Reed,False,16,24
