Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-09,1,1,21.149,CLE,,PHI,L 16-17,True,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,43,70%,0,0%,0,0%,False,Josh Gordon
2012,2012-09-16,2,2,21.156,CLE,@,CIN,L 27-34,False,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,34,52%,0,0%,1,3%,True,Josh Gordon
2012,2012-09-23,3,3,21.163,CLE,,BUF,L 14-24,True,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,37,59%,0,0%,0,0%,False,Josh Gordon
2012,2012-09-27,4,4,21.167,CLE,@,BAL,L 16-23,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,30,42%,0,0%,0,0%,True,Josh Gordon
2012,2012-10-07,5,5,21.177,CLE,@,NYG,L 27-41,True,8,2,82,41.00,2,25.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,50,86%,0,0%,1,3%,True,Josh Gordon
2012,2012-10-14,6,6,21.184,CLE,,CIN,W 34-24,False,4,3,99,33.00,1,75.0%,24.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,50,77%,0,0%,0,0%,False,Josh Gordon
2012,2012-10-21,7,7,21.191,CLE,@,IND,L 13-17,True,11,2,59,29.50,1,18.2%,5.36,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,56,93%,0,0%,0,0%,True,Josh Gordon
2012,2012-10-28,8,8,21.198,CLE,,SDG,W 7-6,True,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,False,Josh Gordon
2012,2012-11-04,9,9,21.205,CLE,,BAL,L 15-25,True,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,False,Josh Gordon
2012,2012-11-18,10,11,21.219,CLE,@,DAL,L 20-23,True,7,5,53,10.60,0,71.4%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,True,Josh Gordon
2012,2012-11-25,11,12,21.226,CLE,,PIT,W 20-14,True,7,4,60,15.00,0,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,61,91%,0,0%,0,0%,False,Josh Gordon
2012,2012-12-02,12,13,21.233,CLE,@,OAK,W 20-17,True,7,6,116,19.33,1,85.7%,16.57,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,63,93%,0,0%,0,0%,True,Josh Gordon
2012,2012-12-09,13,14,21.240,CLE,,KAN,W 30-7,True,12,8,86,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,False,Josh Gordon
2012,2012-12-16,14,15,21.247,CLE,,WAS,L 21-38,True,8,3,27,9.00,0,37.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,52,98%,0,0%,0,0%,False,Josh Gordon
2012,2012-12-23,15,16,21.254,CLE,@,DEN,L 12-34,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,61,95%,0,0%,0,0%,True,Josh Gordon
2012,2012-12-30,16,17,21.261,CLE,@,PIT,L 10-24,True,7,4,39,9.75,0,57.1%,5.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,30,48%,0,0%,0,0%,True,Josh Gordon
2013,2013-09-08,1,1,,CLE,,MIA,L 10-23,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2013,2013-09-15,2,2,,CLE,@,BAL,L 6-14,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2013,2013-09-22,3,3,22.162,CLE,@,MIN,W 31-27,True,19,10,146,14.60,1,52.6%,7.68,1,22,22.00,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,70,96%,0,0%,0,0%,True,Josh Gordon
2013,2013-09-29,4,4,22.169,CLE,,CIN,W 17-6,True,9,4,71,17.75,0,44.4%,7.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,67,93%,0,0%,0,0%,False,Josh Gordon
2013,2013-10-03,5,5,22.173,CLE,,BUF,W 37-24,True,6,4,86,21.50,1,66.7%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,62,91%,0,0%,0,0%,False,Josh Gordon
