Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,24.298,SDG,,DET,W 33-28,False,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,45%,False,Josh Lambo
2015,2015-09-20,2,2,24.305,SDG,@,CIN,L 19-24,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,36%,True,Josh Lambo
2015,2015-09-27,3,3,24.312,SDG,@,MIN,L 14-31,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,19%,True,Josh Lambo
2015,2015-10-04,4,4,24.319,SDG,,CLE,W 30-27,False,3,3,100.0,3,3,100.0,0,12,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,13,38%,False,Josh Lambo
2015,2015-10-12,5,5,24.327,SDG,,PIT,L 20-24,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,32%,False,Josh Lambo
2015,2015-10-18,6,6,24.333,SDG,@,GNB,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,31%,True,Josh Lambo
2015,2015-10-25,7,7,24.340,SDG,,OAK,L 29-37,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,25%,False,Josh Lambo
2015,2015-11-01,8,8,24.347,SDG,@,BAL,L 26-29,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,35%,True,Josh Lambo
2015,2015-11-09,9,9,24.355,SDG,,CHI,L 19-22,False,1,2,50.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,39%,False,Josh Lambo
2015,2015-11-22,10,11,25.003,SDG,,KAN,L 3-33,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,11%,False,Josh Lambo
2015,2015-11-29,11,12,25.010,SDG,@,JAX,W 31-25,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,33%,True,Josh Lambo
2015,2015-12-06,12,13,25.017,SDG,,DEN,L 3-17,False,,,,1,2,50.0,0,3,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,4,19%,False,Josh Lambo
2015,2015-12-13,13,14,25.024,SDG,@,KAN,L 3-10,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,21%,True,Josh Lambo
2015,2015-12-20,14,15,25.031,SDG,,MIA,W 30-14,False,3,4,75.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,41%,False,Josh Lambo
2015,2015-12-24,15,16,25.035,SDG,@,OAK,L 20-23,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,34%,True,Josh Lambo
2015,2016-01-03,16,17,25.045,SDG,@,DEN,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,30%,True,Josh Lambo
2016,2016-09-11,1,1,25.297,SDG,@,KAN,L 27-33,False,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,38%,True,Josh Lambo
2016,2016-09-18,2,2,25.304,SDG,,JAX,W 38-14,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,48%,False,Josh Lambo
2016,2016-09-25,3,3,25.311,SDG,@,IND,L 22-26,False,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,39%,True,Josh Lambo
2016,2016-10-02,4,4,25.318,SDG,,NOR,L 34-35,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,39%,False,Josh Lambo
2016,2016-10-09,5,5,25.325,SDG,@,OAK,L 31-34,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,40%,True,Josh Lambo
2016,2016-10-13,6,6,25.329,SDG,,DEN,W 21-13,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Josh Lambo
2016,2016-10-23,7,7,25.339,SDG,@,ATL,W 33-30,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,45%,True,Josh Lambo
2016,2016-10-30,8,8,25.346,SDG,@,DEN,L 19-27,False,1,2,50.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,24%,True,Josh Lambo
2016,2016-11-06,9,9,25.353,SDG,,TEN,W 43-35,False,4,5,80.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,47%,False,Josh Lambo
2016,2016-11-13,10,10,25.360,SDG,,MIA,L 24-31,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,False,Josh Lambo
2016,2016-11-27,11,12,26.008,SDG,@,HOU,W 21-13,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,31%,True,Josh Lambo
2016,2016-12-04,12,13,26.015,SDG,,TAM,L 21-28,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,33%,False,Josh Lambo
2016,2016-12-11,13,14,26.022,SDG,@,CAR,L 16-28,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,21%,True,Josh Lambo
2016,2016-12-18,14,15,26.029,SDG,,OAK,L 16-19,False,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,27%,False,Josh Lambo
2016,2016-12-24,15,16,26.035,SDG,@,CLE,L 17-20,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,True,Josh Lambo
2016,2017-01-01,16,17,26.043,SDG,,KAN,L 27-37,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,39%,False,Josh Lambo
2017,2017-10-22,7,7,26.337,JAX,@,IND,W 27-0,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,52%,True,Josh Lambo
2017,2017-11-05,8,9,26.351,JAX,,CIN,W 23-7,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,46%,False,Josh Lambo
2017,2017-11-12,9,10,26.358,JAX,,LAC,W 20-17,False,,1,0.0,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,19%,False,Josh Lambo
2017,2017-11-19,10,11,27.000,JAX,@,CLE,W 19-7,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,32%,True,Josh Lambo
2017,2017-11-26,11,12,27.007,JAX,@,ARI,L 24-27,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,26%,True,Josh Lambo
2017,2017-12-03,12,13,27.014,JAX,,IND,W 30-10,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,50%,False,Josh Lambo
2017,2017-12-10,13,14,27.021,JAX,,SEA,W 30-24,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,41%,False,Josh Lambo
2017,2017-12-17,14,15,27.028,JAX,,HOU,W 45-7,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,43%,False,Josh Lambo
2017,2017-12-24,15,16,27.035,JAX,@,SFO,L 33-44,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,31%,True,Josh Lambo
2017,2017-12-31,16,17,27.042,JAX,@,TEN,L 10-15,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,16%,True,Josh Lambo
2018,2018-09-09,1,1,27.294,JAX,@,NYG,W 20-15,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,31%,True,Josh Lambo
2018,2018-09-16,2,2,27.301,JAX,,NWE,W 31-20,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,39%,False,Josh Lambo
2018,2018-09-23,3,3,27.308,JAX,,TEN,L 6-9,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,19%,False,Josh Lambo
2018,2018-09-30,4,4,27.315,JAX,,NYJ,W 31-12,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,40%,False,Josh Lambo
2018,2018-10-07,5,5,27.322,JAX,@,KAN,L 14-30,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,21%,True,Josh Lambo
2018,2018-10-14,6,6,27.329,JAX,@,DAL,L 7-40,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,10%,True,Josh Lambo
2018,2018-10-21,7,7,27.336,JAX,,HOU,L 7-20,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,12%,False,Josh Lambo
