Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2004,2004-09-12,1,1,22.081,JAX,@,BUF,W 13-10,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-09-19,2,2,22.088,JAX,,DEN,W 7-6,False,1,1,100.0,,,,0,1,0.0,,,,,,,,,,,,False,Josh Scobee
2004,2004-09-26,3,3,22.095,JAX,@,TEN,W 15-12,False,1,1,100.0,,,,0,1,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-10-03,4,4,22.102,JAX,,IND,L 17-24,False,,,,3,4,75.0,0,9,0.0,,,,,,,,,,,,False,Josh Scobee
2004,2004-10-10,5,5,22.109,JAX,@,SDG,L 21-34,False,3,3,100.0,,,,0,3,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-10-17,6,6,22.116,JAX,,KAN,W 22-16,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,,,,,,,False,Josh Scobee
2004,2004-10-24,7,7,22.123,JAX,@,IND,W 27-24,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-10-31,8,8,22.130,JAX,@,HOU,L 6-20,False,,,,2,3,66.7,0,6,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-11-14,9,10,22.144,JAX,,DET,W 23-17,False,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,,,,,,,,False,Josh Scobee
2004,2004-11-21,10,11,22.151,JAX,,TEN,L 15-18,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,,,,,,,False,Josh Scobee
2004,2004-11-28,11,12,22.158,JAX,@,MIN,L 16-27,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,,,,,,,True,Josh Scobee
2004,2004-12-05,12,13,22.165,JAX,,PIT,L 16-17,False,1,1,100.0,3,5,60.0,0,10,0.0,,,,,,,,,,,,False,Josh Scobee
