Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-09-11,1,1,22.215,ATL,@,CHI,L 12-30,True,6,5,71,14.20,0,83.3%,11.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Julio Jones
2011,2011-09-18,2,2,22.222,ATL,,PHI,W 35-31,True,8,2,29,14.50,0,25.0%,3.63,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,Julio Jones
2011,2011-09-25,3,3,22.229,ATL,@,TAM,L 13-16,True,7,6,115,19.17,0,85.7%,16.43,1,-9,-9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,Julio Jones
2011,2011-10-02,4,4,22.236,ATL,@,SEA,W 30-28,True,17,11,127,11.55,0,64.7%,7.47,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,Julio Jones
2011,2011-10-09,5,5,22.243,ATL,,GNB,L 14-25,True,4,1,16,16.00,0,25.0%,4.00,1,17,17.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,Julio Jones
2011,2011-10-16,6,6,,ATL,,CAR,W 31-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Julio Jones
2011,2011-10-23,7,7,,ATL,@,DET,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Julio Jones
2011,2011-11-06,8,9,22.271,ATL,@,IND,W 31-7,True,4,3,131,43.67,2,75.0%,32.75,2,33,16.50,0,2,12,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,Julio Jones
2011,2011-11-13,9,10,22.278,ATL,,NOR,L 23-26,True,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,Julio Jones
2011,2011-11-20,10,11,,ATL,,TEN,W 23-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Julio Jones
