Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,22.244,JAX,MIN,True,6,3,24,8.00,0,50.0%,4.00,0,0,,0,1,0,2,0,0,0,0,0,0,75,95%,0,0%,0,0%,True,False,23,26,Justin Blackmon
2012,2012-09-16,2,2,22.251,JAX,HOU,False,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,36,84%,0,0%,0,0%,False,False,7,27,Justin Blackmon
2012,2012-09-23,3,3,22.258,JAX,IND,True,5,1,7,7.00,0,20.0%,1.40,0,0,,0,,0,0,0,0,0,0,0,0,48,80%,0,0%,0,0%,True,True,22,17,Justin Blackmon
2012,2012-09-30,4,4,22.265,JAX,CIN,True,10,6,48,8.00,0,60.0%,4.80,0,0,,0,,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,False,False,10,27,Justin Blackmon
2012,2012-10-07,5,5,22.272,JAX,CHI,True,8,3,40,13.33,0,37.5%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,55,95%,0,0%,0,0%,False,False,3,41,Justin Blackmon
2012,2012-10-21,6,7,22.286,JAX,OAK,False,4,1,7,7.00,0,25.0%,1.75,0,0,,0,,0,0,0,0,0,0,0,0,50,78%,0,0%,1,2%,True,False,23,26,Justin Blackmon
2012,2012-10-28,7,8,22.293,JAX,GNB,True,8,4,67,16.75,0,50.0%,8.38,0,0,,0,,0,0,0,0,0,0,0,0,71,92%,0,0%,0,0%,True,False,15,24,Justin Blackmon
2012,2012-11-04,8,9,22.300,JAX,DET,True,9,5,32,6.40,1,55.6%,3.56,0,0,,0,,1,6,0,0,0,0,0,0,58,94%,0,0%,0,0%,False,False,14,31,Justin Blackmon
2012,2012-11-08,9,10,22.304,JAX,IND,True,5,3,25,8.33,0,60.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,69,99%,0,0%,0,0%,False,False,10,27,Justin Blackmon
2012,2012-11-18,10,11,22.314,JAX,HOU,True,13,7,236,33.71,1,53.8%,18.15,0,0,,0,,1,6,0,0,0,0,0,0,52,79%,0,0%,0,0%,True,False,37,43,Justin Blackmon
2012,2012-11-25,11,12,22.321,JAX,TEN,True,6,5,62,12.40,1,83.3%,10.33,1,12,12.00,0,,1,6,0,0,0,0,0,0,55,86%,0,0%,1,3%,False,True,24,19,Justin Blackmon
2012,2012-12-02,12,13,22.328,JAX,BUF,True,6,1,9,9.00,0,16.7%,1.50,0,0,,0,,0,0,0,0,0,0,0,0,66,92%,0,0%,0,0%,True,False,18,34,Justin Blackmon
2012,2012-12-09,13,14,22.335,JAX,NYJ,True,12,6,57,9.50,0,50.0%,4.75,0,0,,0,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,False,10,17,Justin Blackmon
2012,2012-12-16,14,15,22.342,JAX,MIA,True,11,6,93,15.50,0,54.5%,8.45,0,0,,0,,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,False,3,24,Justin Blackmon
2012,2012-12-23,15,16,22.349,JAX,NWE,True,12,7,79,11.29,1,58.3%,6.58,0,0,,0,,1,6,0,0,0,0,0,0,75,95%,0,0%,0,0%,False,False,16,23,Justin Blackmon
2012,2012-12-30,16,17,22.356,JAX,TEN,True,13,6,79,13.17,1,46.2%,6.08,1,11,11.00,0,,1,6,1,0,0,1,0,0,74,100%,0,0%,0,0%,True,False,20,38,Justin Blackmon
2013,2013-09-08,1,1,,JAX,KAN,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,False,2,28,Justin Blackmon
