Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,23.321,KAN,HOU,False,,,,1,2,50.0,0,3,,,,,,,True,False,3,20,Justin Medlock
2012,2012-09-09,1,1,28.322,CAR,TAM,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,20%,True,False,10,16,Justin Medlock
2012,2012-09-16,2,2,28.329,CAR,NOR,False,5,5,100.0,,,,0,5,0,0%,0,0%,11,37%,False,True,35,27,Justin Medlock
2012,2012-09-20,3,3,28.333,CAR,NYG,False,1,1,100.0,,,,0,1,0,0%,0,0%,3,12%,False,False,7,36,Justin Medlock
2012,2012-09-30,4,4,28.343,CAR,ATL,False,4,4,100.0,,,,0,4,0,0%,0,0%,9,27%,True,False,28,30,Justin Medlock
2012,2012-10-07,5,5,28.350,CAR,SEA,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,19%,False,False,12,16,Justin Medlock
2012,2012-10-21,6,7,28.364,CAR,DAL,False,2,2,100.0,,,,0,2,0,0%,0,0%,5,19%,False,False,14,19,Justin Medlock
2012,2012-10-28,7,8,29.005,CAR,CHI,False,1,1,100.0,5,5,100.0,0,16,0,0%,0,0%,13,46%,True,False,22,23,Justin Medlock
2012,2012-11-04,8,9,29.012,CAR,WAS,False,3,3,100.0,,1,0.0,0,3,0,0%,0,0%,8,35%,True,True,21,13,Justin Medlock
2012,2012-11-11,9,10,29.019,CAR,DEN,False,2,2,100.0,,1,0.0,0,2,0,0%,0,0%,6,17%,False,False,14,36,Justin Medlock
2012,2012-11-18,10,11,29.026,CAR,TAM,False,3,3,100.0,,1,0.0,0,3,0,0%,0,0%,9,30%,False,False,21,27,Justin Medlock
,11 Games,,,,,,False,23,23,100.0,8,12,66.7,0,47,,,,,,,False,False,9,0,Justin Medlock
