Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,23.224,HOU,JAX,L 7-29,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,False,Ka'imi Fairbairn,False,7,29
2017.0,2017-09-14,2.0,2.0,23.228,HOU,CIN,W 13-9,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,23%,True,Ka'imi Fairbairn,True,13,9
2017.0,2017-09-24,3.0,3.0,23.238,HOU,NWE,L 33-36,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,43%,True,Ka'imi Fairbairn,False,33,36
2017.0,2017-10-01,4.0,4.0,23.245,HOU,TEN,W 57-14,False,6,7,85.7,3,3,100.0,0,15,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,21,64%,False,Ka'imi Fairbairn,True,57,14
2017.0,2017-10-08,5.0,5.0,23.252,HOU,KAN,L 34-42,False,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,22%,False,Ka'imi Fairbairn,False,34,42
2017.0,2017-10-15,6.0,6.0,23.259,HOU,CLE,W 33-17,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,33%,False,Ka'imi Fairbairn,True,33,17
2017.0,2017-10-29,7.0,8.0,23.273,HOU,SEA,L 38-41,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,34%,True,Ka'imi Fairbairn,False,38,41
2017.0,2017-11-05,8.0,9.0,23.28,HOU,IND,L 14-20,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,False,Ka'imi Fairbairn,False,14,20
2017.0,2017-11-12,9.0,10.0,23.287,HOU,LAR,L 7-33,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,13%,True,Ka'imi Fairbairn,False,7,33
2017.0,2017-11-19,10.0,11.0,23.294,HOU,ARI,W 31-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,37%,False,Ka'imi Fairbairn,True,31,21
2017.0,2017-11-27,11.0,12.0,23.302,HOU,BAL,L 16-23,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,29%,True,Ka'imi Fairbairn,False,16,23
2017.0,2017-12-03,12.0,13.0,23.308,HOU,TEN,L 13-24,False,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,True,Ka'imi Fairbairn,False,13,24
2017.0,2017-12-10,13.0,14.0,23.315,HOU,SFO,L 16-26,False,1,2,50.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,26%,False,Ka'imi Fairbairn,False,16,26
2017.0,2017-12-17,14.0,15.0,23.322,HOU,JAX,L 7-45,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,9%,True,Ka'imi Fairbairn,False,7,45
2017.0,2017-12-25,15.0,16.0,23.33,HOU,PIT,L 6-34,False,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,False,Ka'imi Fairbairn,False,6,34
2017.0,2017-12-31,16.0,17.0,23.336,HOU,IND,L 13-22,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Ka'imi Fairbairn,False,13,22
2018.0,2018-09-09,1.0,1.0,24.223,HOU,NWE,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,True,Ka'imi Fairbairn,False,20,27
2018.0,2018-09-16,2.0,2.0,24.23,HOU,TEN,L 17-20,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,30%,True,Ka'imi Fairbairn,False,17,20
