Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,,BAL,BUF,W 47-3,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,47,3
2018.0,2018-09-13,2.0,2.0,,BAL,CIN,L 23-34,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,False,23,34
2018.0,2018-09-23,3.0,3.0,,BAL,DEN,W 27-14,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,27,14
2018.0,2018-09-30,4.0,4.0,,BAL,PIT,W 26-14,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,True,26,14
2018.0,2018-10-07,5.0,5.0,,BAL,CLE,L 9-12,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,False,9,12
2018.0,2018-10-14,6.0,6.0,,BAL,TEN,W 21-0,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,True,21,0
2018.0,2018-10-21,7.0,7.0,,BAL,NOR,L 23-24,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,False,23,24
2018.0,2018-10-28,8.0,8.0,,BAL,CAR,L 21-36,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,False,21,36
2018.0,2018-11-04,9.0,9.0,,BAL,PIT,L 16-23,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,False,16,23
2018.0,2018-11-18,10.0,11.0,,BAL,CIN,W 24-21,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,24,21
2018.0,2018-11-25,11.0,12.0,,BAL,OAK,W 34-17,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,34,17
2018.0,2018-12-02,12.0,13.0,,BAL,ATL,W 26-16,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,True,26,16
2018.0,2018-12-09,13.0,14.0,,BAL,KAN,L 24-27,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,False,24,27
2018.0,2018-12-16,14.0,15.0,,BAL,TAM,W 20-12,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,20,12
2018.0,2018-12-22,15.0,16.0,,BAL,LAC,W 22-10,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,Kaare Vedvik,True,22,10
2018.0,2018-12-30,16.0,17.0,,BAL,CLE,W 26-24,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,Kaare Vedvik,True,26,24
2019.0,2019-09-08,1.0,1.0,25.176,NYJ,BUF,L 16-17,False,0,0%,0,0%,5,22%,False,Kaare Vedvik,False,16,17
,1 Games,,,,,,0-1-0,False,,,,,,,False,Kaare Vedvik,False,1,0
