Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-07,1,1,22.032,KAN,@,NWE,W 42-27,True,17,148,8.71,1,5,5,98,19.60,2,100.0%,19.60,,3,18,1,1,0,0,0,0,39,57%,0,0%,0,0%,True,Kareem Hunt
2017,2017-09-17,2,2,22.042,KAN,,PHI,W 27-20,True,13,81,6.23,2,3,3,28,9.33,0,100.0%,9.33,,2,12,0,0,0,0,0,0,39,74%,0,0%,0,0%,False,Kareem Hunt
2017,2017-09-24,3,3,22.049,KAN,@,LAC,W 24-10,True,17,172,10.12,1,1,1,11,11.00,0,100.0%,11.00,,1,6,0,0,0,0,0,0,37,70%,0,0%,0,0%,True,Kareem Hunt
2017,2017-10-02,4,4,22.057,KAN,,WAS,W 29-20,True,21,101,4.81,0,4,4,20,5.00,0,100.0%,5.00,,0,0,0,0,0,0,0,0,50,66%,0,0%,0,0%,False,Kareem Hunt
2017,2017-10-08,5,5,22.063,KAN,@,HOU,W 42-34,True,29,107,3.69,0,4,3,9,3.00,0,75.0%,2.25,,0,0,0,0,0,0,0,0,55,71%,0,0%,0,0%,True,Kareem Hunt
2017,2017-10-15,6,6,22.070,KAN,,PIT,L 13-19,True,9,21,2.33,0,6,5,89,17.80,0,83.3%,14.83,,0,0,0,0,0,0,0,0,42,78%,0,0%,0,0%,False,Kareem Hunt
2017,2017-10-19,7,7,22.074,KAN,@,OAK,L 30-31,True,18,87,4.83,0,4,4,30,7.50,0,100.0%,7.50,,0,0,0,0,0,0,0,0,45,73%,0,0%,0,0%,True,Kareem Hunt
2017,2017-10-30,8,8,22.085,KAN,,DEN,W 29-19,True,22,46,2.09,0,5,3,22,7.33,0,60.0%,4.40,,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,False,Kareem Hunt
2017,2017-11-05,9,9,22.091,KAN,@,DAL,L 17-28,True,9,37,4.11,0,5,4,24,6.00,0,80.0%,4.80,,0,0,0,0,0,0,0,0,31,54%,0,0%,0,0%,True,Kareem Hunt
2017,2017-11-19,10,11,22.105,KAN,@,NYG,L 9-12,True,18,73,4.06,0,4,3,4,1.33,0,75.0%,1.00,,0,0,0,0,0,0,0,0,50,67%,0,0%,0,0%,True,Kareem Hunt
2017,2017-11-26,11,12,22.112,KAN,,BUF,L 10-16,True,11,17,1.55,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,38,66%,0,0%,0,0%,False,Kareem Hunt
2017,2017-12-03,12,13,22.119,KAN,@,NYJ,L 31-38,True,9,40,4.44,0,5,3,23,7.67,0,60.0%,4.60,,0,0,0,0,0,0,0,0,40,87%,0,0%,0,0%,True,Kareem Hunt
2017,2017-12-10,13,14,22.126,KAN,,OAK,W 26-15,True,25,116,4.64,1,3,3,22,7.33,0,100.0%,7.33,,1,6,0,0,0,0,0,0,51,68%,0,0%,0,0%,False,Kareem Hunt
2017,2017-12-16,14,15,22.132,KAN,,LAC,W 30-13,True,24,155,6.46,1,9,7,51,7.29,1,77.8%,5.67,,2,12,0,0,0,0,0,0,43,65%,0,0%,0,0%,False,Kareem Hunt
2017,2017-12-24,15,16,22.140,KAN,,MIA,W 29-13,True,29,91,3.14,1,4,4,15,3.75,0,100.0%,3.75,,1,6,0,0,0,0,0,0,54,68%,0,0%,0,0%,False,Kareem Hunt
2017,2017-12-31,16,17,22.147,KAN,@,DEN,W 27-24,True,1,35,35.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,5,8%,0,0%,0,0%,True,Kareem Hunt
2018,2018-09-09,1,1,23.034,KAN,@,LAC,W 38-28,True,16,49,3.06,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,True,Kareem Hunt
2018,2018-09-16,2,2,23.041,KAN,@,PIT,W 42-37,True,18,75,4.17,0,1,1,5,5.00,1,100.0%,5.00,,1,6,0,0,0,0,0,0,40,69%,0,0%,0,0%,True,Kareem Hunt
2018,2018-09-23,3,3,23.048,KAN,,SFO,W 38-27,True,18,44,2.44,2,1,0,0,,0,0.0%,0.00,,2,12,0,0,0,0,0,0,46,61%,0,0%,0,0%,False,Kareem Hunt
2018,2018-10-01,4,4,23.056,KAN,@,DEN,W 27-23,True,19,121,6.37,1,4,3,54,18.00,0,75.0%,13.50,,1,6,0,0,0,0,0,0,45,58%,0,0%,0,0%,True,Kareem Hunt
2018,2018-10-07,5,5,23.062,KAN,,JAX,W 30-14,True,22,87,3.95,1,2,1,7,7.00,0,50.0%,3.50,,1,6,0,0,0,0,0,0,52,74%,0,0%,0,0%,False,Kareem Hunt
2018,2018-10-14,6,6,23.069,KAN,@,NWE,L 40-43,True,10,80,8.00,0,6,5,105,21.00,1,83.3%,17.50,,1,6,0,0,0,0,0,0,31,57%,0,0%,0,0%,True,Kareem Hunt
2018,2018-10-21,7,7,23.076,KAN,,CIN,W 45-10,True,15,86,5.73,1,6,5,55,11.00,2,83.3%,9.17,,3,18,0,0,0,0,0,0,46,66%,0,0%,0,0%,False,Kareem Hunt
2018,2018-10-28,8,8,23.083,KAN,,DEN,W 30-23,True,16,50,3.13,0,6,5,36,7.20,1,83.3%,6.00,,1,6,0,0,0,0,0,0,49,84%,0,0%,0,0%,False,Kareem Hunt
2018,2018-11-04,9,9,23.090,KAN,@,CLE,W 37-21,True,17,91,5.35,2,2,1,50,50.00,1,50.0%,25.00,,3,18,0,0,0,0,0,0,49,78%,0,0%,0,0%,True,Kareem Hunt
2018,2018-11-11,10,10,23.097,KAN,,ARI,W 26-14,True,16,71,4.44,0,2,2,25,12.50,0,100.0%,12.50,,0,0,0,0,0,0,0,0,43,73%,0,0%,0,0%,False,Kareem Hunt
2018,2018-11-19,11,11,23.105,KAN,@,LAR,L 51-54,True,14,70,5.00,0,4,3,41,13.67,1,75.0%,10.25,,1,6,0,0,0,0,0,0,61,85%,0,0%,0,0%,True,Kareem Hunt
2019,2019-09-08,1,1,,CLE,,TEN,L 13-43,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Kareem Hunt
