Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,22.302,TEN,NWE,False,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,80%,0,0%,0,0%,False,False,13,34,Kendall Wright
2012,2012-09-16,2,2,22.309,TEN,SDG,True,8,2,24,12.00,1,25.0%,3.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,32,80%,0,0%,0,0%,True,False,10,38,Kendall Wright
2012,2012-09-23,3,3,22.316,TEN,DET,True,11,7,41,5.86,0,63.6%,3.73,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,47,75%,0,0%,0,0%,False,True,44,41,Kendall Wright
2012,2012-09-30,4,4,22.323,TEN,HOU,True,8,4,46,11.50,1,50.0%,5.75,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,53,85%,0,0%,0,0%,True,False,14,38,Kendall Wright
2012,2012-10-07,5,5,22.330,TEN,MIN,True,11,9,66,7.33,0,81.8%,6.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,66%,0,0%,0,0%,True,False,7,30,Kendall Wright
2012,2012-10-11,6,6,22.334,TEN,PIT,True,8,6,71,11.83,0,75.0%,8.88,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,31,44%,0,0%,0,0%,False,True,26,23,Kendall Wright
2012,2012-10-21,7,7,22.344,TEN,BUF,False,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,30,47%,0,0%,0,0%,True,True,35,34,Kendall Wright
2012,2012-10-28,8,8,22.351,TEN,IND,False,5,4,47,11.75,1,80.0%,9.40,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,30,51%,0,0%,0,0%,False,False,13,19,Kendall Wright
2012,2012-11-04,9,9,22.358,TEN,CHI,False,7,2,30,15.00,0,28.6%,4.29,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,27,47%,0,0%,0,0%,False,False,20,51,Kendall Wright
2012,2012-11-11,10,10,22.365,TEN,MIA,False,3,1,9,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,25,41%,0,0%,0,0%,True,True,37,3,Kendall Wright
2012,2012-11-25,11,12,23.013,TEN,JAX,False,8,5,48,9.60,0,62.5%,6.00,1,4,4.00,0,0,0,,0,0,0,0,0,0,0,0,0,39,55%,0,0%,0,0%,True,False,19,24,Kendall Wright
2012,2012-12-02,12,13,23.020,TEN,HOU,False,10,6,78,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,72%,0,0%,0,0%,False,False,10,24,Kendall Wright
2012,2012-12-09,13,14,23.027,TEN,IND,False,9,5,39,7.80,0,55.6%,4.33,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,57%,0,0%,0,0%,True,False,23,27,Kendall Wright
2012,2012-12-17,14,15,23.035,TEN,NYJ,False,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,22,37%,0,0%,0,0%,False,True,14,10,Kendall Wright
2012,2012-12-23,15,16,,TEN,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,55,Kendall Wright
2012,2012-12-30,16,17,23.048,TEN,JAX,False,3,2,40,20.00,0,66.7%,13.33,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,30,56%,0,0%,0,0%,False,True,38,20,Kendall Wright
2013,2013-09-08,1,1,23.300,TEN,PIT,False,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,19,28%,0,0%,0,0%,True,True,16,9,Kendall Wright
2013,2013-09-15,2,2,23.307,TEN,HOU,False,11,7,54,7.71,1,63.6%,4.91,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,32,46%,0,0%,0,0%,True,False,24,30,Kendall Wright
2013,2013-09-22,3,3,23.314,TEN,SDG,False,6,6,71,11.83,0,100.0%,11.83,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,False,True,20,17,Kendall Wright
2013,2013-09-29,4,4,23.321,TEN,NYJ,True,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,50,75%,0,0%,0,0%,False,True,38,13,Kendall Wright
2013,2013-10-06,5,5,23.328,TEN,KAN,True,8,6,74,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,False,False,17,26,Kendall Wright
2013,2013-10-13,6,6,23.335,TEN,SEA,False,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,40,77%,0,0%,0,0%,True,False,13,20,Kendall Wright
