Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-10,1,1,21.072,DET,,NYJ,L 17-48,False,5,17,3.40,0,3,3,20,6.67,0,100.0%,6.67,0,0,0,0,0,0,0,0,16,23%,0,0%,0,0%,False,Kerryon Johnson
2018,2018-09-16,2,2,21.078,DET,@,SFO,L 27-30,False,8,43,5.38,0,6,5,23,4.60,0,83.3%,3.83,0,0,0,0,0,0,0,0,36,47%,0,0%,0,0%,True,Kerryon Johnson
2018,2018-09-23,3,3,21.085,DET,,NWE,W 26-10,False,16,101,6.31,0,3,2,9,4.50,0,66.7%,3.00,0,0,0,0,0,0,0,0,32,44%,0,0%,0,0%,False,Kerryon Johnson
2018,2018-09-30,4,4,21.092,DET,@,DAL,L 24-26,True,9,55,6.11,1,1,1,1,1.00,0,100.0%,1.00,1,6,0,0,0,0,0,0,20,37%,0,0%,1,4%,True,Kerryon Johnson
2018,2018-10-07,5,5,21.099,DET,,GNB,W 31-23,True,12,70,5.83,0,2,2,15,7.50,0,100.0%,7.50,0,0,0,0,0,0,0,0,29,47%,0,0%,0,0%,False,Kerryon Johnson
2018,2018-10-21,6,7,21.113,DET,@,MIA,W 32-21,True,19,158,8.32,0,3,2,21,10.50,0,66.7%,7.00,0,0,0,0,0,0,0,0,38,59%,0,0%,0,0%,True,Kerryon Johnson
2018,2018-10-28,7,8,21.120,DET,,SEA,L 14-28,True,8,22,2.75,0,8,6,69,11.50,0,75.0%,8.63,0,0,0,0,0,0,0,0,48,81%,0,0%,0,0%,False,Kerryon Johnson
2018,2018-11-04,8,9,21.127,DET,@,MIN,L 9-24,True,12,37,3.08,0,5,3,7,2.33,0,60.0%,1.40,0,0,0,0,0,0,0,0,39,56%,0,0%,0,0%,True,Kerryon Johnson
2018,2018-11-11,9,10,21.134,DET,@,CHI,L 22-34,True,14,51,3.64,1,6,6,38,6.33,1,100.0%,6.33,2,12,1,1,0,0,0,0,55,71%,0,0%,0,0%,True,Kerryon Johnson
2018,2018-11-18,10,11,21.141,DET,,CAR,W 20-19,True,15,87,5.80,1,2,2,10,5.00,0,100.0%,5.00,1,6,0,0,0,0,0,0,33,51%,0,0%,0,0%,False,Kerryon Johnson
2018,2018-11-22,11,12,,DET,,CHI,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kerryon Johnson
2018,2018-12-02,12,13,,DET,,LAR,L 16-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kerryon Johnson
2018,2018-12-09,13,14,,DET,@,ARI,W 17-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kerryon Johnson
2018,2018-12-16,14,15,,DET,@,BUF,L 13-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kerryon Johnson
2018,2018-12-23,15,16,,DET,,MIN,L 9-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kerryon Johnson
2018,2018-12-30,16,17,,DET,@,GNB,W 31-0,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kerryon Johnson
2019,2019-09-08,1,1,22.070,DET,@,ARI,T 27-27,True,16,49,3.06,0,2,2,13,6.50,0,100.0%,6.50,0,0,0,0,0,0,0,0,48,57%,0,0%,0,0%,True,Kerryon Johnson
2019,2019-09-15,2,2,22.077,DET,,LAC,W 13-10,True,12,41,3.42,0,3,2,47,23.50,1,66.7%,15.67,1,6,0,0,0,0,0,0,33,55%,0,0%,0,0%,False,Kerryon Johnson
2019,2019-09-22,3,3,22.084,DET,@,PHI,W 27-24,True,20,36,1.80,1,1,1,7,7.00,0,100.0%,7.00,1,6,0,0,0,0,0,0,47,77%,0,0%,0,0%,True,Kerryon Johnson
2019,2019-09-29,4,4,22.091,DET,,KAN,L 30-34,True,26,125,4.81,0,3,2,32,16.00,0,66.7%,10.67,0,0,1,1,0,0,0,0,53,70%,0,0%,0,0%,False,Kerryon Johnson
2019,2019-10-14,5,6,22.106,DET,@,GNB,L 22-23,True,13,34,2.62,1,4,2,27,13.50,0,50.0%,6.75,1,6,0,0,0,0,0,0,39,71%,0,0%,0,0%,True,Kerryon Johnson
2019,2019-10-20,6,7,22.112,DET,,MIN,L 30-42,True,5,23,4.60,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,False,Kerryon Johnson
2019,2019-10-27,7,8,,DET,,NYG,W 31-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kerryon Johnson
2019,2019-11-03,8,9,,DET,@,OAK,L 24-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kerryon Johnson
