Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-16,6.0,6.0,,CLE,TEN,L 26-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kevin Hogan,False,26,28
2016.0,2016-10-23,7.0,7.0,24.003,CLE,CIN,L 17-31,False,12,24,50.00,100,0,2,26.4,2,10,4.17,0.42,7,104,14.86,1,1,6,0,0,0,0,0,0,44,69%,0,0%,0,0%,True,Kevin Hogan,False,17,31
2016.0,2016-10-30,8.0,8.0,24.01,CLE,NYJ,L 28-31,False,2,2,100.00,4,0,0,79.2,0,0,2.00,2.00,0,0,,0,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,Kevin Hogan,False,28,31
2016.0,2016-11-06,9.0,9.0,,CLE,DAL,L 10-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,10,35
2016.0,2016-11-10,10.0,10.0,24.021,CLE,BAL,L 7-28,False,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,0,0,0,0,0,0,2,4%,0,0%,0,0%,True,Kevin Hogan,False,7,28
2016.0,2016-11-20,11.0,11.0,,CLE,PIT,L 9-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,9,24
2016.0,2016-11-27,12.0,12.0,24.038,CLE,NYG,L 13-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,False,Kevin Hogan,False,13,27
2016.0,2016-12-11,13.0,14.0,,CLE,CIN,L 10-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,10,23
2016.0,2016-12-18,14.0,15.0,,CLE,BUF,L 13-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kevin Hogan,False,13,33
2016.0,2016-12-24,15.0,16.0,,CLE,SDG,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,True,20,17
2016.0,2017-01-01,16.0,17.0,,CLE,PIT,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kevin Hogan,False,24,27
2017.0,2017-09-10,1.0,1.0,,CLE,PIT,L 18-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kevin Hogan,False,18,21
2017.0,2017-09-17,2.0,2.0,24.332,CLE,BAL,L 10-24,False,5,11,45.45,118,1,1,77.1,1,2,10.73,8.45,1,5,5.00,0,0,0,0,0,0,0,0,0,19,27%,0,0%,0,0%,True,Kevin Hogan,False,10,24
2017.0,2017-09-24,3.0,3.0,,CLE,IND,L 28-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kevin Hogan,False,28,31
2017.0,2017-10-01,4.0,4.0,24.346,CLE,CIN,L 7-31,False,5,8,62.50,65,0,0,88.0,1,6,8.13,8.13,0,0,,0,0,0,0,0,0,0,0,0,14,22%,0,0%,0,0%,False,Kevin Hogan,False,7,31
2017.0,2017-10-08,5.0,5.0,24.353,CLE,NYJ,L 14-17,False,16,19,84.21,194,2,1,122.4,0,0,10.21,9.95,4,30,7.50,0,0,0,0,0,0,0,0,0,34,45%,0,0%,0,0%,False,Kevin Hogan,False,14,17
2017.0,2017-10-15,6.0,6.0,24.36,CLE,HOU,L 17-33,True,20,37,54.05,140,1,3,38.1,4,27,3.78,0.68,5,36,7.20,0,0,0,1,0,0,0,0,0,67,100%,0,0%,0,0%,True,Kevin Hogan,False,17,33
2017.0,2017-10-22,7.0,7.0,,CLE,TEN,L 9-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,9,12
2017.0,2017-10-29,8.0,8.0,,CLE,MIN,L 16-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,16,33
2017.0,2017-11-12,9.0,10.0,,CLE,DET,L 24-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kevin Hogan,False,24,38
2017.0,2017-11-19,10.0,11.0,,CLE,JAX,L 7-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kevin Hogan,False,7,19
2017.0,2017-11-26,11.0,12.0,,CLE,CIN,L 16-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kevin Hogan,False,16,30
2017.0,2017-12-03,12.0,13.0,,CLE,LAC,L 10-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kevin Hogan,False,10,19
2017.0,2017-12-10,13.0,14.0,,CLE,GNB,L 21-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kevin Hogan,False,21,27
2017.0,2017-12-17,14.0,15.0,,CLE,BAL,L 10-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kevin Hogan,False,10,27
2017.0,2017-12-24,15.0,16.0,,CLE,CHI,L 3-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kevin Hogan,False,3,20
