Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-09-13,1.0,1.0,24.059,CIN,DEN,L 7-12,False,1,0,0.00,0,0.0,0,0,0,0,0,1,0,0,1,-34,0,7,278,39.71,0,,,,,,,False,Kevin Huber,False,7,12
2009.0,2009-09-20,2.0,2.0,24.066,CIN,GNB,W 31-24,False,0,0,,0,0.0,0,0,0,0,0,0,,0,0,0,0,4,185,46.25,0,,,,,,,True,Kevin Huber,True,31,24
2009.0,2009-09-27,3.0,3.0,24.073,CIN,PIT,W 23-20,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,204,40.80,0,,,,,,,False,Kevin Huber,True,23,20
2009.0,2009-10-04,4.0,4.0,24.08,CIN,CLE,W 23-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,9,406,45.11,0,,,,,,,True,Kevin Huber,True,23,20
2009.0,2009-10-11,5.0,5.0,24.087,CIN,BAL,W 17-14,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,4,160,40.00,0,,,,,,,True,Kevin Huber,True,17,14
2009.0,2009-10-18,6.0,6.0,24.094,CIN,HOU,L 17-28,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,335,47.86,0,,,,,,,False,Kevin Huber,False,17,28
2009.0,2009-10-25,7.0,7.0,24.101,CIN,CHI,W 45-10,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,1,36,36.00,0,,,,,,,False,Kevin Huber,True,45,10
2009.0,2009-11-08,8.0,9.0,24.115,CIN,BAL,W 17-7,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,5,232,46.40,0,,,,,,,False,Kevin Huber,True,17,7
2009.0,2009-11-15,9.0,10.0,24.122,CIN,PIT,W 18-12,False,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,166,41.50,0,,,,,,,True,Kevin Huber,True,18,12
2009.0,2009-11-22,10.0,11.0,24.129,CIN,OAK,L 17-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,199,49.75,0,,,,,,,True,Kevin Huber,False,17,20
2009.0,2009-11-29,11.0,12.0,24.136,CIN,CLE,W 16-7,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,252,42.00,0,,,,,,,False,Kevin Huber,True,16,7
2009.0,2009-12-06,12.0,13.0,24.143,CIN,DET,W 23-13,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,176,44.00,0,,,,,,,False,Kevin Huber,True,23,13
2009.0,2009-12-13,13.0,14.0,24.15,CIN,MIN,L 10-30,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,287,41.00,0,,,,,,,True,Kevin Huber,False,10,30
2009.0,2009-12-20,14.0,15.0,24.157,CIN,SDG,L 24-27,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,233,46.60,0,,,,,,,True,Kevin Huber,False,24,27
2009.0,2009-12-27,15.0,16.0,24.164,CIN,KAN,W 17-10,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,289,41.29,0,,,,,,,False,Kevin Huber,True,17,10
2009.0,2010-01-03,16.0,17.0,24.171,CIN,NYJ,L 0-37,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,275,39.29,0,,,,,,,True,Kevin Huber,False,0,37
2010.0,2010-09-12,1.0,1.0,25.058,CIN,NWE,L 24-38,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,139,46.33,0,,,,,,,True,Kevin Huber,False,24,38
2010.0,2010-09-19,2.0,2.0,25.065,CIN,BAL,W 15-10,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,8,353,44.13,0,,,,,,,False,Kevin Huber,True,15,10
2010.0,2010-09-26,3.0,3.0,25.072,CIN,CAR,W 20-7,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,6,249,41.50,0,,,,,,,True,Kevin Huber,True,20,7
2010.0,2010-10-03,4.0,4.0,25.079,CIN,CLE,L 20-23,False,0,0,,0,0.0,0,0,0,,,0,,0,0,0,0,3,116,38.67,0,,,,,,,True,Kevin Huber,False,20,23
