Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-23,15,16,22.290,CAR,,ATL,L 10-24,False,4,4,100.00,38,0,0,106.2,0,0,9.50,9.50,0,0,,0,0,0,0,0,0,0,0,0,9,10%,0,0%,0,0%,False,Kyle Allen
2018,2018-12-30,16,17,22.297,CAR,@,NOR,W 33-14,True,16,27,59.26,228,2,0,111.3,0,0,8.44,9.93,5,19,3.80,1,1,6,0,0,0,0,0,0,59,82%,0,0%,0,0%,True,Kyle Allen
2019,2019-09-08,1,1,,CAR,,LAR,L 27-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kyle Allen
2019,2019-09-12,2,2,,CAR,,TAM,L 14-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kyle Allen
2019,2019-09-22,3,3,23.198,CAR,@,ARI,W 38-20,True,19,26,73.08,261,4,0,144.4,2,21,10.04,13.12,3,-1,-0.33,0,0,0,2,1,0,1,0,0,60,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-09-29,4,4,23.205,CAR,@,HOU,W 16-10,True,24,34,70.59,232,0,0,89.3,3,29,6.82,6.82,0,0,,0,0,0,3,3,0,0,0,0,67,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-10-06,5,5,23.212,CAR,,JAX,W 34-27,True,17,30,56.67,181,1,0,85.6,3,21,6.03,6.70,1,4,4.00,0,0,0,1,0,0,0,0,0,63,100%,0,0%,0,0%,False,Kyle Allen
2019,2019-10-13,6,6,23.219,CAR,@,TAM,W 37-26,True,20,32,62.50,227,2,0,104.6,2,18,7.09,8.34,3,3,1.00,0,0,0,0,0,0,0,0,0,66,97%,0,0%,0,0%,True,Kyle Allen
2019,2019-10-27,7,8,23.233,CAR,@,SFO,L 13-51,True,19,37,51.35,158,0,3,28.9,7,58,4.27,0.62,0,0,,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-11-03,8,9,23.240,CAR,,TEN,W 30-20,True,17,32,53.13,232,2,1,84.4,3,18,7.25,7.09,3,-4,-1.33,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Kyle Allen
2019,2019-11-10,9,10,23.247,CAR,@,GNB,L 16-24,True,28,43,65.12,307,1,1,84.2,3,26,7.14,6.56,3,12,4.00,0,0,0,1,1,0,0,-2,0,72,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-11-17,10,11,23.254,CAR,,ATL,L 3-29,True,31,50,62.00,325,0,4,47.5,5,55,6.50,2.90,1,7,7.00,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,False,Kyle Allen
2019,2019-11-24,11,12,23.261,CAR,@,NOR,L 31-34,True,23,36,63.89,256,3,0,112.7,4,26,7.11,8.78,1,9,9.00,0,0,0,1,0,0,0,0,0,74,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-12-01,12,13,23.268,CAR,,WAS,L 21-29,True,27,46,58.70,278,2,1,81.6,7,65,6.04,5.93,4,22,5.50,1,1,6,2,1,0,1,-2,0,73,100%,0,0%,0,0%,False,Kyle Allen
2019,2019-12-08,13,14,23.275,CAR,@,ATL,L 20-40,True,28,41,68.29,293,1,2,76.6,5,48,7.15,5.44,6,24,4.00,1,1,6,2,1,0,0,0,0,71,100%,0,0%,0,0%,True,Kyle Allen
2019,2019-12-15,14,15,23.282,CAR,,SEA,L 24-30,True,25,41,60.98,277,1,3,58.7,1,8,6.76,3.95,5,25,5.00,0,0,0,1,0,0,1,0,0,72,100%,0,0%,0,0%,False,Kyle Allen
2019,2019-12-22,15,16,,CAR,@,IND,L 6-38,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kyle Allen
2019,2019-12-29,16,17,23.296,CAR,,NOR,L 10-42,False,25,41,60.98,295,0,1,72.7,1,4,7.20,6.10,2,5,2.50,0,0,0,0,0,0,0,0,0,54,76%,0,0%,0,0%,False,Kyle Allen
2020,2020-09-13,1,1,,WAS,,PHI,W 27-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kyle Allen
2020,2020-09-20,2,2,,WAS,@,ARI,L 15-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kyle Allen
2020,2020-09-27,3,3,,WAS,@,CLE,L 20-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kyle Allen
