Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-09-09,1,1,22.078,SDG,WAS,True,36,113,3.14,2,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,2,12,1,1,0,0,0,0,False,True,30,3,LaDainian Tomlinson
2001,2001-09-23,2,2,22.092,SDG,DAL,True,27,90,3.33,0,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,,,,,0,0,2,1,0,0,0,0,True,True,32,21,LaDainian Tomlinson
2001,2001-09-30,3,3,22.099,SDG,CIN,True,21,107,5.10,3,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,3,18,0,,0,0,0,0,False,True,28,14,LaDainian Tomlinson
2001,2001-10-07,4,4,22.106,SDG,CLE,True,19,102,5.37,1,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,16,20,LaDainian Tomlinson
2001,2001-10-14,5,5,22.113,SDG,NWE,True,24,74,3.08,1,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,1,6,1,1,0,0,0,0,True,False,26,29,LaDainian Tomlinson
2001,2001-10-21,6,6,22.120,SDG,DEN,True,25,58,2.32,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,27,10,LaDainian Tomlinson
2001,2001-10-28,7,7,22.127,SDG,BUF,True,16,76,4.75,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,27,24,LaDainian Tomlinson
2001,2001-11-04,8,8,22.134,SDG,KAN,True,13,31,2.38,1,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,False,False,20,25,LaDainian Tomlinson
2001,2001-11-11,9,9,22.141,SDG,DEN,True,14,75,5.36,0,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,16,26,LaDainian Tomlinson
2001,2001-11-18,10,10,22.148,SDG,OAK,True,22,68,3.09,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,24,34,LaDainian Tomlinson
2001,2001-11-25,11,11,22.155,SDG,ARI,True,21,75,3.57,0,14,13,72,5.54,0,92.9%,5.14,0,0,,0,0,0,,,,,,0,0,1,1,0,0,0,0,False,False,17,20,LaDainian Tomlinson
2001,2001-12-02,12,12,22.162,SDG,SEA,True,24,87,3.63,1,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,10,13,LaDainian Tomlinson
2001,2001-12-09,13,13,22.169,SDG,PHI,True,19,51,2.68,0,5,4,13,3.25,0,80.0%,2.60,0,0,,0,0,0,,,,,,0,0,2,1,0,0,0,0,True,False,14,24,LaDainian Tomlinson
2001,2001-12-15,14,14,22.175,SDG,OAK,True,17,46,2.71,0,7,6,23,3.83,0,85.7%,3.29,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,6,13,LaDainian Tomlinson
2001,2001-12-23,15,15,22.183,SDG,KAN,True,27,145,5.37,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,,,,,,0,0,1,0,0,0,0,0,True,False,17,20,LaDainian Tomlinson
2001,2001-12-30,16,16,22.190,SDG,SEA,True,14,38,2.71,0,12,10,68,6.80,0,83.3%,5.67,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,22,25,LaDainian Tomlinson
