Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,24.137,NYJ,CIN,L 22-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,154,51.33,0,0,0%,0,0%,9,31%,False,Lac Edwards,False,22,23
2016.0,2016-09-15,2.0,2.0,24.141,NYJ,BUF,W 37-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,2,82,41.00,0,0,0%,0,0%,9,29%,True,Lac Edwards,True,37,31
2016.0,2016-09-25,3.0,3.0,24.151,NYJ,KAN,L 3-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,2,86,43.00,0,0,0%,0,0%,3,17%,True,Lac Edwards,False,3,24
2016.0,2016-10-02,4.0,4.0,24.158,NYJ,SEA,L 17-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,202,40.40,0,0,0%,0,0%,8,29%,False,Lac Edwards,False,17,27
2016.0,2016-10-09,5.0,5.0,24.165,NYJ,PIT,L 13-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,260,43.33,0,0,0%,0,0%,9,32%,True,Lac Edwards,False,13,31
2016.0,2016-10-17,6.0,6.0,24.173,NYJ,ARI,L 3-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,7,295,42.14,0,0,0%,0,0%,8,33%,True,Lac Edwards,False,3,28
2016.0,2016-10-23,7.0,7.0,24.179,NYJ,BAL,W 24-16,False,1,0,0.00,0,0,0,,0,0,0,,0,0,,,1,0,0,0,-29,0,6,237,39.50,0,0,0%,0,0%,12,39%,False,Lac Edwards,True,24,16
2016.0,2016-10-30,8.0,8.0,24.186,NYJ,CLE,W 31-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,6,282,47.00,0,0,0%,0,0%,11,35%,True,Lac Edwards,True,31,28
2016.0,2016-11-06,9.0,9.0,24.193,NYJ,MIA,L 23-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,3,121,40.33,0,0,0%,0,0%,9,28%,True,Lac Edwards,False,23,27
2016.0,2016-11-13,10.0,10.0,24.2,NYJ,LAR,L 6-9,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,8,342,42.75,0,0,0%,0,0%,9,36%,False,Lac Edwards,False,6,9
2016.0,2016-11-27,11.0,12.0,24.214,NYJ,NWE,L 17-22,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,4,178,44.50,0,0,0%,0,0%,8,30%,False,Lac Edwards,False,17,22
2016.0,2016-12-05,12.0,13.0,24.222,NYJ,IND,L 10-41,False,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,5,230,46.00,0,0,0%,0,0%,7,26%,False,Lac Edwards,False,10,41
