Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,22.112,ATL,MIN,True,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,3,24,Laurent Robinson
2007,2007-09-16,2,2,,ATL,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,13,Laurent Robinson
2007,2007-09-23,3,3,22.126,ATL,CAR,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,20,27,Laurent Robinson
2007,2007-09-30,4,4,22.133,ATL,HOU,True,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,26,16,Laurent Robinson
2007,2007-10-07,5,5,22.140,ATL,TEN,False,7,4,27,6.75,0,57.1%,3.86,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,20,Laurent Robinson
2007,2007-10-15,6,6,22.148,ATL,NYG,False,7,1,8,8.00,0,14.3%,1.14,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,10,31,Laurent Robinson
2007,2007-10-21,7,7,22.154,ATL,NOR,False,5,3,53,17.67,0,60.0%,10.60,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,16,22,Laurent Robinson
2007,2007-11-04,8,9,22.168,ATL,SFO,False,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,20,16,Laurent Robinson
2007,2007-11-11,9,10,22.175,ATL,CAR,True,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,True,20,13,Laurent Robinson
2007,2007-11-18,10,11,22.182,ATL,TAM,True,7,2,43,21.50,0,28.6%,6.14,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,7,31,Laurent Robinson
2007,2007-11-22,11,12,22.186,ATL,IND,True,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,31,Laurent Robinson
2007,2007-12-02,12,13,22.196,ATL,STL,False,6,2,10,5.00,0,33.3%,1.67,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,16,28,Laurent Robinson
2007,2007-12-10,13,14,22.204,ATL,NOR,False,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,34,Laurent Robinson
2007,2007-12-16,14,15,22.210,ATL,TAM,False,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,3,37,Laurent Robinson
2007,2007-12-23,15,16,22.217,ATL,ARI,True,10,7,114,16.29,1,70.0%,11.40,0,0,,0,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,27,30,Laurent Robinson
2007,2007-12-30,16,17,22.224,ATL,SEA,False,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,44,41,Laurent Robinson
2008,2008-09-07,1,1,23.110,ATL,DET,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,21,Laurent Robinson
2008,2008-09-14,2,2,23.117,ATL,TAM,False,5,4,45,11.25,0,80.0%,9.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,24,Laurent Robinson
2008,2008-09-21,3,3,23.124,ATL,KAN,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,14,Laurent Robinson
2008,2008-09-28,4,4,,ATL,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,24,Laurent Robinson
2008,2008-10-05,5,5,,ATL,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,24,Laurent Robinson
2008,2008-10-12,6,6,,ATL,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,22,20,Laurent Robinson
2008,2008-10-26,7,8,,ATL,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,27,Laurent Robinson
2008,2008-11-02,8,9,23.166,ATL,OAK,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,24,0,Laurent Robinson
2008,2008-11-09,9,10,23.173,ATL,NOR,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,20,Laurent Robinson
2008,2008-11-16,10,11,23.180,ATL,DEN,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Laurent Robinson
2008,2008-11-23,11,12,,ATL,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,45,28,Laurent Robinson
2008,2008-11-30,12,13,,ATL,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,22,16,Laurent Robinson
2008,2008-12-07,13,14,,ATL,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,25,29,Laurent Robinson
2008,2008-12-14,14,15,,ATL,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,10,Laurent Robinson
2008,2008-12-21,15,16,,ATL,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,24,17,Laurent Robinson
2008,2008-12-28,16,17,,ATL,STL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,27,Laurent Robinson
2009,2009-09-13,1,1,24.116,STL,SEA,True,10,5,87,17.40,0,50.0%,8.70,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,0,28,Laurent Robinson
2009,2009-09-20,2,2,24.123,STL,WAS,True,9,6,54,9.00,1,66.7%,6.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,9,Laurent Robinson
2009,2009-09-27,3,3,24.130,STL,GNB,True,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,36,Laurent Robinson
2009,2009-10-04,4,4,,STL,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,0,35,Laurent Robinson
2009,2009-10-11,5,5,,STL,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,10,38,Laurent Robinson
