Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-13,1,1,21.063,PHI,@,CAR,W 38-10,False,9,46,5.11,0,3,1,1,1.00,0,33.3%,0.33,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-09-20,2,2,21.070,PHI,,NOR,L 22-48,True,5,18,3.60,0,5,4,37,9.25,0,80.0%,7.40,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-09-27,3,3,21.077,PHI,,KAN,W 34-14,True,20,84,4.20,1,2,1,9,9.00,0,50.0%,4.50,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-10-11,4,5,21.091,PHI,,TAM,W 33-14,False,6,14,2.33,0,3,2,15,7.50,0,66.7%,5.00,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-10-18,5,6,21.098,PHI,@,OAK,L 9-13,False,5,13,2.60,0,2,0,0,,0,0.0%,0.00,,0,0,1,0,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-10-26,6,7,21.106,PHI,@,WAS,W 27-17,False,14,37,2.64,0,6,5,30,6.00,0,83.3%,5.00,,0,0,0,,0,1,0,0,,,,,,,True,LeSean McCoy
2009,2009-11-01,7,8,21.112,PHI,,NYG,W 40-17,True,11,82,7.45,1,2,2,10,5.00,0,100.0%,5.00,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-11-08,8,9,21.119,PHI,,DAL,L 16-20,False,13,54,4.15,0,7,5,61,12.20,0,71.4%,8.71,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-11-15,9,10,21.126,PHI,@,SDG,L 23-31,False,3,5,1.67,0,3,3,18,6.00,0,100.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-11-22,10,11,21.133,PHI,@,CHI,W 24-20,False,20,99,4.95,1,1,0,0,,0,0.0%,0.00,,1,6,1,1,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-11-29,11,12,21.140,PHI,,WAS,W 27-24,False,17,76,4.47,0,6,4,25,6.25,0,66.7%,4.17,1,0,2,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-12-06,12,13,21.147,PHI,@,ATL,W 34-7,False,6,2,0.33,0,4,3,24,8.00,0,75.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-12-13,13,14,21.154,PHI,@,NYG,W 45-38,True,10,28,2.80,0,5,4,26,6.50,0,80.0%,5.20,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2009,2009-12-20,14,15,21.161,PHI,,SFO,W 27-13,False,9,48,5.33,1,3,3,8,2.67,0,100.0%,2.67,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2009-12-27,15,16,21.168,PHI,,DEN,W 30-27,False,6,27,4.50,0,1,1,39,39.00,0,100.0%,39.00,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2009,2010-01-03,16,17,21.175,PHI,@,DAL,L 0-24,False,1,4,4.00,0,2,2,5,2.50,0,100.0%,2.50,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-09-12,1,1,22.062,PHI,,GNB,L 20-27,False,7,35,5.00,1,5,5,47,9.40,0,100.0%,9.40,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2010-09-19,2,2,22.069,PHI,@,DET,W 35-32,True,16,120,7.50,3,4,4,8,2.00,0,100.0%,2.00,,3,18,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-09-26,3,3,22.076,PHI,@,JAX,W 28-3,True,11,54,4.91,0,4,2,7,3.50,0,50.0%,1.75,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-10-03,4,4,22.083,PHI,,WAS,L 12-17,True,16,64,4.00,0,16,12,110,9.17,0,75.0%,6.88,,0,0,1,1,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2010-10-10,5,5,22.090,PHI,@,SFO,W 27-24,True,18,92,5.11,1,5,5,46,9.20,0,100.0%,9.20,,1,6,1,0,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-10-17,6,6,22.097,PHI,,ATL,W 31-17,False,21,64,3.05,0,4,4,21,5.25,0,100.0%,5.25,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2010-10-24,7,7,22.104,PHI,@,TEN,L 19-37,True,16,48,3.00,0,7,6,54,9.00,0,85.7%,7.71,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-11-07,8,9,22.118,PHI,,IND,W 26-24,True,16,95,5.94,0,4,3,8,2.67,0,75.0%,2.00,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2010-11-15,9,10,22.126,PHI,@,WAS,W 59-28,True,11,43,3.91,0,6,5,51,10.20,1,83.3%,8.50,,1,6,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-11-21,10,11,22.132,PHI,,NYG,W 27-17,True,14,111,7.93,1,5,5,29,5.80,0,100.0%,5.80,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2010-11-28,11,12,22.139,PHI,@,CHI,L 26-31,True,10,53,5.30,0,9,8,67,8.38,0,88.9%,7.44,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-12-02,12,13,22.143,PHI,,HOU,W 34-24,True,12,44,3.67,1,8,8,86,10.75,1,100.0%,10.75,,2,12,0,,0,1,0,0,,,,,,,False,LeSean McCoy
2010,2010-12-12,13,14,22.153,PHI,@,DAL,W 30-27,True,16,149,9.31,0,3,3,4,1.33,0,100.0%,1.33,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-12-19,14,15,22.160,PHI,@,NYG,W 38-31,True,10,64,6.40,0,6,4,13,3.25,0,66.7%,2.17,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2010,2010-12-28,15,16,22.169,PHI,,MIN,L 14-24,True,13,44,3.38,0,5,4,41,10.25,0,80.0%,8.20,,0,0,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2010,2011-01-02,16,17,,PHI,,DAL,L 13-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeSean McCoy
2011,2011-09-11,1,1,23.061,PHI,@,STL,W 31-13,True,15,122,8.13,1,3,2,15,7.50,1,66.7%,5.00,,2,12,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-09-18,2,2,23.068,PHI,@,ATL,L 31-35,True,18,95,5.28,2,4,4,21,5.25,0,100.0%,5.25,,2,12,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-09-25,3,3,23.075,PHI,,NYG,L 16-29,True,24,128,5.33,1,3,3,13,4.33,0,100.0%,4.33,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-10-02,4,4,23.082,PHI,,SFO,L 23-24,True,9,18,2.00,0,9,6,34,5.67,1,66.7%,3.78,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-10-09,5,5,23.089,PHI,@,BUF,L 24-31,True,11,80,7.27,1,7,4,27,6.75,0,57.1%,3.86,,1,6,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-10-16,6,6,23.096,PHI,@,WAS,W 20-13,True,28,126,4.50,1,4,2,13,6.50,0,50.0%,3.25,,1,6,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-10-30,7,8,23.110,PHI,,DAL,W 34-7,True,30,185,6.17,2,3,2,15,7.50,0,66.7%,5.00,,2,12,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-11-07,8,9,23.118,PHI,,CHI,L 24-30,True,16,71,4.44,1,5,5,46,9.20,0,100.0%,9.20,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-11-13,9,10,23.124,PHI,,ARI,L 17-21,True,14,81,5.79,1,5,3,12,4.00,0,60.0%,2.40,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-11-20,10,11,23.131,PHI,@,NYG,W 17-10,True,23,113,4.91,0,4,3,2,0.67,0,75.0%,0.50,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-11-27,11,12,23.138,PHI,,NWE,L 20-38,True,10,31,3.10,1,7,4,30,7.50,0,57.1%,4.29,,1,6,0,,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-12-01,12,13,23.142,PHI,@,SEA,L 14-31,True,17,84,4.94,1,5,4,49,12.25,1,80.0%,9.80,,2,12,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-12-11,13,14,23.152,PHI,@,MIA,W 26-10,True,27,38,1.41,2,6,3,33,11.00,0,50.0%,5.50,,2,12,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2011-12-18,14,15,23.159,PHI,,NYJ,W 45-19,True,18,102,5.67,3,2,2,-5,-2.50,0,100.0%,-2.50,,3,18,1,1,0,0,0,0,,,,,,,False,LeSean McCoy
2011,2011-12-24,15,16,23.165,PHI,@,DAL,W 20-7,True,13,35,2.69,0,2,1,10,10.00,0,50.0%,5.00,,0,0,0,,0,0,0,0,,,,,,,True,LeSean McCoy
2011,2012-01-01,16,17,,PHI,,WAS,W 34-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeSean McCoy
2012,2012-09-09,1,1,24.059,PHI,@,CLE,W 17-16,True,20,110,5.50,0,9,6,26,4.33,0,66.7%,2.89,,0,0,1,1,0,1,0,0,80,85%,0,0%,0,0%,True,LeSean McCoy
2012,2012-09-16,2,2,24.066,PHI,,BAL,W 24-23,True,25,81,3.24,1,3,2,8,4.00,0,66.7%,2.67,,1,6,1,1,0,0,0,0,68,86%,0,0%,0,0%,False,LeSean McCoy
2012,2012-09-23,3,3,24.073,PHI,@,ARI,L 6-27,True,13,70,5.38,0,3,3,8,2.67,0,100.0%,2.67,,0,0,0,0,0,0,0,0,51,80%,0,0%,0,0%,True,LeSean McCoy
2012,2012-09-30,4,4,24.080,PHI,,NYG,W 19-17,True,23,123,5.35,0,4,3,17,5.67,0,75.0%,4.25,,0,0,1,0,0,0,0,0,52,75%,0,0%,0,0%,False,LeSean McCoy
2012,2012-10-07,5,5,24.087,PHI,@,PIT,L 14-16,True,16,53,3.31,0,5,4,27,6.75,1,80.0%,5.40,,1,6,0,0,0,0,0,0,46,81%,0,0%,0,0%,True,LeSean McCoy
2012,2012-10-14,6,6,24.094,PHI,,DET,L 23-26,True,14,22,1.57,0,8,7,26,3.71,1,87.5%,3.25,,1,6,0,0,0,0,0,0,62,76%,0,0%,0,0%,False,LeSean McCoy
2012,2012-10-28,7,8,24.108,PHI,,ATL,L 17-30,True,16,45,2.81,1,3,3,22,7.33,1,100.0%,7.33,,2,12,0,0,0,0,0,0,54,86%,0,0%,0,0%,False,LeSean McCoy
2012,2012-11-05,8,9,24.116,PHI,@,NOR,L 13-28,True,19,119,6.26,0,3,2,14,7.00,0,66.7%,4.67,,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,True,LeSean McCoy
2012,2012-11-11,9,10,24.122,PHI,,DAL,L 23-38,True,16,82,5.13,0,5,4,20,5.00,0,80.0%,4.00,,0,0,0,0,0,0,0,0,63,81%,0,0%,0,0%,False,LeSean McCoy
2012,2012-11-18,10,11,24.129,PHI,@,WAS,L 6-31,True,15,45,3.00,0,7,6,67,11.17,0,85.7%,9.57,,0,0,1,1,0,1,0,0,54,72%,0,0%,0,0%,True,LeSean McCoy
2012,2012-11-26,11,12,,PHI,,CAR,L 22-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeSean McCoy
2012,2012-12-02,12,13,,PHI,@,DAL,L 33-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,LeSean McCoy
2012,2012-12-09,13,14,,PHI,@,TAM,W 23-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,LeSean McCoy
2012,2012-12-13,14,15,,PHI,,CIN,L 13-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeSean McCoy
2012,2012-12-23,15,16,24.164,PHI,,WAS,L 20-27,True,13,45,3.46,0,11,9,77,8.56,0,81.8%,7.00,,0,0,0,0,0,0,0,0,64,84%,0,0%,0,0%,False,LeSean McCoy
2012,2012-12-30,16,17,24.171,PHI,@,NYG,L 7-42,True,10,45,4.50,0,6,5,61,12.20,0,83.3%,10.17,,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,True,LeSean McCoy
2013,2013-09-09,1,1,25.059,PHI,@,WAS,W 33-27,True,31,184,5.94,1,1,1,5,5.00,0,100.0%,5.00,,1,6,0,0,0,0,0,0,65,81%,0,0%,0,0%,True,LeSean McCoy
2013,2013-09-15,2,2,25.065,PHI,,SDG,L 30-33,True,11,53,4.82,0,6,5,114,22.80,0,83.3%,19.00,,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,False,LeSean McCoy
2013,2013-09-19,3,3,25.069,PHI,,KAN,L 16-26,True,20,158,7.90,1,1,0,0,,0,0.0%,0.00,,1,6,0,0,0,0,0,0,52,80%,0,0%,0,0%,False,LeSean McCoy
2013,2013-09-29,4,4,25.079,PHI,@,DEN,L 20-52,True,16,73,4.56,0,3,1,21,21.00,0,33.3%,7.00,,0,0,0,0,0,0,0,0,42,59%,0,0%,0,0%,True,LeSean McCoy
2013,2013-10-06,5,5,25.086,PHI,@,NYG,W 36-21,True,20,46,2.30,1,8,6,46,7.67,0,75.0%,5.75,,1,6,0,0,0,0,0,0,64,79%,0,0%,0,0%,True,LeSean McCoy
2013,2013-10-13,6,6,25.093,PHI,@,TAM,W 31-20,True,25,116,4.64,0,2,2,55,27.50,0,100.0%,27.50,,0,0,1,1,0,0,0,0,50,74%,0,0%,0,0%,True,LeSean McCoy
2013,2013-10-20,7,7,25.100,PHI,,DAL,L 3-17,True,18,55,3.06,0,7,6,26,4.33,0,85.7%,3.71,,0,0,0,0,0,0,0,0,75,94%,0,0%,0,0%,False,LeSean McCoy
2013,2013-10-27,8,8,25.107,PHI,,NYG,L 7-15,True,15,48,3.20,0,5,4,17,4.25,0,80.0%,3.40,,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,False,LeSean McCoy
2013,2013-11-03,9,9,25.114,PHI,@,OAK,W 49-20,True,12,44,3.67,0,4,4,36,9.00,1,100.0%,9.00,,1,6,0,0,0,0,0,0,45,76%,0,0%,0,0%,True,LeSean McCoy
2013,2013-11-10,10,10,25.121,PHI,@,GNB,W 27-13,True,25,155,6.20,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,51,84%,0,0%,0,0%,True,LeSean McCoy
2013,2013-11-17,11,11,25.128,PHI,,WAS,W 24-16,True,20,77,3.85,2,4,4,73,18.25,0,100.0%,18.25,,2,12,0,0,0,0,0,0,50,76%,0,0%,0,0%,False,LeSean McCoy
2013,2013-12-01,12,13,25.142,PHI,,ARI,W 24-21,True,19,79,4.16,0,6,5,36,7.20,0,83.3%,6.00,,0,0,0,0,0,0,0,0,60,78%,0,0%,0,0%,False,LeSean McCoy
2013,2013-12-08,13,14,25.149,PHI,,DET,W 34-20,True,29,217,7.48,2,1,1,4,4.00,0,100.0%,4.00,,2,12,0,0,0,0,0,0,56,75%,0,0%,0,0%,False,LeSean McCoy
2013,2013-12-15,14,15,25.156,PHI,@,MIN,L 30-48,True,8,38,4.75,0,7,5,68,13.60,0,71.4%,9.71,,0,0,0,0,0,0,0,0,57,83%,0,0%,0,0%,True,LeSean McCoy
2013,2013-12-22,15,16,25.163,PHI,,CHI,W 54-11,True,18,133,7.39,2,6,6,29,4.83,0,100.0%,4.83,,2,12,0,0,0,0,0,0,44,69%,0,0%,0,0%,False,LeSean McCoy
2013,2013-12-29,16,17,25.170,PHI,@,DAL,W 24-22,True,27,131,4.85,0,2,1,3,3.00,1,50.0%,1.50,,1,6,0,0,0,0,0,0,59,88%,0,0%,0,0%,True,LeSean McCoy
2014,2014-09-07,1,1,26.057,PHI,,JAX,W 34-17,True,21,74,3.52,0,6,6,41,6.83,0,100.0%,6.83,,0,0,0,0,0,0,0,0,58,67%,0,0%,0,0%,False,LeSean McCoy
2014,2014-09-15,2,2,26.065,PHI,@,IND,W 30-27,True,19,79,4.16,1,5,4,23,5.75,0,80.0%,4.60,,1,6,0,0,0,0,0,0,48,71%,0,0%,0,0%,True,LeSean McCoy
2014,2014-09-21,3,3,26.071,PHI,,WAS,W 37-34,True,19,22,1.16,0,2,0,0,,0,0.0%,0.00,,0,0,1,0,0,0,0,0,54,74%,0,0%,0,0%,False,LeSean McCoy
2014,2014-09-28,4,4,26.078,PHI,@,SFO,L 21-26,True,10,17,1.70,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,True,LeSean McCoy
2014,2014-10-05,5,5,26.085,PHI,,STL,W 34-28,True,24,81,3.38,0,4,4,5,1.25,0,100.0%,1.25,,0,0,1,1,0,0,0,0,54,74%,0,0%,0,0%,False,LeSean McCoy
2014,2014-10-12,6,6,26.092,PHI,,NYG,W 27-0,True,22,149,6.77,0,2,2,5,2.50,0,100.0%,2.50,,0,0,0,0,0,0,0,0,42,58%,0,0%,0,0%,False,LeSean McCoy
2014,2014-10-26,7,8,26.106,PHI,@,ARI,L 20-24,True,20,83,4.15,0,5,3,14,4.67,0,60.0%,2.80,,0,0,0,0,0,0,0,0,78,85%,0,0%,0,0%,True,LeSean McCoy
2014,2014-11-02,8,9,26.113,PHI,@,HOU,W 31-21,True,24,117,4.88,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,54,65%,0,0%,0,0%,True,LeSean McCoy
