Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-12-12,13,14,23.095,SDG,TAM,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,31,24,Malcom Floyd
2004,2004-12-19,14,15,23.102,SDG,CLE,True,1,0,0,,0,0.0%,0.00,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,21,0,Malcom Floyd
2004,2004-12-26,15,16,23.109,SDG,IND,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,31,34,Malcom Floyd
2004,2005-01-02,16,17,23.116,SDG,KAN,True,8,3,49,16.33,1,37.5%,6.13,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,17,Malcom Floyd
2005,2005-12-11,13,14,,SDG,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,23,Malcom Floyd
2005,2005-12-18,14,15,,SDG,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,26,17,Malcom Floyd
2005,2005-12-24,15,16,,SDG,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,20,Malcom Floyd
2005,2005-12-31,16,17,,SDG,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,23,Malcom Floyd
2006,2006-09-11,1,1,25.003,SDG,OAK,False,,0,0,,0,0.0%,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,0,Malcom Floyd
2006,2006-09-17,2,2,25.009,SDG,TEN,False,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,40,7,Malcom Floyd
2006,2006-10-01,3,4,25.023,SDG,BAL,False,2,1,31,31.00,1,50.0%,15.50,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Malcom Floyd
2006,2006-10-08,4,5,25.030,SDG,PIT,False,4,2,18,9.00,1,50.0%,4.50,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,23,13,Malcom Floyd
2006,2006-10-15,5,6,25.037,SDG,SFO,False,2,0,0,,0,0.0%,0.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,48,19,Malcom Floyd
2006,2006-10-22,6,7,25.044,SDG,KAN,False,1,1,19,19.00,0,100.0%,19.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,27,30,Malcom Floyd
2006,2006-10-29,7,8,25.051,SDG,STL,False,2,1,5,5.00,0,50.0%,2.50,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,38,24,Malcom Floyd
2006,2006-11-05,8,9,25.058,SDG,CLE,False,3,2,8,4.00,0,66.7%,2.67,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,32,25,Malcom Floyd
2006,2006-11-12,9,10,25.065,SDG,CIN,False,8,5,109,21.80,1,62.5%,13.63,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,49,41,Malcom Floyd
2006,2006-11-19,10,11,25.072,SDG,DEN,False,2,1,7,7.00,0,50.0%,3.50,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,35,27,Malcom Floyd
2006,2006-11-26,11,12,25.079,SDG,OAK,False,4,0,0,,0,0.0%,0.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,14,Malcom Floyd
2006,2006-12-03,12,13,25.086,SDG,BUF,False,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,21,Malcom Floyd
2006,2006-12-10,13,14,,SDG,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,48,20,Malcom Floyd
2006,2006-12-17,14,15,,SDG,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,20,9,Malcom Floyd
2006,2006-12-24,15,16,,SDG,SEA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,20,17,Malcom Floyd
2006,2006-12-31,16,17,,SDG,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,27,20,Malcom Floyd
2007,2007-09-09,1,1,26.001,SDG,CHI,False,,0,0,,0,0.0%,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,14,3,Malcom Floyd
2007,2007-09-16,2,2,26.008,SDG,NWE,False,3,1,19,19.00,0,33.3%,6.33,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,14,38,Malcom Floyd
2007,2007-09-23,3,3,26.015,SDG,GNB,False,3,1,25,25.00,0,33.3%,8.33,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,24,31,Malcom Floyd
2007,2007-09-30,4,4,26.022,SDG,KAN,False,5,3,28,9.33,0,60.0%,5.60,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,16,30,Malcom Floyd
2007,2007-10-07,5,5,26.029,SDG,DEN,True,,0,0,,0,0.0%,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,41,3,Malcom Floyd
2007,2007-10-14,6,6,26.036,SDG,OAK,False,2,2,25,12.50,0,100.0%,12.50,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,28,14,Malcom Floyd
2007,2007-10-28,7,8,,SDG,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,10,Malcom Floyd
2007,2007-11-04,8,9,,SDG,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,35,Malcom Floyd
2007,2007-11-11,9,10,,SDG,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,21,Malcom Floyd
2007,2007-11-18,10,11,,SDG,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,24,Malcom Floyd
2007,2007-11-25,11,12,,SDG,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,32,14,Malcom Floyd
