Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,21.318,TEN,TAM,W 42-14,True,13,15,86.67,209,4,0,158.3,2,24,13.93,19.27,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,True,Marcus Mariota,True,42,14
2015.0,2015-09-20,2.0,2.0,21.325,TEN,CLE,L 14-28,True,21,37,56.76,257,2,0,96.3,7,38,6.95,8.03,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,80,100%,0,0%,0,0%,True,Marcus Mariota,False,14,28
2015.0,2015-09-27,3.0,3.0,21.332,TEN,IND,L 33-35,True,27,44,61.36,367,2,2,84.2,3,22,8.34,7.20,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,False,Marcus Mariota,False,33,35
2015.0,2015-10-11,4.0,5.0,21.346,TEN,BUF,L 13-14,True,21,32,65.63,187,0,1,68.1,2,8,5.84,4.44,5,47,9.40,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,False,Marcus Mariota,False,13,14
2015.0,2015-10-18,5.0,6.0,21.353,TEN,MIA,L 10-38,True,21,33,63.64,219,1,2,67.6,5,37,6.64,4.52,0,0,,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,59,86%,0,0%,0,0%,False,Marcus Mariota,False,10,38
2015.0,2015-10-25,6.0,7.0,,TEN,ATL,L 7-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marcus Mariota,False,7,10
2015.0,2015-11-01,7.0,8.0,,TEN,HOU,L 6-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marcus Mariota,False,6,20
2015.0,2015-11-08,8.0,9.0,22.009,TEN,NOR,W 34-28,True,28,39,71.79,371,4,0,135.7,0,0,9.51,11.56,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,71,100%,0,0%,0,0%,True,Marcus Mariota,True,34,28
2015.0,2015-11-15,9.0,10.0,22.016,TEN,CAR,L 10-27,True,16,24,66.67,185,0,1,72.4,1,7,7.71,5.83,5,24,4.80,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,-10,0,46,100%,0,0%,0,0%,False,Marcus Mariota,False,10,27
2015.0,2015-11-19,10.0,11.0,22.02,TEN,JAX,L 13-19,True,22,35,62.86,231,0,0,82.0,4,19,6.60,6.60,5,29,5.80,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,True,Marcus Mariota,False,13,19
