Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-04,1,1,,NYG,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,7,Mario Manningham
2008,2008-09-14,2,2,,NYG,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,13,Mario Manningham
2008,2008-09-21,3,3,,NYG,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,26,23,Mario Manningham
2008,2008-10-05,4,5,22.133,NYG,SEA,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,44,6,Mario Manningham
2008,2008-10-13,5,6,,NYG,CLE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,35,Mario Manningham
2008,2008-10-19,6,7,22.147,NYG,SFO,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,29,17,Mario Manningham
2008,2008-10-26,7,8,22.154,NYG,PIT,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,21,14,Mario Manningham
2008,2008-11-02,8,9,,NYG,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,14,Mario Manningham
2008,2008-11-09,9,10,,NYG,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,36,31,Mario Manningham
2008,2008-11-16,10,11,,NYG,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,10,Mario Manningham
2008,2008-11-23,11,12,,NYG,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,37,29,Mario Manningham
2008,2008-11-30,12,13,,NYG,WAS,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,23,7,Mario Manningham
2008,2008-12-07,13,14,22.196,NYG,PHI,False,0,0,0,,0,0.0%,,1,-12,-12.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,14,20,Mario Manningham
2008,2008-12-14,14,15,22.203,NYG,DAL,False,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,8,20,Mario Manningham
2008,2008-12-21,15,16,22.210,NYG,CAR,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,34,28,Mario Manningham
2008,2008-12-28,16,17,22.217,NYG,MIN,False,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,19,20,Mario Manningham
2009,2009-09-13,1,1,23.111,NYG,WAS,True,4,3,58,19.33,1,75.0%,14.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,17,Mario Manningham
2009,2009-09-20,2,2,23.118,NYG,DAL,False,13,10,150,15.00,1,76.9%,11.54,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,33,31,Mario Manningham
2009,2009-09-27,3,3,23.125,NYG,TAM,True,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,0,Mario Manningham
2009,2009-10-04,4,4,23.132,NYG,KAN,True,8,1,43,43.00,0,12.5%,5.38,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,16,Mario Manningham
2009,2009-10-11,5,5,23.139,NYG,OAK,True,3,2,36,18.00,1,66.7%,12.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,44,7,Mario Manningham
2009,2009-10-18,6,6,23.146,NYG,NOR,True,9,4,50,12.50,1,44.4%,5.56,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,27,48,Mario Manningham
2009,2009-10-25,7,7,23.153,NYG,ARI,True,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,24,Mario Manningham
