Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,23.003,BAL,,BUF,W 47-3,False,4,3,31,10.33,0,75.0%,7.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,28%,0,0%,2,6%,False,Mark Andrews
2018,2018-09-13,2,2,23.007,BAL,@,CIN,L 23-34,True,4,3,17,5.67,1,75.0%,4.25,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,41%,0,0%,7,23%,True,Mark Andrews
2018,2018-09-23,3,3,23.017,BAL,,DEN,W 27-14,False,3,2,59,29.50,0,66.7%,19.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,38%,0,0%,3,11%,False,Mark Andrews
2018,2018-09-30,4,4,23.024,BAL,@,PIT,W 26-14,False,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,34%,0,0%,4,14%,True,Mark Andrews
2018,2018-10-07,5,5,23.031,BAL,@,CLE,L 9-12,False,3,1,16,16.00,0,33.3%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,38%,0,0%,3,9%,True,Mark Andrews
2018,2018-10-14,6,6,23.038,BAL,@,TEN,W 21-0,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,26%,0,0%,1,5%,True,Mark Andrews
2018,2018-10-21,7,7,23.045,BAL,,NOR,L 23-24,False,1,1,8,8.00,1,100.0%,8.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,5,21%,False,Mark Andrews
2018,2018-10-28,8,8,23.052,BAL,@,CAR,L 21-36,False,5,4,31,7.75,0,80.0%,6.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,32%,0,0%,10,36%,True,Mark Andrews
2018,2018-11-04,9,9,23.059,BAL,,PIT,L 16-23,False,6,3,50,16.67,0,50.0%,8.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,44%,0,0%,9,36%,False,Mark Andrews
2018,2018-11-18,10,11,23.073,BAL,,CIN,W 24-21,True,1,1,19,19.00,0,100.0%,19.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,32%,0,0%,8,30%,False,Mark Andrews
2018,2018-11-25,11,12,23.080,BAL,,OAK,W 34-17,False,1,1,74,74.00,0,100.0%,74.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,4,14%,False,Mark Andrews
2018,2018-12-02,12,13,23.087,BAL,@,ATL,W 26-16,False,3,3,47,15.67,0,100.0%,15.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,40%,0,0%,4,14%,True,Mark Andrews
2018,2018-12-09,13,14,23.094,BAL,@,KAN,L 24-27,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,35%,0,0%,5,17%,True,Mark Andrews
2018,2018-12-16,14,15,23.101,BAL,,TAM,W 20-12,False,4,2,31,15.50,0,50.0%,7.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,38%,0,0%,6,26%,False,Mark Andrews
2018,2018-12-22,15,16,23.107,BAL,@,LAC,W 22-10,False,2,2,83,41.50,1,100.0%,41.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,20,32%,0,0%,5,19%,True,Mark Andrews
2018,2018-12-30,16,17,23.115,BAL,,CLE,W 26-24,False,5,4,54,13.50,0,80.0%,10.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,35%,0,0%,5,16%,False,Mark Andrews
2019,2019-09-08,1,1,24.002,BAL,@,MIA,W 59-10,False,8,8,108,13.50,1,100.0%,13.50,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,41%,0,0%,11,34%,True,Mark Andrews
2019,2019-09-15,2,2,24.009,BAL,,ARI,W 23-17,False,9,8,112,14.00,1,88.9%,12.44,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,42,55%,0,0%,9,32%,False,Mark Andrews
2019,2019-09-22,3,3,24.016,BAL,@,KAN,L 28-33,False,7,3,15,5.00,0,42.9%,2.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,52%,0,0%,0,0%,True,Mark Andrews
2019,2019-09-29,4,4,24.023,BAL,,CLE,L 25-40,False,8,4,31,7.75,1,50.0%,3.88,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,43%,0,0%,3,11%,False,Mark Andrews
2019,2019-10-06,5,5,24.030,BAL,@,PIT,W 26-23,True,7,5,45,9.00,0,71.4%,6.43,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,52%,0,0%,5,17%,True,Mark Andrews
2019,2019-10-13,6,6,24.037,BAL,,CIN,W 23-17,False,8,6,99,16.50,0,75.0%,12.38,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,37,47%,0,0%,5,20%,False,Mark Andrews
2019,2019-10-20,7,7,24.044,BAL,@,SEA,W 30-16,True,8,2,39,19.50,0,25.0%,4.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,57%,0,0%,7,24%,True,Mark Andrews
2019,2019-11-03,8,9,24.058,BAL,,NWE,W 37-20,False,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,34%,0,0%,7,23%,False,Mark Andrews
2019,2019-11-10,9,10,24.065,BAL,@,CIN,W 49-13,True,8,6,53,8.83,2,75.0%,6.63,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,23,50%,0,0%,7,29%,True,Mark Andrews
2019,2019-11-17,10,11,24.072,BAL,,HOU,W 41-7,False,4,4,75,18.75,1,100.0%,18.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,8,33%,False,Mark Andrews
2019,2019-11-25,11,12,24.080,BAL,@,LAR,W 45-6,False,3,2,45,22.50,0,66.7%,15.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,40%,0,0%,6,22%,True,Mark Andrews
2019,2019-12-01,12,13,24.086,BAL,,SFO,W 20-17,False,6,3,50,16.67,1,50.0%,8.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,43%,0,0%,4,20%,False,Mark Andrews
2019,2019-12-08,13,14,24.093,BAL,@,BUF,W 24-17,True,3,1,14,14.00,0,33.3%,4.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,1,3%,True,Mark Andrews
2019,2019-12-12,14,15,24.097,BAL,,NYJ,W 42-21,False,7,4,52,13.00,1,57.1%,7.43,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,37%,0,0%,2,7%,False,Mark Andrews
2019,2019-12-22,15,16,24.107,BAL,@,CLE,W 31-15,False,9,6,93,15.50,2,66.7%,10.33,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,3,13%,True,Mark Andrews
