Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2007.0,2007-09-09,1.0,1.0,21.14,BUF,DEN,L 14-15,True,19,90,4.74,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,14,15
2007.0,2007-09-16,2.0,2.0,21.147,BUF,PIT,L 3-26,True,18,64,3.56,0,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,3,26
2007.0,2007-09-23,3.0,3.0,21.154,BUF,NWE,L 7-38,True,20,74,3.70,1,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,7,38
2007.0,2007-09-30,4.0,4.0,21.161,BUF,NYJ,W 17-14,True,23,79,3.43,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,17,14
2007.0,2007-10-08,5.0,5.0,21.169,BUF,DAL,L 24-25,True,20,66,3.30,0,5,2,32,16.00,0,40.0%,6.40,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,24,25
2007.0,2007-10-21,6.0,7.0,21.182,BUF,BAL,W 19-14,True,27,84,3.11,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,19,14
2007.0,2007-10-28,7.0,8.0,21.189,BUF,NYJ,W 13-3,True,21,80,3.81,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,13,3
2007.0,2007-11-04,8.0,9.0,21.196,BUF,CIN,W 33-21,True,29,153,5.28,1,1,1,7,7.00,0,100.0%,7.00,1,1,100.00,8,1,0,139.6,0,0,8.00,28.00,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,33,21
2007.0,2007-11-11,9.0,10.0,21.203,BUF,MIA,W 13-10,True,19,61,3.21,1,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,,,,1,1,8,0.0,,,,,,1,0,0,0,0,0,,,,,,,True,Marshawn Lynch,True,13,10
2007.0,2007-11-18,10.0,11.0,,BUF,NWE,L 10-56,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marshawn Lynch,False,10,56
2007.0,2007-11-25,11.0,12.0,,BUF,JAX,L 14-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marshawn Lynch,False,14,36
2007.0,2007-12-02,12.0,13.0,,BUF,WAS,W 17-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Marshawn Lynch,True,17,16
2007.0,2007-12-09,13.0,14.0,21.231,BUF,MIA,W 38-17,True,23,107,4.65,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,Marshawn Lynch,True,38,17
2007.0,2007-12-16,14.0,15.0,21.238,BUF,CLE,L 0-8,True,21,82,3.90,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,0,8
2007.0,2007-12-23,15.0,16.0,21.245,BUF,NYG,L 21-38,True,18,70,3.89,1,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,21,38
2007.0,2007-12-30,16.0,17.0,21.252,BUF,PHI,L 9-17,True,22,105,4.77,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,9,17
2008.0,2008-09-07,1.0,1.0,22.138,BUF,SEA,W 34-10,True,18,76,4.22,1,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,34,10
2008.0,2008-09-14,2.0,2.0,22.145,BUF,JAX,W 20-16,True,19,59,3.11,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,20,16
2008.0,2008-09-21,3.0,3.0,22.152,BUF,OAK,W 24-23,True,23,83,3.61,2,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,24,23
2008.0,2008-09-28,4.0,4.0,22.159,BUF,STL,W 31-14,True,19,57,3.00,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,31,14
2008.0,2008-10-05,5.0,5.0,22.166,BUF,ARI,L 17-41,True,12,44,3.67,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,17,41
2008.0,2008-10-19,6.0,7.0,22.18,BUF,SDG,W 23-14,True,19,70,3.68,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,23,14
2008.0,2008-10-26,7.0,8.0,22.187,BUF,MIA,L 16-25,True,13,61,4.69,1,6,5,34,6.80,0,83.3%,5.67,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,16,25
2008.0,2008-11-02,8.0,9.0,22.194,BUF,NYJ,L 17-26,True,9,16,1.78,0,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,Marshawn Lynch,False,17,26
2008.0,2008-11-09,9.0,10.0,22.201,BUF,NWE,L 10-20,True,14,46,3.29,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,10,20
2008.0,2008-11-17,10.0,11.0,22.209,BUF,CLE,L 27-29,True,23,119,5.17,0,11,10,58,5.80,1,90.9%,5.27,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,27,29
2008.0,2008-11-23,11.0,12.0,22.215,BUF,KAN,W 54-31,True,20,79,3.95,1,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,54,31
2008.0,2008-11-30,12.0,13.0,22.222,BUF,SFO,L 3-10,True,16,134,8.38,0,5,1,1,1.00,0,20.0%,0.20,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Marshawn Lynch,False,3,10
2008.0,2008-12-07,13.0,14.0,22.229,BUF,MIA,L 3-16,True,13,31,2.38,0,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,3,16
2008.0,2008-12-14,14.0,15.0,22.236,BUF,NYJ,L 27-31,True,21,127,6.05,0,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,27,31
2008.0,2008-12-21,15.0,16.0,22.243,BUF,DEN,W 30-23,True,11,34,3.09,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,Marshawn Lynch,True,30,23
2008.0,2008-12-28,16.0,17.0,,BUF,NWE,L 0-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Marshawn Lynch,False,0,13
2009.0,2009-09-14,1.0,1.0,,BUF,NWE,L 24-25,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Marshawn Lynch,False,24,25
2009.0,2009-09-20,2.0,2.0,,BUF,TAM,W 33-20,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Marshawn Lynch,True,33,20
2009.0,2009-09-27,3.0,3.0,,BUF,NOR,L 7-27,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Marshawn Lynch,False,7,27
2009.0,2009-10-04,4.0,4.0,23.165,BUF,MIA,L 10-38,False,8,4,0.50,0,6,5,43,8.60,0,83.3%,7.17,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,10,38
2009.0,2009-10-11,5.0,5.0,23.172,BUF,CLE,L 3-6,True,17,69,4.06,0,7,6,56,9.33,0,85.7%,8.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,3,6
2009.0,2009-10-18,6.0,6.0,23.179,BUF,NYJ,W 16-13,True,19,61,3.21,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,16,13
2009.0,2009-10-25,7.0,7.0,23.186,BUF,CAR,W 20-9,True,17,40,2.35,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,True,20,9
2009.0,2009-11-01,8.0,8.0,23.193,BUF,HOU,L 10-31,True,9,43,4.78,0,5,3,6,2.00,0,60.0%,1.20,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,10,31
2009.0,2009-11-15,9.0,10.0,23.207,BUF,TEN,L 17-41,True,9,37,4.11,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Marshawn Lynch,False,17,41
