Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-09-07,1.0,1.0,21.181,DAL,CLE,W 28-10,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Martellus Bennett,True,28,10
2008.0,2008-09-15,2.0,2.0,21.189,DAL,PHI,W 41-37,True,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,41,37
2008.0,2008-09-21,3.0,3.0,21.195,DAL,GNB,W 27-16,False,2,1,37,37.00,0,50.0%,18.50,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Martellus Bennett,True,27,16
2008.0,2008-09-28,4.0,4.0,21.202,DAL,WAS,L 24-26,True,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,False,24,26
2008.0,2008-10-05,5.0,5.0,21.209,DAL,CIN,W 31-22,True,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Martellus Bennett,True,31,22
2008.0,2008-10-12,6.0,6.0,21.216,DAL,ARI,L 24-30,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Martellus Bennett,False,24,30
2008.0,2008-10-19,7.0,7.0,21.223,DAL,STL,L 14-34,False,2,2,67,33.50,1,100.0%,33.50,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Martellus Bennett,False,14,34
2008.0,2008-10-26,8.0,8.0,21.23,DAL,TAM,W 13-9,False,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,13,9
2008.0,2008-11-02,9.0,9.0,21.237,DAL,NYG,L 14-35,False,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Martellus Bennett,False,14,35
2008.0,2008-11-16,10.0,11.0,21.251,DAL,WAS,W 14-10,True,1,1,25,25.00,1,100.0%,25.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Martellus Bennett,True,14,10
2008.0,2008-11-23,11.0,12.0,21.258,DAL,SFO,W 35-22,False,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,35,22
2008.0,2008-11-27,12.0,13.0,21.262,DAL,SEA,W 34-9,False,2,2,35,17.50,1,100.0%,17.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,34,9
2008.0,2008-12-07,13.0,14.0,21.272,DAL,PIT,L 13-20,True,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Martellus Bennett,False,13,20
2008.0,2008-12-14,14.0,15.0,21.279,DAL,NYG,W 20-8,True,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,20,8
2008.0,2008-12-20,15.0,16.0,21.285,DAL,BAL,L 24-33,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Martellus Bennett,False,24,33
2008.0,2008-12-28,16.0,17.0,21.293,DAL,PHI,L 6-44,True,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Martellus Bennett,False,6,44
2009.0,2009-09-13,1.0,1.0,22.187,DAL,TAM,W 34-21,False,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Martellus Bennett,True,34,21
2009.0,2009-09-20,2.0,2.0,22.194,DAL,NYG,L 31-33,False,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,False,31,33
2009.0,2009-09-28,3.0,3.0,22.202,DAL,CAR,W 21-7,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Martellus Bennett,True,21,7
