Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2002,2002-09-05,1,1,27.099,NYG,,SFO,L 13-16,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-09-15,2,2,27.109,NYG,@,STL,W 26-21,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-09-22,3,3,27.116,NYG,,SEA,W 9-6,False,,,,3,3,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-09-29,4,4,27.123,NYG,@,ARI,L 7-21,False,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,Matt Bryant
2002,2002-10-06,5,5,27.130,NYG,@,DAL,W 21-17,False,3,3,100.0,,,,0,3,0.0,1,0,1,0,,0,0,,,,,,,,,True,Matt Bryant
2002,2002-10-13,6,6,27.137,NYG,,ATL,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-10-28,7,8,27.152,NYG,@,PHI,L 3-17,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-11-03,8,9,27.158,NYG,,JAX,W 24-17,False,3,3,100.0,1,3,33.3,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-11-10,9,10,27.165,NYG,@,MIN,W 27-20,False,1,2,50.0,,1,0.0,0,1,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-11-17,10,11,27.172,NYG,,WAS,W 19-17,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-11-24,11,12,27.179,NYG,@,HOU,L 14-16,False,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-12-01,12,13,27.186,NYG,,TEN,L 29-32,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-12-08,13,14,27.193,NYG,@,WAS,W 27-21,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-12-15,14,15,27.200,NYG,,DAL,W 37-7,False,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2002,2002-12-22,15,16,27.207,NYG,@,IND,W 44-27,False,5,6,83.3,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2002,2002-12-28,16,17,27.213,NYG,,PHI,W 10-7,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2003,2003-09-07,1,1,28.101,NYG,,STL,W 23-13,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2003,2003-09-15,2,2,28.109,NYG,,DAL,L 32-35,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2003,2003-09-21,3,3,28.115,NYG,@,WAS,W 24-21,False,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-10-05,4,5,28.129,NYG,,MIA,L 10-23,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2003,2003-10-12,5,6,,NYG,@,NWE,L 6-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Bryant
2003,2003-10-19,6,7,,NYG,,PHI,L 10-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Bryant
2003,2003-10-26,7,8,,NYG,@,MIN,W 29-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Bryant
2003,2003-11-02,8,9,,NYG,@,NYJ,W 31-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Bryant
2003,2003-11-09,9,10,,NYG,,ATL,L 7-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Bryant
2003,2003-11-16,10,11,28.171,NYG,@,PHI,L 10-28,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-11-24,11,12,28.179,NYG,@,TAM,L 13-19,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-11-30,12,13,28.185,NYG,,BUF,L 7-24,False,1,1,100.0,,,,0,1,0.0,1,0,1,0,,0,0,,,,,,,,,False,Matt Bryant
2003,2003-12-07,13,14,28.192,NYG,,WAS,L 7-20,False,1,1,100.0,,1,0.0,0,1,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Matt Bryant
2003,2003-12-14,14,15,28.199,NYG,@,NOR,L 7-45,False,1,1,100.0,,1,0.0,0,1,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-12-21,15,16,28.206,NYG,@,DAL,L 3-19,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-12-28,16,17,28.213,NYG,,CAR,L 24-37,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Matt Bryant
2004,2004-10-10,5,5,29.134,IND,,OAK,W 35-14,False,5,5,100.0,,1,0.0,0,5,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Matt Bryant
2004,2004-10-17,6,6,29.141,MIA,@,BUF,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
