Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-10,1,1,21.171,JAX,DAL,False,2,8,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Maurice Jones-Drew
2006,2006-09-18,2,2,21.179,JAX,PIT,False,2,4,2.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,False,True,9,0,Maurice Jones-Drew
2006,2006-09-24,3,3,21.185,JAX,IND,False,13,103,7.92,0,5,4,32,8.00,1,80.0%,6.40,0,0,,0,0,0,,,,,,4,109,27.25,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,14,21,Maurice Jones-Drew
2006,2006-10-01,4,4,21.192,JAX,WAS,False,3,3,1.00,0,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,,,,,4,103,25.75,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,30,36,Maurice Jones-Drew
2006,2006-10-08,5,5,21.199,JAX,NYJ,False,13,59,4.54,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,True,41,0,Maurice Jones-Drew
2006,2006-10-22,6,7,21.213,JAX,HOU,False,8,10,1.25,1,8,7,58,8.29,0,87.5%,7.25,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,7,27,Maurice Jones-Drew
2006,2006-10-29,7,8,21.220,JAX,PHI,False,21,77,3.67,0,5,3,20,6.67,0,60.0%,4.00,0,0,,0,0,0,,,,,,1,30,30.00,0,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,True,True,13,6,Maurice Jones-Drew
2006,2006-11-05,8,9,21.227,JAX,TEN,False,8,56,7.00,0,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,37,7,Maurice Jones-Drew
2006,2006-11-12,9,10,21.234,JAX,HOU,False,3,11,3.67,1,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,,,,,3,54,18.00,0,0,0,,0,1,6,0,0,0,0,0,0,,,,,,,False,False,10,13,Maurice Jones-Drew
2006,2006-11-20,10,11,21.242,JAX,NYG,False,9,45,5.00,1,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,26,10,Maurice Jones-Drew
2006,2006-11-26,11,12,21.248,JAX,BUF,False,8,78,9.75,1,5,5,47,9.40,0,100.0%,9.40,0,0,,0,0,0,,,,,,3,101,33.67,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,24,27,Maurice Jones-Drew
2006,2006-12-03,12,13,21.255,JAX,MIA,False,5,46,9.20,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,59,29.50,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,24,10,Maurice Jones-Drew
2006,2006-12-10,13,14,21.262,JAX,IND,False,15,166,11.07,2,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,2,109,54.50,1,1,13,13.00,0,3,18,0,,0,0,0,0,,,,,,,False,True,44,17,Maurice Jones-Drew
2006,2006-12-17,14,15,21.269,JAX,TEN,False,25,98,3.92,1,3,3,47,15.67,0,100.0%,15.67,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,17,24,Maurice Jones-Drew
2006,2006-12-24,15,16,21.276,JAX,NWE,True,19,131,6.89,2,9,6,41,6.83,0,66.7%,4.56,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,False,False,21,24,Maurice Jones-Drew
2006,2006-12-31,16,17,21.283,JAX,KAN,False,12,46,3.83,1,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,,,,,5,142,28.40,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,30,35,Maurice Jones-Drew
2007,2007-09-09,1,1,22.170,JAX,TEN,False,7,32,4.57,0,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,,,,,2,71,35.50,0,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,False,10,13,Maurice Jones-Drew
2007,2007-09-16,2,2,22.177,JAX,ATL,False,11,31,2.82,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,13,7,Maurice Jones-Drew
2007,2007-09-23,3,3,22.184,JAX,DEN,False,15,37,2.47,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,3,89,29.67,0,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,True,True,23,14,Maurice Jones-Drew
2007,2007-10-07,4,5,22.198,JAX,KAN,False,9,82,9.11,1,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,17,7,Maurice Jones-Drew
2007,2007-10-14,5,6,22.205,JAX,HOU,False,12,125,10.42,2,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,,,,,4,76,19.00,0,0,0,,0,2,12,0,0,0,0,0,0,,,,,,,False,True,37,17,Maurice Jones-Drew
2007,2007-10-22,6,7,22.213,JAX,IND,False,13,52,4.00,1,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,,,,,4,133,33.25,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,7,29,Maurice Jones-Drew
2007,2007-10-28,7,8,22.219,JAX,TAM,False,10,48,4.80,0,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,24,23,Maurice Jones-Drew
2007,2007-11-04,8,9,22.226,JAX,NOR,False,5,28,5.60,0,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,,,,,3,142,47.33,1,1,0,0.00,0,1,6,0,,0,0,0,0,,,,,,,True,False,24,41,Maurice Jones-Drew
2007,2007-11-11,9,10,22.233,JAX,TEN,False,19,101,5.32,1,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,,,,,2,29,14.50,0,2,28,14.00,0,1,6,0,,0,0,0,0,,,,,,,True,True,28,13,Maurice Jones-Drew
2007,2007-11-18,10,11,22.240,JAX,SDG,False,12,33,2.75,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,,,,,4,71,17.75,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,24,17,Maurice Jones-Drew
2007,2007-11-25,11,12,22.247,JAX,BUF,False,10,10,1.00,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,2,53,26.50,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,36,14,Maurice Jones-Drew
2007,2007-12-02,12,13,22.254,JAX,IND,False,11,52,4.73,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,2,42,21.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,25,28,Maurice Jones-Drew
2007,2007-12-09,13,14,22.261,JAX,CAR,False,11,24,2.18,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,,,,,2,39,19.50,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,37,6,Maurice Jones-Drew
2007,2007-12-16,14,15,22.268,JAX,PIT,False,12,69,5.75,0,6,5,30,6.00,0,83.3%,5.00,0,0,,0,0,0,,,,,,2,37,18.50,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,29,22,Maurice Jones-Drew
2007,2007-12-23,15,16,22.275,JAX,OAK,False,10,44,4.40,1,7,6,96,16.00,0,85.7%,13.71,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,49,11,Maurice Jones-Drew
2007,2007-12-30,16,17,,JAX,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,28,42,Maurice Jones-Drew
2008,2008-09-07,1,1,23.168,JAX,TEN,False,5,13,2.60,0,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,17,Maurice Jones-Drew
2008,2008-09-14,2,2,23.175,JAX,BUF,False,7,17,2.43,1,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,,,,,0,0,,0,1,15,15.00,0,1,6,0,,0,0,0,0,,,,,,,False,False,16,20,Maurice Jones-Drew
2008,2008-09-21,3,3,23.182,JAX,IND,False,19,107,5.63,1,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,23,21,Maurice Jones-Drew
2008,2008-09-28,4,4,23.189,JAX,HOU,False,7,32,4.57,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,27,Maurice Jones-Drew
2008,2008-10-05,5,5,23.196,JAX,PIT,False,5,7,1.40,1,6,6,23,3.83,0,100.0%,3.83,0,0,,0,0,0,,,,,,1,12,12.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,21,26,Maurice Jones-Drew
