Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,21.180,KAN,@,JAX,W 40-26,False,1,0,0,,0,0.0%,0.00,0,0,,0,2,45,22.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,7,23%,True,Mecole Hardman
2019,2019-09-15,2,2,21.187,KAN,@,OAK,W 28-10,True,6,4,61,15.25,1,66.7%,10.17,0,0,,0,1,18,18.00,0,1,20,20.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,73%,0,0%,3,12%,True,Mecole Hardman
2019,2019-09-22,3,3,21.194,KAN,,BAL,W 33-28,False,5,2,97,48.50,1,40.0%,19.40,1,7,7.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,43,63%,0,0%,2,7%,False,Mecole Hardman
2019,2019-09-29,4,4,21.201,KAN,@,DET,W 34-30,True,5,2,9,4.50,0,40.0%,1.80,0,0,,0,1,29,29.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,43,63%,0,0%,3,9%,True,Mecole Hardman
2019,2019-10-06,5,5,21.208,KAN,,IND,L 13-19,False,6,4,79,19.75,0,66.7%,13.17,1,-6,-6.00,0,1,22,22.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,61%,0,0%,7,28%,False,Mecole Hardman
2019,2019-10-13,6,6,21.215,KAN,,HOU,L 24-31,False,4,4,45,11.25,0,100.0%,11.25,0,0,,0,2,41,20.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,53%,0,0%,2,9%,False,Mecole Hardman
2019,2019-10-17,7,7,21.219,KAN,@,DEN,W 30-6,True,3,2,28,14.00,1,66.7%,9.33,0,0,,0,0,0,,0,1,36,36.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,3,10%,True,Mecole Hardman
2019,2019-10-27,8,8,21.229,KAN,,GNB,L 24-31,False,2,2,55,27.50,1,100.0%,27.50,0,0,,0,3,68,22.67,0,1,18,18.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,13,48%,False,Mecole Hardman
2019,2019-11-03,9,9,21.236,KAN,,MIN,W 26-23,True,0,0,0,,0,0.0%,,1,7,7.00,0,4,101,25.25,0,2,17,8.50,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,11,19%,0,0%,15,44%,False,Mecole Hardman
2019,2019-11-10,10,10,21.243,KAN,@,TEN,L 32-35,False,1,1,63,63.00,1,100.0%,63.00,0,0,,0,4,90,22.50,0,1,5,5.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,18,22%,0,0%,14,44%,True,Mecole Hardman
2019,2019-11-18,11,11,21.251,KAN,@,LAC,W 24-17,False,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,2,22,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,12,44%,True,Mecole Hardman
2019,2019-12-01,12,13,21.264,KAN,,OAK,W 40-9,False,0,0,0,,0,0.0%,,1,9,9.00,0,1,23,23.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,38%,0,0%,8,35%,False,Mecole Hardman
