Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-09-09,1.0,1.0,22.287,ARI,SEA,W 20-16,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,17,27%,0,0%,0,0%,False,Michael Floyd,True,20,16
2012.0,2012-09-16,2.0,2.0,22.294,ARI,NWE,W 20-18,False,,,,,,0.0%,,,,,,,0,0,0,,,0,0,0,5,8%,0,0%,0,0%,True,Michael Floyd,True,20,18
2012.0,2012-09-23,3.0,3.0,22.301,ARI,PHI,W 27-6,False,2,1,8,8.00,1,50.0%,4.00,0,0,,0,,1,6,0,0,0,0,0,0,35,56%,0,0%,0,0%,False,Michael Floyd,True,27,6
2012.0,2012-09-30,4.0,4.0,22.308,ARI,MIA,W 24-21,False,8,4,35,8.75,0,50.0%,4.38,0,0,,0,,0,0,0,0,0,0,0,0,31,43%,0,0%,0,0%,False,Michael Floyd,True,24,21
2012.0,2012-10-04,5.0,5.0,22.312,ARI,STL,L 3-17,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,,0,0,0,0,0,0,0,0,32,40%,0,0%,0,0%,True,Michael Floyd,False,3,17
2012.0,2012-10-14,6.0,6.0,22.322,ARI,BUF,L 16-19,False,3,1,24,24.00,0,33.3%,8.00,0,0,,0,,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,False,Michael Floyd,False,16,19
2012.0,2012-10-21,7.0,7.0,22.329,ARI,MIN,L 14-21,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,28,39%,0,0%,0,0%,True,Michael Floyd,False,14,21
2012.0,2012-10-29,8.0,8.0,22.337,ARI,SFO,L 3-24,False,11,5,36,7.20,0,45.5%,3.27,0,0,,0,,0,0,0,0,0,0,0,0,43,63%,0,0%,0,0%,False,Michael Floyd,False,3,24
2012.0,2012-11-04,9.0,9.0,22.343,ARI,GNB,L 17-31,False,7,5,80,16.00,0,71.4%,11.43,0,0,,0,,0,0,0,0,0,0,0,0,39,59%,0,0%,0,0%,True,Michael Floyd,False,17,31
2012.0,2012-11-18,10.0,11.0,22.357,ARI,ATL,L 19-23,False,4,2,18,9.00,0,50.0%,4.50,0,0,,0,,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,True,Michael Floyd,False,19,23
2012.0,2012-11-25,11.0,12.0,22.364,ARI,STL,L 17-31,False,4,4,35,8.75,0,100.0%,8.75,0,0,,0,,0,0,0,0,0,0,0,0,53,67%,0,0%,6,19%,False,Michael Floyd,False,17,31
2012.0,2012-12-02,12.0,13.0,23.005,ARI,NYJ,L 6-7,True,10,2,22,11.00,0,20.0%,2.20,0,0,,0,,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,True,Michael Floyd,False,6,7
