Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.341,MIA,TEN,W 27-20,True,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,34%,0,0%,0,0%,False,Mike Gesicki,True,27,20
2018.0,2018-09-16,2.0,2.0,22.348,MIA,NYJ,W 20-12,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,55%,0,0%,0,0%,True,Mike Gesicki,True,20,12
2018.0,2018-09-23,3.0,3.0,22.355,MIA,OAK,W 28-20,False,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,64%,0,0%,2,7%,False,Mike Gesicki,True,28,20
2018.0,2018-09-30,4.0,4.0,22.362,MIA,NWE,L 7-38,False,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,84%,0,0%,0,0%,True,Mike Gesicki,False,7,38
2018.0,2018-10-07,5.0,5.0,23.004,MIA,CIN,L 17-27,True,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,47%,0,0%,0,0%,True,Mike Gesicki,False,17,27
2018.0,2018-10-14,6.0,6.0,23.011,MIA,CHI,W 31-28,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,35%,0,0%,0,0%,False,Mike Gesicki,True,31,28
2018.0,2018-10-21,7.0,7.0,23.018,MIA,DET,L 21-32,False,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,29%,0,0%,0,0%,False,Mike Gesicki,False,21,32
2018.0,2018-10-25,8.0,8.0,23.022,MIA,HOU,L 23-42,True,5,4,14,3.50,0,80.0%,2.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,0,0%,True,Mike Gesicki,False,23,42
2018.0,2018-11-04,9.0,9.0,23.032,MIA,NYJ,W 13-6,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,47%,0,0%,0,0%,False,Mike Gesicki,True,13,6
2018.0,2018-11-11,10.0,10.0,23.039,MIA,GNB,L 12-31,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,29%,0,0%,0,0%,True,Mike Gesicki,False,12,31
