Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,22.113,CAR,PHI,False,2,1,0.50,0,0,0,0,,0,0.0%,,5,120,24.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,10,38,Mike Goodson
2009,2009-09-20,2,2,22.120,CAR,ATL,False,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,20,28,Mike Goodson
2009,2009-09-28,3,3,22.128,CAR,DAL,False,0,0,,0,0,0,0,,0,0.0%,,2,31,15.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,21,Mike Goodson
2009,2009-10-11,4,5,,CAR,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,17,Mike Goodson
2009,2009-10-18,5,6,,CAR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,21,Mike Goodson
2009,2009-10-25,6,7,22.155,CAR,BUF,False,2,2,1.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,9,20,Mike Goodson
2009,2009-11-01,7,8,22.162,CAR,ARI,False,0,0,,0,0,0,0,,0,0.0%,,3,54,18.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,21,Mike Goodson
2009,2009-11-08,8,9,22.169,CAR,NOR,False,0,0,,0,1,1,2,2.00,0,100.0%,2.00,3,69,23.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,30,Mike Goodson
2009,2009-11-15,9,10,,CAR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,28,19,Mike Goodson
2009,2009-11-19,10,11,,CAR,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Mike Goodson
