Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2005.0,2005-09-11,1.0,1.0,23.193,NYJ,KAN,L 7-27,False,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,7,27
2005.0,2005-09-18,2.0,2.0,23.2,NYJ,MIA,W 17-7,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,True,17,7
2005.0,2005-09-25,3.0,3.0,23.207,NYJ,JAX,L 20-26,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,20,26
2005.0,2005-10-02,4.0,4.0,23.214,NYJ,BAL,L 3-13,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,3,13
2005.0,2005-10-09,5.0,5.0,23.221,NYJ,TAM,W 14-12,False,2,2,100.0,,2,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,True,14,12
2005.0,2005-10-16,6.0,6.0,23.228,NYJ,BUF,L 17-27,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,17,27
2005.0,2005-10-24,7.0,7.0,23.236,NYJ,ATL,L 14-27,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,Mike Nugent,False,14,27
2005.0,2005-11-06,8.0,9.0,23.249,NYJ,SDG,L 26-31,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,26,31
2005.0,2005-11-13,9.0,10.0,23.256,NYJ,CAR,L 3-30,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,3,30
2005.0,2005-11-20,10.0,11.0,23.263,NYJ,DEN,L 0-27,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,Mike Nugent,False,0,27
2005.0,2005-11-27,11.0,12.0,23.27,NYJ,NOR,L 19-21,False,1,1,100.0,4,5,80.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,False,19,21
2005.0,2005-12-04,12.0,13.0,23.277,NYJ,NWE,L 3-16,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,Mike Nugent,False,3,16
2005.0,2005-12-11,13.0,14.0,23.284,NYJ,OAK,W 26-10,False,2,2,100.0,4,4,100.0,0,14,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,Mike Nugent,True,26,10
