Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,,JAX,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,12,14,Mike Thomas
2009,2009-09-20,2,2,,JAX,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,31,Mike Thomas
2009,2009-09-27,3,3,22.115,JAX,HOU,False,1,1,10,10.00,0,100.0%,10.00,3,36,12.00,0,2,36,18.00,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,True,True,31,24,Mike Thomas
2009,2009-10-04,4,4,22.122,JAX,TEN,True,5,5,31,6.20,0,100.0%,6.20,3,9,3.00,0,2,75,37.50,0,3,38,12.67,0,0,0,0,,0,0,0,0,,,,,,,False,True,37,17,Mike Thomas
2009,2009-10-11,5,5,22.129,JAX,SEA,True,2,1,28,28.00,0,50.0%,14.00,0,0,,0,3,56,18.67,0,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,,,,,True,False,0,41,Mike Thomas
2009,2009-10-18,6,6,22.136,JAX,STL,True,9,7,52,7.43,0,77.8%,5.78,0,0,,0,1,21,21.00,0,2,8,4.00,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Mike Thomas
2009,2009-11-01,7,8,22.150,JAX,TEN,False,6,4,55,13.75,0,66.7%,9.17,1,7,7.00,0,5,146,29.20,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,30,Mike Thomas
2009,2009-11-08,8,9,22.157,JAX,KAN,False,1,1,-2,-2.00,0,100.0%,-2.00,1,18,18.00,0,2,35,17.50,0,1,44,44.00,0,0,0,0,0,0,0,0,0,,,,,,,False,True,24,21,Mike Thomas
2009,2009-11-15,9,10,22.164,JAX,NYJ,False,4,4,46,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,24,22,Mike Thomas
2009,2009-11-22,10,11,22.171,JAX,BUF,False,3,2,3,1.50,0,66.7%,1.00,1,12,12.00,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,18,15,Mike Thomas
2009,2009-11-29,11,12,22.178,JAX,SFO,False,4,4,62,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,20,Mike Thomas
2009,2009-12-06,12,13,22.185,JAX,HOU,False,3,3,21,7.00,0,100.0%,7.00,2,4,2.00,0,3,59,19.67,0,2,12,6.00,0,0,0,1,1,0,0,0,0,,,,,,,False,True,23,18,Mike Thomas
2009,2009-12-13,13,14,22.192,JAX,MIA,False,4,1,5,5.00,0,25.0%,1.25,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,14,Mike Thomas
2009,2009-12-17,14,15,22.196,JAX,IND,False,4,2,20,10.00,1,50.0%,5.00,0,0,,0,2,82,41.00,0,2,17,8.50,0,1,6,0,,0,0,0,0,,,,,,,False,False,31,35,Mike Thomas
2009,2009-12-27,15,16,22.206,JAX,NWE,False,6,6,57,9.50,0,100.0%,9.50,1,0,0.00,0,3,76,25.33,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,35,Mike Thomas
2009,2010-01-03,16,17,22.213,JAX,CLE,True,10,7,65,9.29,0,70.0%,6.50,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,True,False,17,23,Mike Thomas
2010,2010-09-12,1,1,23.100,JAX,DEN,True,7,6,89,14.83,0,85.7%,12.71,0,0,,0,0,0,,0,3,26,8.67,0,0,0,0,0,0,0,0,0,,,,,,,False,True,24,17,Mike Thomas
2010,2010-09-19,2,2,23.107,JAX,SDG,True,8,4,43,10.75,0,50.0%,5.38,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,False,13,38,Mike Thomas
2010,2010-09-26,3,3,23.114,JAX,PHI,True,6,2,7,3.50,0,33.3%,1.17,0,0,,0,0,0,,0,5,62,12.40,0,0,0,0,0,0,0,0,0,,,,,,,False,False,3,28,Mike Thomas
2010,2010-10-03,4,4,23.121,JAX,IND,False,7,5,68,13.60,0,71.4%,9.71,1,19,19.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,False,True,31,28,Mike Thomas
2010,2010-10-10,5,5,23.128,JAX,BUF,True,4,4,51,12.75,0,100.0%,12.75,3,53,17.67,0,0,0,,0,3,19,6.33,0,0,0,1,0,0,0,0,0,,,,,,,True,True,36,26,Mike Thomas
2010,2010-10-18,6,6,23.136,JAX,TEN,True,9,8,88,11.00,0,88.9%,9.78,0,0,,0,0,0,,0,2,-2,-1.00,0,0,0,0,0,0,0,0,0,,,,,,,False,False,3,30,Mike Thomas
2010,2010-10-24,7,7,23.142,JAX,KAN,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,49,49.00,0,0,0,1,0,0,1,0,0,,,,,,,True,False,20,42,Mike Thomas
2010,2010-10-31,8,8,23.149,JAX,DAL,True,4,4,41,10.25,1,100.0%,10.25,1,9,9.00,0,0,0,,0,1,16,16.00,0,1,6,0,0,0,0,0,0,,,,,,,True,True,35,17,Mike Thomas
2010,2010-11-14,9,10,23.163,JAX,HOU,False,9,8,149,18.63,1,88.9%,16.56,2,18,9.00,0,0,0,,0,1,1,1.00,0,1,6,0,0,0,0,0,0,,,,,,,False,True,31,24,Mike Thomas
2010,2010-11-21,10,11,23.170,JAX,CLE,True,10,5,36,7.20,1,50.0%,3.60,0,0,,0,0,0,,0,4,33,8.25,0,1,6,0,0,0,0,0,0,,,,,,,False,True,24,20,Mike Thomas
2010,2010-11-28,11,12,23.177,JAX,NYG,True,9,6,46,7.67,0,66.7%,5.11,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0,0,0,0,0,0,,,,,,,True,False,20,24,Mike Thomas
2010,2010-12-05,12,13,23.184,JAX,TEN,True,5,4,31,7.75,0,80.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,True,True,17,6,Mike Thomas
2010,2010-12-12,13,14,23.191,JAX,OAK,True,3,0,0,,0,0.0%,0.00,1,-8,-8.00,0,0,0,,0,2,11,5.50,0,0,0,0,0,0,0,0,0,,,,,,,False,True,38,31,Mike Thomas
2010,2010-12-19,14,15,23.198,JAX,IND,False,6,3,63,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,4,99,24.75,1,1,6,1,0,0,0,0,0,,,,,,,True,False,24,34,Mike Thomas
2010,2010-12-26,15,16,23.205,JAX,WAS,True,9,6,96,16.00,1,66.7%,10.67,1,4,4.00,0,0,0,,0,5,38,7.60,0,1,6,0,0,0,0,0,0,,,,,,,False,False,17,20,Mike Thomas
2010,2011-01-02,16,17,23.212,JAX,HOU,False,5,1,12,12.00,0,20.0%,2.40,2,20,10.00,0,0,0,,0,1,3,3.00,0,0,0,0,0,0,0,0,0,,,,,,,True,False,17,34,Mike Thomas
2011,2011-09-11,1,1,24.099,JAX,TEN,True,11,8,55,6.88,0,72.7%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,16,14,Mike Thomas
2011,2011-09-18,2,2,24.106,JAX,NYJ,True,10,3,29,9.67,0,30.0%,2.90,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,32,Mike Thomas
2011,2011-09-25,3,3,24.113,JAX,CAR,True,8,4,55,13.75,1,50.0%,6.88,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,10,16,Mike Thomas
2011,2011-10-02,4,4,24.120,JAX,NOR,True,11,5,73,14.60,0,45.5%,6.64,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,23,Mike Thomas
2011,2011-10-09,5,5,24.127,JAX,CIN,True,7,3,53,17.67,0,42.9%,7.57,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,,,,,,,False,False,20,30,Mike Thomas
2011,2011-10-16,6,6,24.134,JAX,PIT,True,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,17,Mike Thomas
2011,2011-10-24,7,7,24.142,JAX,BAL,False,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,6,37,6.17,0,0,0,0,,0,0,0,0,,,,,,,False,True,12,7,Mike Thomas
2011,2011-10-30,8,8,24.148,JAX,HOU,True,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,24,Mike Thomas
2011,2011-11-13,9,10,24.162,JAX,IND,True,1,1,1,1.00,0,100.0%,1.00,1,12,12.00,0,0,0,,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,True,True,17,3,Mike Thomas
2011,2011-11-20,10,11,24.169,JAX,CLE,True,11,3,23,7.67,0,27.3%,2.09,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,14,Mike Thomas
2011,2011-11-27,11,12,24.176,JAX,HOU,True,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,0,4,4,1.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,20,Mike Thomas
2011,2011-12-05,12,13,24.184,JAX,SDG,True,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,3,11,3.67,0,0,0,0,,0,0,0,0,,,,,,,False,False,14,38,Mike Thomas
2011,2011-12-11,13,14,24.190,JAX,TAM,True,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,41,14,Mike Thomas
2011,2011-12-15,14,15,,JAX,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,41,Mike Thomas
2011,2011-12-24,15,16,24.203,JAX,TEN,True,6,3,26,8.67,0,50.0%,4.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,23,Mike Thomas
2011,2012-01-01,16,17,24.211,JAX,IND,False,3,1,-2,-2.00,0,33.3%,-0.67,1,3,3.00,0,0,0,,0,2,13,6.50,0,0,0,0,,0,0,0,0,,,,,,,False,True,19,13,Mike Thomas
2012,2012-09-09,1,1,25.097,JAX,MIN,False,1,0,0,,0,0.0%,0.00,1,-1,-1.00,0,0,0,,0,2,16,8.00,0,0,0,1,0,0,0,0,0,42,53%,0,0%,3,9%,True,False,23,26,Mike Thomas
