Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-11,1,1,,LAC,@,DEN,L 21-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mike Williams
2017,2017-09-17,2,2,,LAC,,MIA,L 17-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mike Williams
2017,2017-09-24,3,3,,LAC,,KAN,L 10-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mike Williams
2017,2017-10-01,4,4,,LAC,,PHI,L 24-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mike Williams
2017,2017-10-08,5,5,,LAC,@,NYG,W 27-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mike Williams
2017,2017-10-15,6,6,23.011,LAC,@,OAK,W 17-16,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,11,17%,0,0%,0,0%,True,Mike Williams
2017,2017-10-22,7,7,23.018,LAC,,DEN,W 21-0,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,14,24%,0,0%,0,0%,False,Mike Williams
2017,2017-10-29,8,8,23.025,LAC,@,NWE,L 13-21,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,39%,0,0%,0,0%,True,Mike Williams
2017,2017-11-12,9,10,23.039,LAC,@,JAX,L 17-20,False,2,2,24,12.00,0,100.0%,12.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,27,39%,0,0%,0,0%,True,Mike Williams
2017,2017-11-19,10,11,23.046,LAC,,BUF,W 54-24,False,8,5,38,7.60,0,62.5%,4.75,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,41,55%,0,0%,0,0%,False,Mike Williams
