Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,27.189,SFO,@,TAM,W 31-17,False,,,,,,,0,0,0.0,0,0,0,0,0,2,91,45.50,0,0,0%,0,0%,15,60%,True,Mitch Wishnowsky
2019,2019-09-15,2,2,27.196,SFO,@,CIN,W 41-17,False,,,,,,,0,0,0.0,0,0,0,0,0,2,75,37.50,0,0,0%,0,0%,17,55%,True,Mitch Wishnowsky
2019,2019-09-22,3,3,27.203,SFO,,PIT,W 24-20,False,,,,,,,0,0,0.0,0,0,0,0,0,3,150,50.00,0,0,0%,0,0%,12,44%,False,Mitch Wishnowsky
2019,2019-10-07,4,5,27.218,SFO,,CLE,W 31-3,False,,,,,,,0,0,0.0,0,0,0,0,0,4,176,44.00,0,1,1%,0,0%,18,64%,False,Mitch Wishnowsky
2019,2019-10-13,5,6,27.224,SFO,@,LAR,W 20-7,False,,,,,,,0,0,0.0,0,0,0,0,0,4,159,39.75,0,0,0%,0,0%,17,65%,True,Mitch Wishnowsky
2019,2019-10-20,6,7,27.231,SFO,@,WAS,W 9-0,False,,,,,,,0,0,0.0,0,0,0,0,0,2,94,47.00,0,0,0%,0,0%,10,63%,True,Mitch Wishnowsky
2019,2019-10-27,7,8,27.238,SFO,,CAR,W 51-13,False,,,,,,,0,0,0.0,0,0,0,0,0,3,121,40.33,0,1,2%,0,0%,20,65%,False,Mitch Wishnowsky
2019,2019-10-31,8,9,27.242,SFO,@,ARI,W 28-25,False,,,,,,,0,0,0.0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,13,50%,True,Mitch Wishnowsky
2019,2019-11-11,9,10,27.253,SFO,,SEA,L 24-27,False,,,,,,,0,0,0.0,0,0,0,0,0,5,232,46.40,0,0,0%,0,0%,16,46%,False,Mitch Wishnowsky
2019,2019-11-17,10,11,27.259,SFO,,ARI,W 36-26,False,,,,,,,0,0,0.0,0,0,0,0,0,2,101,50.50,0,0,0%,0,0%,11,42%,False,Mitch Wishnowsky
2019,2019-11-24,11,12,27.266,SFO,,GNB,W 37-8,False,,,,,,,0,0,0.0,0,0,0,0,0,4,182,45.50,0,0,0%,0,0%,18,69%,False,Mitch Wishnowsky
2019,2019-12-01,12,13,27.273,SFO,@,BAL,L 17-20,False,,,,,,,0,0,0.0,0,0,0,0,0,2,90,45.00,0,0,0%,0,0%,10,50%,True,Mitch Wishnowsky
2019,2019-12-08,13,14,27.280,SFO,@,NOR,W 48-46,False,,,,,,,0,0,0.0,0,0,0,0,0,3,134,44.67,0,0,0%,0,0%,20,54%,True,Mitch Wishnowsky
2019,2019-12-15,14,15,27.287,SFO,,ATL,L 22-29,False,,,,,,,0,0,0.0,0,0,0,0,0,4,184,46.00,0,0,0%,0,0%,15,50%,False,Mitch Wishnowsky
2019,2019-12-21,15,16,27.293,SFO,,LAR,W 34-31,False,,,,,,,0,0,0.0,0,0,0,0,0,5,219,43.80,0,0,0%,0,0%,18,49%,False,Mitch Wishnowsky
2019,2019-12-29,16,17,27.301,SFO,@,SEA,W 26-21,False,,,,,,,0,0,0.0,0,0,0,0,0,2,94,47.00,0,0,0%,0,0%,13,57%,True,Mitch Wishnowsky
2020,2020-09-13,1,1,28.194,SFO,,ARI,L 20-24,False,,,,,,,0,0,0.0,1,0,1,0,0,4,178,44.50,1,0,0%,0,0%,14,50%,False,Mitch Wishnowsky
2020,2020-09-20,2,2,28.201,SFO,@,NYJ,W 31-13,False,,,,,,,0,0,0.0,1,0,1,0,0,4,199,49.75,0,0,0%,0,0%,15,56%,True,Mitch Wishnowsky
2020,2020-09-27,3,3,28.208,SFO,@,NYG,W 36-9,False,,,,,,,0,0,0.0,0,0,0,0,0,0,0,,0,2,3%,0,0%,14,61%,True,Mitch Wishnowsky
2020,2020-10-04,4,4,28.215,SFO,,PHI,L 20-25,False,,,,,,,0,0,0.0,0,0,0,0,0,4,177,44.25,0,0,0%,0,0%,9,38%,False,Mitch Wishnowsky
2020,2020-10-11,5,5,28.222,SFO,,MIA,L 17-43,False,,,,,,,0,0,0.0,0,0,0,0,0,3,133,44.33,0,0,0%,0,0%,11,34%,False,Mitch Wishnowsky
2020,2020-10-18,6,6,28.229,SFO,,LAR,W 24-16,False,,,,,,,0,0,0.0,1,0,1,0,0,5,235,47.00,0,0,0%,0,0%,14,52%,False,Mitch Wishnowsky
2020,2020-10-25,7,7,28.236,SFO,@,NWE,W 33-6,False,,,,,,,0,0,0.0,0,0,0,0,0,1,45,45.00,0,0,0%,0,0%,7,33%,True,Mitch Wishnowsky
2020,2020-11-01,8,8,28.243,SFO,@,SEA,L 27-37,False,,,,,,,0,0,0.0,0,0,0,0,0,4,202,50.50,0,0,0%,0,0%,11,38%,True,Mitch Wishnowsky
2020,2020-11-05,9,9,28.247,SFO,,GNB,L 17-34,False,,,,,,,0,0,0.0,0,0,0,0,0,4,219,54.75,0,0,0%,0,0%,10,37%,False,Mitch Wishnowsky
2020,2020-11-15,10,10,28.257,SFO,@,NOR,L 13-27,False,,,,,,,0,0,0.0,0,0,0,0,0,5,239,47.80,0,0,0%,0,0%,12,43%,True,Mitch Wishnowsky
2020,2020-11-29,11,12,28.271,SFO,@,LAR,W 23-20,False,,,,,,,0,0,0.0,0,0,0,0,0,7,357,51.00,0,0,0%,0,0%,19,54%,True,Mitch Wishnowsky
2020,2020-12-07,12,13,28.279,SFO,,BUF,L 24-34,False,,,,,,,0,0,0.0,0,0,0,0,0,2,90,45.00,0,0,0%,0,0%,10,42%,False,Mitch Wishnowsky
2020,2020-12-13,13,14,28.285,SFO,,WAS,L 15-23,False,,,,,,,0,0,0.0,0,0,0,0,0,9,411,45.67,0,0,0%,0,0%,13,39%,False,Mitch Wishnowsky
2020,2020-12-20,14,15,28.292,SFO,@,DAL,L 33-41,False,,,,,,,0,0,0.0,0,1,1,0,0,4,186,46.50,0,0,0%,0,0%,14,37%,True,Mitch Wishnowsky
2020,2020-12-26,15,16,28.298,SFO,@,ARI,W 20-12,False,,,,,,,0,0,0.0,0,0,0,0,0,5,195,39.00,0,0,0%,0,0%,14,58%,True,Mitch Wishnowsky
2020,2021-01-03,16,17,28.306,SFO,,SEA,L 23-26,False,,,,,,,0,0,0.0,0,0,0,0,0,5,227,45.40,0,0,0%,0,0%,15,47%,False,Mitch Wishnowsky
2021,2021-09-12,1,1,29.193,SFO,@,DET,W 41-33,False,,,,,,,0,0,0.0,0,0,0,0,0,2,76,38.00,0,0,0%,0,0%,12,39%,True,Mitch Wishnowsky
2021,2021-09-19,2,2,29.200,SFO,@,PHI,W 17-11,False,,,,,,,0,0,0.0,0,0,0,0,0,5,226,45.20,0,0,0%,0,0%,12,57%,True,Mitch Wishnowsky
2021,2021-09-26,3,3,29.207,SFO,,GNB,L 28-30,False,,,,,,,0,0,0.0,0,0,0,0,0,4,213,53.25,0,0,0%,0,0%,12,44%,False,Mitch Wishnowsky
2021,2021-10-03,4,4,29.214,SFO,,SEA,L 21-28,False,1,2,50.0,,1,0.0,0,1,0.0,1,0,1,0,0,6,262,43.67,0,0,0%,0,0%,13,42%,False,Mitch Wishnowsky
2021,2021-10-10,5,5,29.221,SFO,@,ARI,L 10-17,False,,,,,,,0,0,0.0,0,0,0,0,0,2,97,48.50,0,0,0%,0,0%,4,21%,True,Mitch Wishnowsky
2021,2021-10-24,6,7,29.235,SFO,,IND,L 18-30,False,,,,,,,0,0,0.0,0,0,0,0,0,4,193,48.25,0,0,0%,0,0%,7,25%,False,Mitch Wishnowsky
