Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-09-12,1,1,22.170,SDG,HOU,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,True,True,27,20,Nate Kaeding
2004,2004-09-19,2,2,22.177,SDG,NYJ,False,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,,,,,,,False,False,28,34,Nate Kaeding
2004,2004-09-26,3,3,22.184,SDG,DEN,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,False,13,23,Nate Kaeding
2004,2004-10-03,4,4,22.191,SDG,TEN,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,True,38,17,Nate Kaeding
2004,2004-10-10,5,5,22.198,SDG,JAX,False,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,34,21,Nate Kaeding
2004,2004-10-17,6,6,22.205,SDG,ATL,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,False,20,21,Nate Kaeding
2004,2004-10-24,7,7,22.212,SDG,CAR,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,17,6,Nate Kaeding
2004,2004-10-31,8,8,22.219,SDG,OAK,False,6,6,100.0,,,,0,6,0.0,,,,,,0,0,,,,,,,,,False,True,42,14,Nate Kaeding
2004,2004-11-07,9,9,22.226,SDG,NOR,False,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,True,43,17,Nate Kaeding
2004,2004-11-21,10,11,22.240,SDG,OAK,False,2,3,66.7,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,23,17,Nate Kaeding
2004,2004-11-28,11,12,22.247,SDG,KAN,False,4,4,100.0,2,4,50.0,0,10,0.0,,,,,,0,0,,0,,,,,,,True,True,34,31,Nate Kaeding
2004,2004-12-05,12,13,22.254,SDG,DEN,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,True,20,17,Nate Kaeding
2004,2004-12-12,13,14,22.261,SDG,TAM,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,True,31,24,Nate Kaeding
2004,2004-12-19,14,15,22.268,SDG,CLE,False,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,True,True,21,0,Nate Kaeding
2004,2004-12-26,15,16,22.275,SDG,IND,False,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,,0,0,,0,,,,,,,True,False,31,34,Nate Kaeding
2004,2005-01-02,16,17,22.282,SDG,KAN,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,,0,0,,0,,,,,,,False,True,24,17,Nate Kaeding
2005,2005-09-11,1,1,23.169,SDG,DAL,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,False,24,28,Nate Kaeding
2005,2005-09-18,2,2,23.176,SDG,DEN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,False,17,20,Nate Kaeding
2005,2005-09-25,3,3,23.183,SDG,NYG,False,6,6,100.0,1,1,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,True,45,23,Nate Kaeding
2005,2005-10-02,4,4,23.190,SDG,NWE,False,5,5,100.0,2,2,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,True,41,17,Nate Kaeding
2005,2005-10-10,5,5,23.198,SDG,PIT,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,False,22,24,Nate Kaeding
