Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,21.301,IND,,CIN,L 23-34,False,5,19,3.80,0,9,7,33,4.71,0,77.8%,3.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,45%,0,0%,0,0%,False,Nyheim Hines
2018,2018-09-16,2,2,21.308,IND,@,WAS,W 21-9,False,4,7,1.75,1,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,41%,0,0%,0,0%,True,Nyheim Hines
2018,2018-09-23,3,3,21.315,IND,@,PHI,L 16-20,False,5,18,3.60,0,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,73%,0,0%,0,0%,True,Nyheim Hines
2018,2018-09-30,4,4,21.322,IND,,HOU,L 34-37,True,4,10,2.50,0,11,9,63,7.00,2,81.8%,5.73,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,62,68%,0,0%,0,0%,False,Nyheim Hines
2018,2018-10-04,5,5,21.326,IND,@,NWE,L 24-38,True,15,45,3.00,0,9,7,45,6.43,0,77.8%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,67%,0,0%,0,0%,True,Nyheim Hines
2018,2018-10-14,6,6,21.336,IND,@,NYJ,L 34-42,False,3,14,4.67,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,43%,0,0%,4,11%,True,Nyheim Hines
2018,2018-10-21,7,7,21.343,IND,,BUF,W 37-5,False,5,47,9.40,0,2,1,-5,-5.00,0,50.0%,-2.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,26%,0,0%,4,17%,False,Nyheim Hines
2018,2018-10-28,8,8,21.350,IND,@,OAK,W 42-28,False,11,78,7.09,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,36%,0,0%,0,0%,True,Nyheim Hines
2018,2018-11-11,9,10,21.364,IND,,JAX,W 29-26,True,3,3,1.00,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,36%,0,0%,0,0%,False,Nyheim Hines
2018,2018-11-18,10,11,22.006,IND,,TEN,W 38-10,False,5,14,2.80,0,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,16,26%,0,0%,0,0%,False,Nyheim Hines
2018,2018-11-25,11,12,22.013,IND,,MIA,W 27-24,False,9,28,3.11,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,0,0%,False,Nyheim Hines
2018,2018-12-02,12,13,22.020,IND,@,JAX,L 0-6,False,4,5,1.25,0,9,9,50,5.56,0,100.0%,5.56,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,59%,0,0%,0,0%,True,Nyheim Hines
2018,2018-12-09,13,14,22.027,IND,@,HOU,W 24-21,False,3,1,0.33,0,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,Nyheim Hines
2018,2018-12-16,14,15,22.034,IND,,DAL,W 23-0,True,6,19,3.17,0,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,40%,0,0%,0,0%,False,Nyheim Hines
2018,2018-12-23,15,16,22.041,IND,,NYG,W 28-27,False,2,2,1.00,1,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,34%,0,0%,4,15%,False,Nyheim Hines
2018,2018-12-30,16,17,22.048,IND,@,TEN,W 33-17,False,1,4,4.00,0,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,18%,0,0%,4,13%,True,Nyheim Hines
2019,2019-09-08,1,1,22.300,IND,@,LAC,L 24-30,True,4,13,3.25,0,4,4,4,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,27%,0,0%,1,4%,True,Nyheim Hines
2019,2019-09-15,2,2,22.307,IND,@,TEN,W 19-17,False,2,9,4.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,19%,0,0%,2,8%,True,Nyheim Hines
2019,2019-09-22,3,3,22.314,IND,,ATL,W 27-24,False,2,3,1.50,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,27%,0,0%,0,0%,False,Nyheim Hines
2019,2019-09-29,4,4,22.321,IND,,OAK,L 24-31,False,3,6,2.00,0,6,6,39,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,45%,0,0%,4,13%,False,Nyheim Hines
2019,2019-10-06,5,5,22.328,IND,@,KAN,W 19-13,False,2,-1,-0.50,0,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,21%,0,0%,9,36%,True,Nyheim Hines
2019,2019-10-20,6,7,22.342,IND,,HOU,W 30-23,False,1,3,3.00,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,2,7%,False,Nyheim Hines
2019,2019-10-27,7,8,22.349,IND,,DEN,W 15-13,False,4,12,3.00,0,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,False,Nyheim Hines
2019,2019-11-03,8,9,22.356,IND,@,PIT,L 24-26,False,1,7,7.00,0,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,2,8%,True,Nyheim Hines
2019,2019-11-10,9,10,22.363,IND,,MIA,L 12-16,False,3,14,4.67,0,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,42%,0,0%,8,30%,False,Nyheim Hines
2019,2019-11-17,10,11,23.005,IND,,JAX,W 33-13,False,3,11,3.67,1,4,3,24,8.00,0,75.0%,6.00,2,44,22.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,7,28%,False,Nyheim Hines
2019,2019-11-21,11,12,23.009,IND,@,HOU,L 17-20,False,9,51,5.67,0,3,2,10,5.00,0,66.7%,3.33,2,36,18.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,32%,0,0%,7,30%,True,Nyheim Hines
2019,2019-12-01,12,13,23.019,IND,,TEN,L 17-31,True,4,22,5.50,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,2,32,16.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,11,38%,False,Nyheim Hines
2019,2019-12-08,13,14,23.026,IND,@,TAM,L 35-38,False,4,1,0.25,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,2,34,17.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,35,56%,0,0%,9,29%,True,Nyheim Hines
2019,2019-12-16,14,15,23.034,IND,@,NOR,L 7-34,False,2,10,5.00,0,2,2,2,1.00,0,100.0%,1.00,1,19,19.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,8,33%,True,Nyheim Hines
2019,2019-12-22,15,16,23.040,IND,,CAR,W 38-6,False,1,4,4.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,3,195,65.00,2,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,11,17%,0,0%,8,31%,False,Nyheim Hines
2019,2019-12-29,16,17,23.047,IND,@,JAX,L 20-38,False,7,34,4.86,0,5,3,22,7.33,0,60.0%,4.40,1,24,24.00,0,2,20,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,55%,0,0%,9,33%,True,Nyheim Hines
2020,2020-09-13,1,1,23.306,IND,@,JAX,L 20-27,False,7,28,4.00,1,8,8,45,5.63,1,100.0%,5.63,1,24,24.00,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,6,25%,True,Nyheim Hines
2020,2020-09-20,2,2,23.313,IND,,MIN,W 28-11,False,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,4,40,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,7,28%,False,Nyheim Hines
2020,2020-09-27,3,3,23.320,IND,,NYJ,W 36-7,False,7,21,3.00,0,5,4,40,10.00,0,80.0%,8.00,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,34%,0,0%,6,22%,False,Nyheim Hines
2020,2020-10-04,4,4,23.327,IND,@,CHI,W 19-11,False,9,24,2.67,0,3,3,8,2.67,0,100.0%,2.67,0,0,,0,4,42,10.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,35%,0,0%,8,30%,True,Nyheim Hines
2020,2020-10-11,5,5,23.334,IND,@,CLE,L 23-32,False,3,8,2.67,0,4,2,22,11.00,0,50.0%,5.50,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,38%,0,0%,2,7%,True,Nyheim Hines
2020,2020-10-18,6,6,23.341,IND,,CIN,W 31-27,False,0,0,,0,6,5,27,5.40,0,83.3%,4.50,0,0,,0,2,17,8.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,33%,0,0%,3,10%,False,Nyheim Hines
2020,2020-11-01,7,8,23.355,IND,@,DET,W 41-21,False,5,8,1.60,0,5,3,54,18.00,2,60.0%,10.80,1,27,27.00,0,1,12,12.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,16,21%,0,0%,6,20%,True,Nyheim Hines
2020,2020-11-08,8,9,23.362,IND,,BAL,L 10-24,False,2,18,9.00,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,4,21,5.25,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,33%,0,0%,6,25%,False,Nyheim Hines
2020,2020-11-12,9,10,24.000,IND,@,TEN,W 34-17,False,12,70,5.83,1,6,5,45,9.00,1,83.3%,7.50,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,39,56%,0,0%,3,12%,True,Nyheim Hines
2020,2020-11-22,10,11,24.010,IND,,GNB,W 34-31,True,6,2,0.33,0,4,3,31,10.33,0,75.0%,7.75,0,0,,0,2,9,4.50,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,29,35%,0,0%,4,13%,False,Nyheim Hines
2020,2020-11-29,11,12,24.017,IND,,TEN,L 26-45,True,10,29,2.90,0,10,8,66,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,65%,0,0%,4,13%,False,Nyheim Hines
2020,2020-12-06,12,13,24.024,IND,@,HOU,W 26-20,False,6,10,1.67,1,3,3,22,7.33,0,100.0%,7.33,1,19,19.00,0,2,22,11.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,33%,0,0%,4,14%,True,Nyheim Hines
2020,2020-12-13,13,14,24.031,IND,@,LVR,W 44-27,False,7,58,8.29,0,4,4,17,4.25,0,100.0%,4.25,0,0,,0,1,2,2.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,36%,0,0%,2,7%,True,Nyheim Hines
2020,2020-12-20,14,15,24.038,IND,,HOU,W 27-20,False,5,43,8.60,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,29%,0,0%,2,9%,False,Nyheim Hines
2020,2020-12-27,15,16,24.045,IND,@,PIT,L 24-28,False,8,44,5.50,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,3,63,21.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,42%,0,0%,6,20%,True,Nyheim Hines
2020,2021-01-03,16,17,24.052,IND,,JAX,W 28-14,False,2,17,8.50,0,7,6,50,8.33,0,85.7%,7.14,0,0,,0,4,40,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,7,25%,False,Nyheim Hines
2021,2021-09-12,1,1,24.304,IND,,SEA,L 16-28,False,9,34,3.78,0,8,6,48,8.00,0,75.0%,6.00,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,45%,0,0%,5,21%,False,Nyheim Hines
2021,2021-09-19,2,2,24.311,IND,,LAR,L 24-27,False,1,5,5.00,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,37%,0,0%,4,15%,False,Nyheim Hines
2021,2021-09-26,3,3,24.318,IND,@,TEN,L 16-25,False,6,25,4.17,1,6,5,54,10.80,0,83.3%,9.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,56%,0,0%,2,9%,True,Nyheim Hines
2021,2021-10-03,4,4,24.325,IND,@,MIA,W 27-17,False,2,6,3.00,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,2,-1,-0.50,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,22,31%,0,0%,7,25%,True,Nyheim Hines
2021,2021-10-11,5,5,24.333,IND,@,BAL,L 25-31,False,4,18,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,3,30,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,38%,0,0%,5,20%,True,Nyheim Hines
2021,2021-10-17,6,6,24.339,IND,,HOU,W 31-3,False,4,13,3.25,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,23%,0,0%,5,21%,False,Nyheim Hines
2021,2021-10-24,7,7,24.346,IND,@,SFO,W 30-18,False,8,14,1.75,0,3,1,-2,-2.00,0,33.3%,-0.67,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,28%,0,0%,4,14%,True,Nyheim Hines
2021,2021-10-31,8,8,24.353,IND,,TEN,L 31-34,False,1,2,2.00,0,5,4,22,5.50,0,80.0%,4.40,0,0,,0,2,27,13.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,31%,0,0%,4,13%,False,Nyheim Hines
2021,2021-11-04,9,9,24.357,IND,,NYJ,W 45-30,True,6,74,12.33,1,6,4,34,8.50,0,66.7%,5.67,1,15,15.00,0,1,10,10.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,45%,0,0%,5,17%,False,Nyheim Hines
2021,2021-11-14,10,10,25.002,IND,,JAX,W 23-17,True,2,12,6.00,0,4,2,17,8.50,0,50.0%,4.25,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,8,25%,False,Nyheim Hines
2021,2021-11-21,11,11,25.009,IND,@,BUF,W 41-15,False,4,31,7.75,0,0,0,0,,0,0.0%,,1,19,19.00,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,13,19%,0,0%,2,9%,True,Nyheim Hines
2021,2021-11-28,12,12,25.016,IND,,TAM,L 31-38,False,1,3,3.00,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,3,22,7.33,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,25,36%,0,0%,4,13%,False,Nyheim Hines
2021,2021-12-05,13,13,25.023,IND,@,HOU,W 31-0,False,3,24,8.00,0,4,3,32,10.67,0,75.0%,8.00,0,0,,0,5,37,7.40,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,6,27%,True,Nyheim Hines
2021,2021-12-18,14,15,25.036,IND,,NWE,W 27-17,False,0,0,,0,2,1,8,8.00,1,50.0%,4.00,1,20,20.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,10,19%,0,0%,4,16%,False,Nyheim Hines
2021,2021-12-25,15,16,25.043,IND,@,ARI,W 22-16,True,3,11,3.67,0,1,1,7,7.00,0,100.0%,7.00,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,3,13%,True,Nyheim Hines
2021,2022-01-02,16,17,25.051,IND,,LVR,L 20-23,True,2,4,2.00,0,4,4,14,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,36%,0,0%,2,8%,False,Nyheim Hines
2021,2022-01-09,17,18,25.058,IND,@,JAX,L 11-26,False,0,0,,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,9,16%,0,0%,3,14%,True,Nyheim Hines
,65 Games,,,,,,,37-28-0,False,282,1169,4.15,9,272,210,1537,7.32,7,77.2%,5.65,13,263,20.23,0,62,751,12.11,2,1,18,110,0.0,1,0,1,0,0,5,3,0,1,0,0,,,,,,,False,Nyheim Hines
