Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-04,1,1,22.144,SEA,,GNB,W 36-16,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,10,14%,0,0%,0,0%,False,Paul Richardson
2014,2014-09-14,2,2,22.154,SEA,@,SDG,L 21-30,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,8,20%,0,0%,0,0%,True,Paul Richardson
2014,2014-09-21,3,3,22.161,SEA,,DEN,W 26-20,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,13%,0,0%,0,0%,False,Paul Richardson
2014,2014-10-06,4,5,22.176,SEA,@,WAS,W 27-17,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,10,15%,0,0%,0,0%,True,Paul Richardson
2014,2014-10-12,5,6,,SEA,,DAL,L 23-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Paul Richardson
2014,2014-10-19,6,7,22.189,SEA,@,STL,L 26-28,False,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,59%,0,0%,0,0%,True,Paul Richardson
2014,2014-10-26,7,8,22.196,SEA,@,CAR,W 13-9,True,3,2,20,10.00,0,66.7%,6.67,0,0,,0,2,73,36.50,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,69%,0,0%,4,21%,True,Paul Richardson
2014,2014-11-02,8,9,22.203,SEA,,OAK,W 30-24,False,6,3,12,4.00,0,50.0%,2.00,0,0,,0,2,64,32.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,73%,0,0%,5,14%,False,Paul Richardson
2014,2014-11-09,9,10,22.210,SEA,,NYG,W 38-17,True,2,0,0,,0,0.0%,0.00,0,0,,0,1,28,28.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,41,64%,0,0%,3,12%,False,Paul Richardson
2014,2014-11-16,10,11,22.217,SEA,@,KAN,L 20-24,True,4,3,24,8.00,0,75.0%,6.00,0,0,,0,2,24,12.00,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,48,66%,0,0%,2,10%,True,Paul Richardson
