Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-08,1,1,22.231,DEN,OAK,False,3,14,4.67,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,41,14,Peyton Hillis
2008,2008-09-14,2,2,22.237,DEN,SDG,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,39,38,Peyton Hillis
2008,2008-09-21,3,3,22.244,DEN,NOR,True,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,47,23.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,32,Peyton Hillis
2008,2008-09-28,4,4,22.251,DEN,KAN,False,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,19,33,Peyton Hillis
2008,2008-10-05,5,5,,DEN,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,13,Peyton Hillis
2008,2008-10-12,6,6,22.265,DEN,JAX,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,17,24,Peyton Hillis
2008,2008-10-20,7,7,22.273,DEN,NWE,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,7,41,Peyton Hillis
2008,2008-11-02,8,9,22.286,DEN,MIA,True,0,0,,0,9,7,116,16.57,1,77.8%,12.89,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,26,Peyton Hillis
2008,2008-11-06,9,10,22.290,DEN,CLE,False,8,24,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,18,9.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,30,Peyton Hillis
2008,2008-11-16,10,11,22.300,DEN,ATL,True,10,44,4.40,2,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,24,20,Peyton Hillis
2008,2008-11-23,11,12,22.307,DEN,OAK,True,17,74,4.35,1,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Peyton Hillis
2008,2008-11-30,12,13,22.314,DEN,NYJ,True,22,129,5.86,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,17,Peyton Hillis
2008,2008-12-07,13,14,22.321,DEN,KAN,True,8,58,7.25,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,17,Peyton Hillis
2008,2008-12-14,14,15,,DEN,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,10,30,Peyton Hillis
2008,2008-12-21,15,16,,DEN,BUF,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,30,Peyton Hillis
