Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-20,2.0,2.0,23.164,MIA,JAX,L 20-23,False,0,0,,0,0,0,0,,0,0.0%,,2,57,28.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,35%,True,Raheem Mostert,False,20,23
2015.0,2015-09-27,3.0,3.0,,MIA,BUF,L 14-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Raheem Mostert,False,14,41
2015.0,2015-10-04,4.0,4.0,,MIA,NYJ,L 14-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Raheem Mostert,False,14,27
2015.0,2015-10-18,6.0,6.0,,BAL,SFO,L 20-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Raheem Mostert,False,20,25
2015.0,2015-10-26,7.0,7.0,23.2,BAL,ARI,L 18-26,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,25%,True,Raheem Mostert,False,18,26
2015.0,2015-11-01,8.0,8.0,23.206,BAL,SDG,W 29-26,False,0,0,,0,0,0,0,,0,0.0%,,1,33,33.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,61%,False,Raheem Mostert,True,29,26
2015.0,2015-11-15,9.0,10.0,23.22,BAL,JAX,L 20-22,False,0,0,,0,0,0,0,,0,0.0%,,1,50,50.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,11,38%,False,Raheem Mostert,False,20,22
2015.0,2015-11-22,10.0,11.0,23.227,BAL,STL,W 16-13,False,0,0,,0,0,0,0,,0,0.0%,,2,58,29.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,43%,False,Raheem Mostert,True,16,13
2015.0,2015-11-30,11.0,12.0,23.235,BAL,CLE,W 33-27,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,68%,True,Raheem Mostert,True,33,27
2015.0,2015-12-06,12.0,13.0,23.241,BAL,MIA,L 13-15,False,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,21,75%,True,Raheem Mostert,False,13,15
2015.0,2015-12-13,13.0,14.0,23.248,BAL,SEA,L 6-35,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,58%,False,Raheem Mostert,False,6,35
2015.0,2015-12-20,14.0,15.0,23.255,CLE,SEA,L 13-30,False,0,0,,0,0,0,0,,0,0.0%,,5,159,31.80,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,61%,True,Raheem Mostert,False,13,30
2015.0,2015-12-27,15.0,16.0,23.262,CLE,KAN,L 13-17,False,0,0,,0,0,0,0,,0,0.0%,,2,30,15.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,17%,True,Raheem Mostert,False,13,17
2015.0,2016-01-03,16.0,17.0,23.269,CLE,PIT,L 12-28,False,0,0,,0,0,0,0,,0,0.0%,,5,120,24.00,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,0,0%,0,0%,14,56%,False,Raheem Mostert,False,12,28
2016.0,2016-09-25,3.0,3.0,24.169,CHI,DAL,L 17-31,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,33%,True,Raheem Mostert,False,17,31
2016.0,2016-10-02,4.0,4.0,24.176,CHI,DET,W 17-14,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,35%,False,Raheem Mostert,True,17,14
2016.0,2017-01-01,16.0,17.0,24.267,SFO,SEA,L 23-25,False,1,6,6.00,0,0,0,0,,0,0.0%,,2,35,17.50,0,0,33,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,7%,0,0%,23,72%,False,Raheem Mostert,False,23,25
2017.0,2017-09-10,1.0,1.0,25.154,SFO,CAR,L 3-23,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,2%,0,0%,14,70%,False,Raheem Mostert,False,3,23
2017.0,2017-09-17,2.0,2.0,25.161,SFO,SEA,L 9-12,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,22,79%,True,Raheem Mostert,False,9,12
2017.0,2017-09-21,3.0,3.0,25.165,SFO,LAR,L 39-41,False,4,11,2.75,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,8,10%,0,0%,21,62%,False,Raheem Mostert,False,39,41
2017.0,2017-10-01,4.0,4.0,25.175,SFO,ARI,L 15-18,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,25,71%,True,Raheem Mostert,False,15,18
2017.0,2017-10-08,5.0,5.0,25.182,SFO,IND,L 23-26,False,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,23,68%,True,Raheem Mostert,False,23,26
