Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,22.219,SEA,@,DEN,L 24-27,False,7,8,1.14,0,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,0,0,0,0,0,0,25,44%,0,0%,0,0%,True,Rashaad Penny
2018,2018-09-17,2,2,22.227,SEA,@,CHI,L 17-24,False,10,30,3.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,20,30%,0,0%,0,0%,True,Rashaad Penny
2018,2018-09-23,3,3,22.233,SEA,,DAL,W 24-13,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,1,0,0,10,14%,0,0%,4,14%,False,Rashaad Penny
2018,2018-09-30,4,4,22.240,SEA,@,ARI,W 20-17,False,9,49,5.44,0,0,0,0,,0,0.0%,,3,65,21.67,0,0,0,0,0,0,1,0,0,16,24%,0,0%,4,14%,True,Rashaad Penny
2018,2018-10-07,5,5,22.247,SEA,,LAR,L 31-33,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,0,0%,0,0%,1,3%,False,Rashaad Penny
2018,2018-10-14,6,6,22.254,SEA,@,OAK,W 27-3,False,9,43,4.78,0,2,2,27,13.50,0,100.0%,13.50,2,23,11.50,0,0,0,0,0,0,0,0,0,13,20%,0,0%,2,11%,True,Rashaad Penny
2018,2018-10-28,7,8,22.268,SEA,@,DET,W 28-14,False,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,0,0,0,0,0,0,0,0%,0,0%,2,8%,True,Rashaad Penny
2018,2018-11-04,8,9,22.275,SEA,,LAC,L 17-25,False,4,11,2.75,0,3,3,13,4.33,0,100.0%,4.33,2,35,17.50,0,0,0,0,0,0,0,0,0,13,16%,0,0%,3,11%,False,Rashaad Penny
2018,2018-11-11,9,10,22.282,SEA,@,LAR,L 31-36,False,12,108,9.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,27,40%,0,0%,0,0%,True,Rashaad Penny
2018,2018-11-15,10,11,22.286,SEA,,GNB,W 27-24,False,8,46,5.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,17,24%,0,0%,0,0%,False,Rashaad Penny
2018,2018-11-25,11,12,22.296,SEA,@,CAR,W 30-27,False,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,10,16%,0,0%,0,0%,True,Rashaad Penny
2018,2018-12-02,12,13,22.303,SEA,,SFO,W 43-16,False,7,65,9.29,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,12,21%,0,0%,0,0%,False,Rashaad Penny
2018,2018-12-10,13,14,22.311,SEA,,MIN,W 21-7,False,8,44,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,14,21%,0,0%,0,0%,False,Rashaad Penny
2018,2018-12-16,14,15,,SEA,@,SFO,L 23-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rashaad Penny
2018,2018-12-23,15,16,,SEA,,KAN,W 38-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rashaad Penny
2018,2018-12-30,16,17,22.331,SEA,,ARI,W 27-24,False,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,Rashaad Penny
2019,2019-09-08,1,1,23.218,SEA,,CIN,W 21-20,False,6,18,3.00,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0,0,0,0,0,0,14,27%,0,0%,5,16%,False,Rashaad Penny
2019,2019-09-15,2,2,23.225,SEA,@,PIT,W 28-26,False,10,62,6.20,1,1,1,3,3.00,0,100.0%,3.00,2,23,11.50,0,1,6,0,0,0,0,0,0,25,32%,0,0%,3,10%,True,Rashaad Penny
